 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000       1 0.641026       1 0.000000       1       1     0.000000
    345   h0 0.454545       1 0.000000       1 0.666667       1 0.000000       1       1     0.000000
    346   h0 0.355731       1 0.000000       1 0.307692       1 0.000000       1       1     0.000000
    347   h0 0.695652       1 0.960000       1 0.721154       1 0.800000       1       1     0.385284
    348   h0 0.727273       1 1.000000       1 0.750000       1 0.800000       1       1     0.436364
    349   h0 0.569170       1 0.640000       1 0.570513       1 0.635294       1       1     0.132027
    350   h0 0.695652       1 0.610909       1 0.801282       1 0.866667       1       1     0.295125
    351   h0 0.727273       1 0.636364       1 0.833333       1 0.866667       1       1     0.334252
    352   h0 0.600791       1 0.407273       1 0.352564       1 0.688235       1       1     0.059372
    353   h0 0.956522       1 0.436364       1 0.000000       1 0.000000       1       1     0.000000
    354   h0 1.000000       1 0.454545       1 0.000000       1 0.000000       1       1     0.000000
    355   h0 0.826087       1 0.290909       1 0.000000       1 0.000000       1       1     0.000000
    392   h0 0.956522       1 0.698182       1 0.721154       1 0.933333       1       1     0.449498
    393   h0 1.000000       1 0.727273       1 0.750000       1 0.933333       1       1     0.509091
    394   h0 1.000000       1 0.727273       1 0.750000       1 0.741176       1       1     0.404278
    395   h0 1.000000       1 0.669091       1 0.490385       1 0.000000       1       1     0.000000
    396   h0 0.695652       1 0.698182       1 0.801282       1 0.933333       1       1     0.363231
    397   h0 0.727273       1 0.727273       1 0.833333       1 0.933333       1       1     0.411387
    398   h0 0.727273       1 0.727273       1 0.833333       1 0.933333       1       1     0.411387
    399   h0 0.727273       1 0.669091       1 0.544872       1 0.658824       1       1     0.174681
    400   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1       1     0.446281
    401   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1       1     0.446281
    402   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1       1     0.446281
    403   h0 0.909091       1 0.654545       1 0.384615       1 0.333333       1       1     0.076287
    404   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    405   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    406   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    407   h0 0.703557       1 0.461818       1 0.221154       1 0.405882       1       1     0.029165
    408   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    409   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    410   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    411   h0 0.723320       1 0.490909       1 0.224359       1 0.423529       1       1     0.033741
    412   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1       1     0.666667
    413   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1       1     0.666667
    414   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1       1     0.666667
    415   h0 1.000000       1 0.680000       1 0.288462       1 0.358824       1       1     0.070385
    416   h0 0.727273       1 0.909091       1 1.000000       1 0.800000       1       1     0.528926
    417   h0 0.727273       1 0.909091       1 1.000000       1 0.800000       1       1     0.528926
    418   h0 0.727273       1 0.909091       1 1.000000       1 0.758824       1       1     0.501702
    419   h0 0.316206       1 0.181818       1 1.000000       1 0.205882       1       1     0.011837
    420   h0 0.956522       1 0.872727       1 0.721154       1 0.800000       1       1     0.481605
    421   h0 1.000000       1 0.909091       1 0.750000       1 0.800000       1       1     0.545455
    422   h0 1.000000       1 0.909091       1 0.750000       1 0.662745       1       1     0.451872
    423   h0 1.000000       1 0.836364       1 0.490385       1 0.094118       1       1     0.038601
    424   h0 0.695652       1 0.960000       1 0.721154       1 0.800000       1       1     0.385284
    425   h0 0.727273       1 1.000000       1 0.750000       1 0.800000       1       1     0.436364
    426   h0 0.632411       1 0.640000       1 0.653846       1 0.635294       1       1     0.168124
    427   h0 0.181818       1 0.000000       1 0.381410       1 0.000000       1       1     0.000000
    448   h0 0.695652       1 0.698182       1 0.961538       1 0.866667       1       1     0.404743
    449   h0 0.727273       1 0.727273       1 1.000000       1 0.866667       1       1     0.458402
    450   h0 0.727273       1 0.727273       1 1.000000       1 0.866667       1       1     0.458402
    451   h0 0.727273       1 0.669091       1 1.000000       1 0.611765       1       1     0.297692
    452   h0 0.189723       1 0.000000       1 0.846154       1 0.000000       1       1     0.000000
    453   h0 0.869565       1 0.960000       1 0.801282       1 0.800000       1       1     0.535117
    454   h0 0.909091       1 1.000000       1 0.833333       1 0.800000       1       1     0.606061
    455   h0 0.909091       1 1.000000       1 0.833333       1 0.800000       1       1     0.606061
    456   h0 0.909091       1 0.920000       1 0.833333       1 0.564706       1       1     0.393583
    457   h0 0.237154       1 0.000000       1 0.705128       1 0.000000       1       1     0.000000
    458   h0 0.695652       1 0.698182       1 0.801282       1 0.800000       1       1     0.311341
    459   h0 0.727273       1 0.727273       1 0.833333       1 0.800000       1       1     0.352617
    460   h0 0.727273       1 0.727273       1 0.833333       1 0.800000       1       1     0.352617
    461   h0 0.727273       1 0.669091       1 0.833333       1 0.564706       1       1     0.228994
    462   h0 0.189723       1 0.000000       1 0.705128       1 0.000000       1       1     0.000000
    463   h0 0.782609       1 0.698182       1 0.721154       1 0.800000       1       1     0.315233
    464   h0 0.818182       1 0.727273       1 0.750000       1 0.800000       1       1     0.357025
    465   h0 0.818182       1 0.727273       1 0.750000       1 0.800000       1       1     0.357025
    466   h0 0.818182       1 0.669091       1 0.548077       1 0.564706       1       1     0.169433
    467   h0 0.213439       1 0.000000       1 0.141026       1 0.000000       1       1     0.000000
    812   h1 0.434783       1 0.000000       1 0.583333       1 0.000000       1       1     0.000000
    813   h1 0.363636       1 0.000000       1 0.583333       1 0.000000       1       1     0.000000
    814   h1 0.300395       1 0.000000       1 0.269231       1 0.000000       1       1     0.000000
    815   h1 0.695652       1 0.960000       1 0.750000       1 0.733333       1       1     0.367304
    816   h1 0.727273       1 1.000000       1 0.750000       1 0.733333       1       1     0.400000
    817   h1 0.600791       1 0.600000       1 0.525641       1 0.635294       1       1     0.120376
    818   h1 0.695652       1 0.727273       1 0.916667       1 0.800000       1       1     0.371014
    819   h1 0.727273       1 0.727273       1 0.916667       1 0.800000       1       1     0.387879
    820   h1 0.600791       1 0.465455       1 0.423077       1 0.611765       1       1     0.072378
    821   h1 0.956522       1 0.436364       1 0.000000       1 0.000000       1       1     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1 0.000000       1       1     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1 0.000000       1       1     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1 0.866667       1       1     0.418261
    861   h1 1.000000       1 0.727273       1 0.750000       1 0.866667       1       1     0.472727
    862   h1 1.000000       1 0.690909       1 0.750000       1 0.662745       1       1     0.343422
    863   h1 1.000000       1 0.585455       1 0.461538       1 0.000000       1       1     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1 0.933333       1       1     0.398222
    865   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1       1     0.452525
    866   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1       1     0.452525
    867   h1 0.727273       1 0.669091       1 0.564103       1 0.658824       1       1     0.180846
    868   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1       1     0.396694
    869   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1       1     0.396694
    870   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1       1     0.396694
    871   h1 0.909091       1 0.581818       1 0.394231       1 0.329412       1       1     0.068689
    872   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    873   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    874   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    875   h1 0.660079       1 0.450909       1 0.182692       1 0.403922       1       1     0.021964
