 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000       1 0.641026       1       1 0.062500       1     0.000000
    345   h0 0.454545       1 0.000000       1 0.666667       1       1 0.062500       1     0.000000
    346   h0 0.355731       1 0.000000       1 0.307692       1       1 0.044643       1     0.000000
    347   h0 0.695652       1 0.960000       1 0.721154       1       1 0.812500       1     0.391304
    348   h0 0.727273       1 1.000000       1 0.750000       1       1 0.812500       1     0.443182
    349   h0 0.569170       1 0.640000       1 0.570513       1       1 0.580357       1     0.120610
    350   h0 0.695652       1 0.610909       1 0.801282       1       1 0.125000       1     0.042566
    351   h0 0.727273       1 0.636364       1 0.833333       1       1 0.125000       1     0.048209
    352   h0 0.600791       1 0.407273       1 0.352564       1       1 0.089286       1     0.007702
    353   h0 0.956522       1 0.436364       1 0.000000       1       1 0.000000       1     0.000000
    354   h0 1.000000       1 0.454545       1 0.000000       1       1 0.000000       1     0.000000
    355   h0 0.826087       1 0.290909       1 0.000000       1       1 0.000000       1     0.000000
    392   h0 0.956522       1 0.698182       1 0.721154       1       1 0.812500       1     0.391304
    393   h0 1.000000       1 0.727273       1 0.750000       1       1 0.812500       1     0.443182
    394   h0 1.000000       1 0.727273       1 0.750000       1       1 0.580357       1     0.316558
    395   h0 1.000000       1 0.669091       1 0.490385       1       1 0.000000       1     0.000000
    396   h0 0.695652       1 0.698182       1 0.801282       1       1 0.812500       1     0.316206
    397   h0 0.727273       1 0.727273       1 0.833333       1       1 0.812500       1     0.358127
    398   h0 0.727273       1 0.727273       1 0.833333       1       1 0.687500       1     0.303030
    399   h0 0.727273       1 0.669091       1 0.544872       1       1 0.225000       1     0.059657
    400   h0 0.909091       1 0.818182       1 0.750000       1       1 0.812500       1     0.453254
    401   h0 0.909091       1 0.818182       1 0.750000       1       1 0.812500       1     0.453254
    402   h0 0.909091       1 0.818182       1 0.750000       1       1 0.792857       1     0.442296
    403   h0 0.909091       1 0.654545       1 0.384615       1       1 0.278571       1     0.063754
    404   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    405   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    406   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    407   h0 0.703557       1 0.461818       1 0.221154       1       1 0.350000       1     0.025150
    408   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    409   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    410   h0 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    411   h0 0.723320       1 0.490909       1 0.224359       1       1 0.350000       1     0.027883
    412   h0 1.000000       1 1.000000       1 0.833333       1       1 0.812500       1     0.677083
    413   h0 1.000000       1 1.000000       1 0.833333       1       1 0.812500       1     0.677083
    414   h0 1.000000       1 1.000000       1 0.833333       1       1 0.812500       1     0.677083
    415   h0 1.000000       1 0.680000       1 0.288462       1       1 0.325000       1     0.063750
    416   h0 0.727273       1 0.909091       1 1.000000       1       1 0.812500       1     0.537190
    417   h0 0.727273       1 0.909091       1 1.000000       1       1 0.812500       1     0.537190
    418   h0 0.727273       1 0.909091       1 1.000000       1       1 0.787500       1     0.520661
    419   h0 0.316206       1 0.181818       1 1.000000       1       1 0.235714       1     0.013552
    420   h0 0.956522       1 0.872727       1 0.721154       1       1 0.812500       1     0.489130
    421   h0 1.000000       1 0.909091       1 0.750000       1       1 0.812500       1     0.553977
    422   h0 1.000000       1 0.909091       1 0.750000       1       1 0.687500       1     0.468750
