 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000       1 0.641026       1       1       1 0.000000     0.000000
    345   h0 0.454545       1 0.000000       1 0.666667       1       1       1 0.000000     0.000000
    346   h0 0.355731       1 0.000000       1 0.307692       1       1       1 0.000000     0.000000
    347   h0 0.695652       1 0.960000       1 0.721154       1       1       1 0.764706     0.368286
    348   h0 0.727273       1 1.000000       1 0.750000       1       1       1 0.823529     0.449198
    349   h0 0.569170       1 0.640000       1 0.570513       1       1       1 0.390093     0.081069
    350   h0 0.695652       1 0.610909       1 0.801282       1       1       1 0.058824     0.020031
    351   h0 0.727273       1 0.636364       1 0.833333       1       1       1 0.058824     0.022687
    352   h0 0.600791       1 0.407273       1 0.352564       1       1       1 0.027864     0.002404
    353   h0 0.956522       1 0.436364       1 0.000000       1       1       1 0.000000     0.000000
    354   h0 1.000000       1 0.454545       1 0.000000       1       1       1 0.000000     0.000000
    355   h0 0.826087       1 0.290909       1 0.000000       1       1       1 0.000000     0.000000
    392   h0 0.956522       1 0.698182       1 0.721154       1       1       1 0.823529     0.396616
    393   h0 1.000000       1 0.727273       1 0.750000       1       1       1 0.823529     0.449198
    394   h0 1.000000       1 0.727273       1 0.750000       1       1       1 0.390093     0.212778
    395   h0 1.000000       1 0.669091       1 0.490385       1       1       1 0.000000     0.000000
    396   h0 0.695652       1 0.698182       1 0.801282       1       1       1 0.882353     0.343391
    397   h0 0.727273       1 0.727273       1 0.833333       1       1       1 0.860681     0.379364
    398   h0 0.727273       1 0.727273       1 0.833333       1       1       1 0.823529     0.362988
    399   h0 0.727273       1 0.669091       1 0.544872       1       1       1 0.238390     0.063207
    400   h0 0.909091       1 0.818182       1 0.750000       1       1       1 0.823529     0.459407
    401   h0 0.909091       1 0.818182       1 0.750000       1       1       1 0.823529     0.459407
    402   h0 0.909091       1 0.818182       1 0.750000       1       1       1 0.823529     0.459407
    403   h0 0.909091       1 0.654545       1 0.384615       1       1       1 0.043344     0.009920
    404   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    405   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    406   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    407   h0 0.703557       1 0.461818       1 0.221154       1       1       1 0.068111     0.004894
    408   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    409   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    410   h0 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    411   h0 0.723320       1 0.490909       1 0.224359       1       1       1 0.065015     0.005180
    412   h0 1.000000       1 1.000000       1 0.833333       1       1       1 0.823529     0.686275
    413   h0 1.000000       1 1.000000       1 0.833333       1       1       1 0.823529     0.686275
    414   h0 1.000000       1 1.000000       1 0.833333       1       1       1 0.767802     0.639835
