 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1 0.000000 0.000000       1       1     0.000000
    345   h0 0.454545       1       1 0.500000       1 0.000000 0.000000       1       1     0.000000
    346   h0 0.355731       1       1 0.280000       1 0.000000 0.000000       1       1     0.000000
    347   h0 0.695652       1       1 0.720000       1 0.962963 0.800000       1       1     0.385855
    348   h0 0.727273       1       1 0.750000       1 1.000000 0.800000       1       1     0.436364
    349   h0 0.569170       1       1 0.420000       1 0.407407 0.635294       1       1     0.061872
    350   h0 0.695652       1       1 0.240000       1 0.888889 0.866667       1       1     0.128618
    351   h0 0.727273       1       1 0.250000       1 0.923077 0.866667       1       1     0.145455
    352   h0 0.600791       1       1 0.140000       1 0.376068 0.688235       1       1     0.021770
    353   h0 0.956522       1       1 0.000000       1 0.074074 0.000000       1       1     0.000000
    354   h0 1.000000       1       1 0.000000       1 0.076923 0.000000       1       1     0.000000
    355   h0 0.826087       1       1 0.000000       1 0.031339 0.000000       1       1     0.000000
    392   h0 0.956522       1       1 0.800000       1 0.814815 0.933333       1       1     0.581943
    393   h0 1.000000       1       1 0.833333       1 0.846154 0.933333       1       1     0.658120
    394   h0 1.000000       1       1 0.448718       1 0.846154 0.741176       1       1     0.281413
    395   h0 1.000000       1       1 0.000000       1 0.501425 0.000000       1       1     0.000000
    396   h0 0.695652       1       1 0.960000       1 0.740741 0.933333       1       1     0.461707
    397   h0 0.727273       1       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    398   h0 0.727273       1       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    399   h0 0.727273       1       1 0.769231       1 0.455840 0.658824       1       1     0.168010
    400   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    401   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    402   h0 0.909091       1       1 0.680000       1 0.769231 0.800000       1       1     0.380420
    403   h0 0.909091       1       1 0.115385       1 0.598291 0.333333       1       1     0.020919
    404   h0 0.727273       1       1 0.833333       1 0.846154 0.800000       1       1     0.410256
    405   h0 0.727273       1       1 0.833333       1 0.846154 0.800000       1       1     0.410256
    406   h0 0.727273       1       1 0.833333       1 0.846154 0.800000       1       1     0.410256
    407   h0 0.703557       1       1 0.384615       1 0.188034 0.405882       1       1     0.020652
    408   h0 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    409   h0 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    410   h0 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    411   h0 0.723320       1       1 0.461538       1 0.222222 0.423529       1       1     0.031420
    412   h0 1.000000       1       1 0.750000       1 0.769231 0.800000       1       1     0.461538
    413   h0 1.000000       1       1 0.750000       1 0.769231 0.800000       1       1     0.461538
    414   h0 1.000000       1       1 0.750000       1 0.769231 0.800000       1       1     0.461538
    415   h0 1.000000       1       1 0.317308       1 0.142450 0.358824       1       1     0.016219
    416   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    417   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    418   h0 0.727273       1       1 0.730769       1 0.769231 0.758824       1       1     0.310224
    419   h0 0.316206       1       1 0.201923       1 0.643875 0.205882       1       1     0.008464
    420   h0 0.956522       1       1 0.960000       1 0.712251 0.800000       1       1     0.523226
    421   h0 1.000000       1       1 1.000000       1 0.769231 0.800000       1       1     0.615385
    422   h0 1.000000       1       1 1.000000       1 0.769231 0.662745       1       1     0.509804
    423   h0 1.000000       1       1 0.800000       1 0.455840 0.094118       1       1     0.034322
    424   h0 0.695652       1       1 0.720000       1 0.925926 0.800000       1       1     0.371014
    425   h0 0.727273       1       1 0.750000       1 1.000000 0.800000       1       1     0.436364
    426   h0 0.632411       1       1 0.420000       1 1.000000 0.635294       1       1     0.168742
    427   h0 0.181818       1       1 0.000000       1 0.592593 0.000000       1       1     0.000000
    448   h0 0.695652       1       1 0.720000       1 0.740741 0.866667       1       1     0.321546
    449   h0 0.727273       1       1 0.750000       1 0.769231 0.866667       1       1     0.363636
    450   h0 0.727273       1       1 0.750000       1 0.769231 0.866667       1       1     0.363636
    451   h0 0.727273       1       1 0.576923       1 0.643875 0.611765       1       1     0.165273
    452   h0 0.189723       1       1 0.000000       1 0.341880 0.000000       1       1     0.000000
    453   h0 0.869565       1       1 0.720000       1 0.740741 0.800000       1       1     0.371014
    454   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    455   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    456   h0 0.909091       1       1 0.600000       1 0.769231 0.564706       1       1     0.236940
    457   h0 0.237154       1       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    458   h0 0.695652       1       1 0.720000       1 0.769231 0.800000       1       1     0.308227
    459   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    460   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    461   h0 0.727273       1       1 0.600000       1 0.769231 0.564706       1       1     0.189552
    462   h0 0.189723       1       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    463   h0 0.782609       1       1 0.800000       1 0.732194 0.800000       1       1     0.366734
    464   h0 0.818182       1       1 0.833333       1 0.769231 0.800000       1       1     0.419580
    465   h0 0.818182       1       1 0.833333       1 0.769231 0.800000       1       1     0.419580
    466   h0 0.818182       1       1 0.666667       1 0.675214 0.564706       1       1     0.207980
    467   h0 0.213439       1       1 0.000000       1 0.398860 0.000000       1       1     0.000000
    812   h1 0.434783       1       1 0.400000       1 0.000000 0.000000       1       1     0.000000
    813   h1 0.363636       1       1 0.416667       1 0.059829 0.000000       1       1     0.000000
    814   h1 0.300395       1       1 0.216667       1 0.031339 0.000000       1       1     0.000000
    815   h1 0.695652       1       1 0.720000       1 1.000000 0.733333       1       1     0.367304
    816   h1 0.727273       1       1 0.750000       1 0.940171 0.733333       1       1     0.376068
    817   h1 0.600791       1       1 0.420000       1 0.376068 0.635294       1       1     0.060286
    818   h1 0.695652       1       1 0.333333       1 1.000000 0.800000       1       1     0.185507
    819   h1 0.727273       1       1 0.333333       1 0.940171 0.800000       1       1     0.182336
    820   h1 0.600791       1       1 0.173333       1 0.376068 0.611765       1       1     0.023958
    821   h1 0.956522       1       1 0.000000       1 0.000000 0.000000       1       1     0.000000
