 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1 0.000000       1 0.062500       1     0.000000
    345   h0 0.454545       1       1 0.500000       1 0.000000       1 0.062500       1     0.000000
    346   h0 0.355731       1       1 0.280000       1 0.000000       1 0.044643       1     0.000000
    347   h0 0.695652       1       1 0.720000       1 0.962963       1 0.812500       1     0.391884
    348   h0 0.727273       1       1 0.750000       1 1.000000       1 0.812500       1     0.443182
    349   h0 0.569170       1       1 0.420000       1 0.407407       1 0.580357       1     0.056522
    350   h0 0.695652       1       1 0.240000       1 0.888889       1 0.125000       1     0.018551
    351   h0 0.727273       1       1 0.250000       1 0.923077       1 0.125000       1     0.020979
    352   h0 0.600791       1       1 0.140000       1 0.376068       1 0.089286       1     0.002824
    353   h0 0.956522       1       1 0.000000       1 0.074074       1 0.000000       1     0.000000
    354   h0 1.000000       1       1 0.000000       1 0.076923       1 0.000000       1     0.000000
    355   h0 0.826087       1       1 0.000000       1 0.031339       1 0.000000       1     0.000000
    392   h0 0.956522       1       1 0.800000       1 0.814815       1 0.812500       1     0.506602
    393   h0 1.000000       1       1 0.833333       1 0.846154       1 0.812500       1     0.572917
    394   h0 1.000000       1       1 0.448718       1 0.846154       1 0.580357       1     0.220353
    395   h0 1.000000       1       1 0.000000       1 0.501425       1 0.000000       1     0.000000
    396   h0 0.695652       1       1 0.960000       1 0.740741       1 0.812500       1     0.401932
    397   h0 0.727273       1       1 1.000000       1 0.769231       1 0.812500       1     0.454545
    398   h0 0.727273       1       1 1.000000       1 0.769231       1 0.687500       1     0.384615
    399   h0 0.727273       1       1 0.769231       1 0.455840       1 0.225000       1     0.057379
    400   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    401   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    402   h0 0.909091       1       1 0.680000       1 0.769231       1 0.792857       1     0.377023
    403   h0 0.909091       1       1 0.115385       1 0.598291       1 0.278571       1     0.017483
    404   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000       1     0.448718
    405   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000       1     0.448718
    406   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000       1     0.448718
    407   h0 0.703557       1       1 0.384615       1 0.188034       1 0.350000       1     0.017809
    408   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    409   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    410   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    411   h0 0.723320       1       1 0.461538       1 0.222222       1 0.350000       1     0.025965
    412   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500       1     0.468750
    413   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500       1     0.468750
    414   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500       1     0.468750
    415   h0 1.000000       1       1 0.317308       1 0.142450       1 0.325000       1     0.014690
    416   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    417   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    418   h0 0.727273       1       1 0.730769       1 0.769231       1 0.787500       1     0.321947
    419   h0 0.316206       1       1 0.201923       1 0.643875       1 0.235714       1     0.009690
    420   h0 0.956522       1       1 0.960000       1 0.712251       1 0.812500       1     0.531401
    421   h0 1.000000       1       1 1.000000       1 0.769231       1 0.812500       1     0.625000
    422   h0 1.000000       1       1 1.000000       1 0.769231       1 0.687500       1     0.528846
