 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1       1 0.000000 0.062500       1     0.000000
    345   h0 0.454545       1       1 0.500000       1       1 0.000000 0.062500       1     0.000000
    346   h0 0.355731       1       1 0.280000       1       1 0.000000 0.044643       1     0.000000
    347   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500       1     0.325565
    348   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    349   h0 0.569170       1       1 0.420000       1       1 0.635294 0.580357       1     0.088138
    350   h0 0.695652       1       1 0.240000       1       1 0.866667 0.125000       1     0.018087
    351   h0 0.727273       1       1 0.250000       1       1 0.866667 0.125000       1     0.019697
    352   h0 0.600791       1       1 0.140000       1       1 0.688235 0.089286       1     0.005169
    353   h0 0.956522       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    354   h0 1.000000       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    355   h0 0.826087       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    392   h0 0.956522       1       1 0.800000       1       1 0.933333 0.812500       1     0.580290
    393   h0 1.000000       1       1 0.833333       1       1 0.933333 0.812500       1     0.631944
    394   h0 1.000000       1       1 0.448718       1       1 0.741176 0.580357       1     0.193015
    395   h0 1.000000       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    396   h0 0.695652       1       1 0.960000       1       1 0.933333 0.812500       1     0.506435
    397   h0 0.727273       1       1 1.000000       1       1 0.933333 0.812500       1     0.551515
    398   h0 0.727273       1       1 1.000000       1       1 0.933333 0.687500       1     0.466667
    399   h0 0.727273       1       1 0.769231       1       1 0.658824 0.225000       1     0.082929
    400   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    401   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    402   h0 0.909091       1       1 0.680000       1       1 0.800000 0.792857       1     0.392104
    403   h0 0.909091       1       1 0.115385       1       1 0.333333 0.278571       1     0.009740
