 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1       1 0.000000       1 0.000000     0.000000
    345   h0 0.454545       1       1 0.500000       1       1 0.000000       1 0.000000     0.000000
    346   h0 0.355731       1       1 0.280000       1       1 0.000000       1 0.000000     0.000000
    347   h0 0.695652       1       1 0.720000       1       1 0.800000       1 0.764706     0.306414
    348   h0 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    349   h0 0.569170       1       1 0.420000       1       1 0.635294       1 0.390093     0.059243
    350   h0 0.695652       1       1 0.240000       1       1 0.866667       1 0.058824     0.008512
    351   h0 0.727273       1       1 0.250000       1       1 0.866667       1 0.058824     0.009269
    352   h0 0.600791       1       1 0.140000       1       1 0.688235       1 0.027864     0.001613
    353   h0 0.956522       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    354   h0 1.000000       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    355   h0 0.826087       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    392   h0 0.956522       1       1 0.800000       1       1 0.933333       1 0.823529     0.588167
    393   h0 1.000000       1       1 0.833333       1       1 0.933333       1 0.823529     0.640523
    394   h0 1.000000       1       1 0.448718       1       1 0.741176       1 0.390093     0.129737
    395   h0 1.000000       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    396   h0 0.695652       1       1 0.960000       1       1 0.933333       1 0.882353     0.549974
    397   h0 0.727273       1       1 1.000000       1       1 0.933333       1 0.860681     0.584220
    398   h0 0.727273       1       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    399   h0 0.727273       1       1 0.769231       1       1 0.658824       1 0.238390     0.087864
    400   h0 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    401   h0 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    402   h0 0.909091       1       1 0.680000       1       1 0.800000       1 0.823529     0.407273
    403   h0 0.909091       1       1 0.115385       1       1 0.333333       1 0.043344     0.001516
    404   h0 0.727273       1       1 0.833333       1       1 0.800000       1 0.823529     0.399287
    405   h0 0.727273       1       1 0.833333       1       1 0.800000       1 0.823529     0.399287
    406   h0 0.727273       1       1 0.833333       1       1 0.800000       1 0.823529     0.399287
    407   h0 0.703557       1       1 0.384615       1       1 0.405882       1 0.068111     0.007481
    408   h0 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    409   h0 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    410   h0 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    411   h0 0.723320       1       1 0.461538       1       1 0.423529       1 0.065015     0.009193
    412   h0 1.000000       1       1 0.750000       1       1 0.800000       1 0.823529     0.494118
    413   h0 1.000000       1       1 0.750000       1       1 0.800000       1 0.823529     0.494118
    414   h0 1.000000       1       1 0.750000       1       1 0.800000       1 0.767802     0.460681
    415   h0 1.000000       1       1 0.317308       1       1 0.358824       1 0.038700     0.004406
    416   h0 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    417   h0 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    418   h0 0.727273       1       1 0.730769       1       1 0.758824       1 0.823529     0.332122
    419   h0 0.316206       1       1 0.201923       1       1 0.205882       1 0.255418     0.003358
    420   h0 0.956522       1       1 0.960000       1       1 0.800000       1 0.823529     0.604972
    421   h0 1.000000       1       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    422   h0 1.000000       1       1 1.000000       1       1 0.662745       1 0.606811     0.402161
    423   h0 1.000000       1       1 0.800000       1       1 0.094118       1 0.119195     0.008975
    424   h0 0.695652       1       1 0.720000       1       1 0.800000       1 0.823529     0.329985
    425   h0 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    426   h0 0.632411       1       1 0.420000       1       1 0.635294       1 0.390093     0.065825
    427   h0 0.181818       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    448   h0 0.695652       1       1 0.720000       1       1 0.866667       1 0.823529     0.357483
    449   h0 0.727273       1       1 0.750000       1       1 0.866667       1 0.823529     0.389305
    450   h0 0.727273       1       1 0.750000       1       1 0.866667       1 0.823529     0.389305
    451   h0 0.727273       1       1 0.576923       1       1 0.611765       1 0.572755     0.147017
    452   h0 0.189723       1       1 0.000000       1       1 0.000000       1 0.061920     0.000000
    453   h0 0.869565       1       1 0.720000       1       1 0.800000       1 0.823529     0.412481
    454   h0 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    455   h0 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    456   h0 0.909091       1       1 0.600000       1       1 0.564706       1 0.823529     0.253665
    457   h0 0.237154       1       1 0.000000       1       1 0.000000       1 0.108359     0.000000
    458   h0 0.695652       1       1 0.720000       1       1 0.800000       1 0.823529     0.329985
