 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1       1       1 0.062500 0.000000     0.000000
    345   h0 0.454545       1       1 0.500000       1       1       1 0.062500 0.000000     0.000000
    346   h0 0.355731       1       1 0.280000       1       1       1 0.044643 0.000000     0.000000
    347   h0 0.695652       1       1 0.720000       1       1       1 0.812500 0.764706     0.311202
    348   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    349   h0 0.569170       1       1 0.420000       1       1       1 0.580357 0.390093     0.054120
    350   h0 0.695652       1       1 0.240000       1       1       1 0.125000 0.058824     0.001228
    351   h0 0.727273       1       1 0.250000       1       1       1 0.125000 0.058824     0.001337
    352   h0 0.600791       1       1 0.140000       1       1       1 0.089286 0.027864     0.000209
    353   h0 0.956522       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    354   h0 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    355   h0 0.826087       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    392   h0 0.956522       1       1 0.800000       1       1       1 0.812500 0.823529     0.512020
    393   h0 1.000000       1       1 0.833333       1       1       1 0.812500 0.823529     0.557598
    394   h0 1.000000       1       1 0.448718       1       1       1 0.580357 0.390093     0.101587
    395   h0 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    396   h0 0.695652       1       1 0.960000       1       1       1 0.812500 0.882353     0.478772
    397   h0 0.727273       1       1 1.000000       1       1       1 0.812500 0.860681     0.508584
    398   h0 0.727273       1       1 1.000000       1       1       1 0.687500 0.823529     0.411765
    399   h0 0.727273       1       1 0.769231       1       1       1 0.225000 0.238390     0.030007
    400   h0 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    401   h0 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    402   h0 0.909091       1       1 0.680000       1       1       1 0.792857 0.823529     0.403636
    403   h0 0.909091       1       1 0.115385       1       1       1 0.278571 0.043344     0.001267
    404   h0 0.727273       1       1 0.833333       1       1       1 0.875000 0.823529     0.436720
    405   h0 0.727273       1       1 0.833333       1       1       1 0.875000 0.823529     0.436720
    406   h0 0.727273       1       1 0.833333       1       1       1 0.875000 0.823529     0.436720
    407   h0 0.703557       1       1 0.384615       1       1       1 0.350000 0.068111     0.006451
    408   h0 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    409   h0 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    410   h0 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    411   h0 0.723320       1       1 0.461538       1       1       1 0.350000 0.065015     0.007597
    412   h0 1.000000       1       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    413   h0 1.000000       1       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    414   h0 1.000000       1       1 0.750000       1       1       1 0.812500 0.767802     0.467879
    415   h0 1.000000       1       1 0.317308       1       1       1 0.325000 0.038700     0.003991
    416   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    417   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    418   h0 0.727273       1       1 0.730769       1       1       1 0.787500 0.823529     0.344673
    419   h0 0.316206       1       1 0.201923       1       1       1 0.235714 0.255418     0.003844
    420   h0 0.956522       1       1 0.960000       1       1       1 0.812500 0.823529     0.614425
    421   h0 1.000000       1       1 1.000000       1       1       1 0.812500 0.823529     0.669118
    422   h0 1.000000       1       1 1.000000       1       1       1 0.687500 0.606811     0.417183
    423   h0 1.000000       1       1 0.800000       1       1       1 0.225000 0.119195     0.021455
    424   h0 0.695652       1       1 0.720000       1       1       1 0.812500 0.823529     0.335141
    425   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    426   h0 0.632411       1       1 0.420000       1       1       1 0.580357 0.390093     0.060133
    427   h0 0.181818       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    448   h0 0.695652       1       1 0.720000       1       1       1 0.812500 0.823529     0.335141
    449   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    450   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    451   h0 0.727273       1       1 0.576923       1       1       1 0.487500 0.572755     0.117155
    452   h0 0.189723       1       1 0.000000       1       1       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1       1 0.720000       1       1       1 0.812500 0.823529     0.418926
    454   h0 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    455   h0 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    456   h0 0.909091       1       1 0.600000       1       1       1 0.487500 0.823529     0.218984
    457   h0 0.237154       1       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    458   h0 0.695652       1       1 0.720000       1       1       1 0.812500 0.823529     0.335141
    459   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    460   h0 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    461   h0 0.727273       1       1 0.600000       1       1       1 0.487500 0.823529     0.175187
    462   h0 0.189723       1       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    463   h0 0.782609       1       1 0.800000       1       1       1 0.812500 0.823529     0.418926
    464   h0 0.818182       1       1 0.833333       1       1       1 0.812500 0.823529     0.456217
    465   h0 0.818182       1       1 0.833333       1       1       1 0.812500 0.856037     0.474225
    466   h0 0.818182       1       1 0.666667       1       1       1 0.487500 0.255418     0.067918
    467   h0 0.213439       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    812   h1 0.434783       1       1 0.400000       1       1       1 0.062500 0.000000     0.000000
    813   h1 0.363636       1       1 0.416667       1       1       1 0.062500 0.000000     0.000000
    814   h1 0.300395       1       1 0.216667       1       1       1 0.042857 0.000000     0.000000
    815   h1 0.695652       1       1 0.720000       1       1       1 0.812500 0.764706     0.311202
    816   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.764706     0.338904
    817   h1 0.600791       1       1 0.420000       1       1       1 0.580357 0.342105     0.050099
    818   h1 0.695652       1       1 0.333333       1       1       1 0.187500 0.106811     0.004644
    819   h1 0.727273       1       1 0.333333       1       1       1 0.187500 0.058824     0.002674
    820   h1 0.600791       1       1 0.173333       1       1       1 0.133929 0.026316     0.000367
    821   h1 0.956522       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1       1       1 0.812500 0.823529     0.563223
    861   h1 1.000000       1       1 0.916667       1       1       1 0.812500 0.823529     0.613358
    862   h1 1.000000       1       1 0.476667       1       1       1 0.557143 0.368421     0.097842
    863   h1 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1       1       1 0.812500 0.823529     0.465473
