 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1       1 0.641026       1 0.000000 0.062500       1     0.000000
    345   h0 0.454545       1       1       1 0.666667       1 0.000000 0.062500       1     0.000000
    346   h0 0.355731       1       1       1 0.307692       1 0.000000 0.044643       1     0.000000
    347   h0 0.695652       1       1       1 0.721154       1 0.800000 0.812500       1     0.326087
    348   h0 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    349   h0 0.569170       1       1       1 0.570513       1 0.635294 0.580357       1     0.119723
    350   h0 0.695652       1       1       1 0.801282       1 0.866667 0.125000       1     0.060386
    351   h0 0.727273       1       1       1 0.833333       1 0.866667 0.125000       1     0.065657
    352   h0 0.600791       1       1       1 0.352564       1 0.688235 0.089286       1     0.013016
    353   h0 0.956522       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    354   h0 1.000000       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    355   h0 0.826087       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    392   h0 0.956522       1       1       1 0.721154       1 0.933333 0.812500       1     0.523098
    393   h0 1.000000       1       1       1 0.750000       1 0.933333 0.812500       1     0.568750
    394   h0 1.000000       1       1       1 0.750000       1 0.741176 0.580357       1     0.322610
    395   h0 1.000000       1       1       1 0.490385       1 0.000000 0.000000       1     0.000000
    396   h0 0.695652       1       1       1 0.801282       1 0.933333 0.812500       1     0.422705
    397   h0 0.727273       1       1       1 0.833333       1 0.933333 0.812500       1     0.459596
    398   h0 0.727273       1       1       1 0.833333       1 0.933333 0.687500       1     0.388889
    399   h0 0.727273       1       1       1 0.544872       1 0.658824 0.225000       1     0.058741
    400   h0 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    401   h0 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    402   h0 0.909091       1       1       1 0.750000       1 0.800000 0.792857       1     0.432468
    403   h0 0.909091       1       1       1 0.384615       1 0.333333 0.278571       1     0.032468
    404   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    405   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    406   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    407   h0 0.703557       1       1       1 0.221154       1 0.405882 0.350000       1     0.022104
    408   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    409   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    410   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    411   h0 0.723320       1       1       1 0.224359       1 0.423529 0.350000       1     0.024056
    412   h0 1.000000       1       1       1 0.833333       1 0.800000 0.812500       1     0.541667
    413   h0 1.000000       1       1       1 0.833333       1 0.800000 0.812500       1     0.541667
