 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1       1 0.641026       1 0.000000       1 0.000000     0.000000
    345   h0 0.454545       1       1       1 0.666667       1 0.000000       1 0.000000     0.000000
    346   h0 0.355731       1       1       1 0.307692       1 0.000000       1 0.000000     0.000000
    347   h0 0.695652       1       1       1 0.721154       1 0.800000       1 0.764706     0.306905
    348   h0 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    349   h0 0.569170       1       1       1 0.570513       1 0.635294       1 0.390093     0.080473
    350   h0 0.695652       1       1       1 0.801282       1 0.866667       1 0.058824     0.028417
    351   h0 0.727273       1       1       1 0.833333       1 0.866667       1 0.058824     0.030897
    352   h0 0.600791       1       1       1 0.352564       1 0.688235       1 0.027864     0.004062
    353   h0 0.956522       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    354   h0 1.000000       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    355   h0 0.826087       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    392   h0 0.956522       1       1       1 0.721154       1 0.933333       1 0.823529     0.530199
    393   h0 1.000000       1       1       1 0.750000       1 0.933333       1 0.823529     0.576471
    394   h0 1.000000       1       1       1 0.750000       1 0.741176       1 0.390093     0.216846
    395   h0 1.000000       1       1       1 0.490385       1 0.000000       1 0.000000     0.000000
    396   h0 0.695652       1       1       1 0.801282       1 0.933333       1 0.882353     0.459046
    397   h0 0.727273       1       1       1 0.833333       1 0.933333       1 0.860681     0.486850
    398   h0 0.727273       1       1       1 0.833333       1 0.933333       1 0.823529     0.465835
    399   h0 0.727273       1       1       1 0.544872       1 0.658824       1 0.238390     0.062237
    400   h0 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    401   h0 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    402   h0 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    403   h0 0.909091       1       1       1 0.384615       1 0.333333       1 0.043344     0.005052
