 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1       1 0.641026       1       1 0.062500 0.000000     0.000000
    345   h0 0.454545       1       1       1 0.666667       1       1 0.062500 0.000000     0.000000
    346   h0 0.355731       1       1       1 0.307692       1       1 0.044643 0.000000     0.000000
    347   h0 0.695652       1       1       1 0.721154       1       1 0.812500 0.764706     0.311701
    348   h0 0.727273       1       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    349   h0 0.569170       1       1       1 0.570513       1       1 0.580357 0.390093     0.073514
    350   h0 0.695652       1       1       1 0.801282       1       1 0.125000 0.058824     0.004099
    351   h0 0.727273       1       1       1 0.833333       1       1 0.125000 0.058824     0.004456
    352   h0 0.600791       1       1       1 0.352564       1       1 0.089286 0.027864     0.000527
    353   h0 0.956522       1       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    354   h0 1.000000       1       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    355   h0 0.826087       1       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    392   h0 0.956522       1       1       1 0.721154       1       1 0.812500 0.823529     0.461557
    393   h0 1.000000       1       1       1 0.750000       1       1 0.812500 0.823529     0.501838
    394   h0 1.000000       1       1       1 0.750000       1       1 0.580357 0.390093     0.169795
    395   h0 1.000000       1       1       1 0.490385       1       1 0.000000 0.000000     0.000000
    396   h0 0.695652       1       1       1 0.801282       1       1 0.812500 0.882353     0.399616
    397   h0 0.727273       1       1       1 0.833333       1       1 0.812500 0.860681     0.423820
    398   h0 0.727273       1       1       1 0.833333       1       1 0.687500 0.823529     0.343137
    399   h0 0.727273       1       1       1 0.544872       1       1 0.225000 0.238390     0.021255
    400   h0 0.909091       1       1       1 0.750000       1       1 0.812500 0.823529     0.456217
    401   h0 0.909091       1       1       1 0.750000       1       1 0.812500 0.823529     0.456217
    402   h0 0.909091       1       1       1 0.750000       1       1 0.792857 0.823529     0.445187
    403   h0 0.909091       1       1       1 0.384615       1       1 0.278571 0.043344     0.004222
    404   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    405   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    406   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    407   h0 0.703557       1       1       1 0.221154       1       1 0.350000 0.068111     0.003709
    408   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    409   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    410   h0 0.727273       1       1       1 0.750000       1       1 0.875000 0.823529     0.393048
    411   h0 0.723320       1       1       1 0.224359       1       1 0.350000 0.065015     0.003693
    412   h0 1.000000       1       1       1 0.833333       1       1 0.812500 0.823529     0.557598
    413   h0 1.000000       1       1       1 0.833333       1       1 0.812500 0.823529     0.557598
    414   h0 1.000000       1       1       1 0.833333       1       1 0.812500 0.767802     0.519866
    415   h0 1.000000       1       1       1 0.288462       1       1 0.325000 0.038700     0.003628
    416   h0 0.727273       1       1       1 1.000000       1       1 0.812500 0.823529     0.486631
    417   h0 0.727273       1       1       1 1.000000       1       1 0.812500 0.823529     0.486631
    418   h0 0.727273       1       1       1 1.000000       1       1 0.787500 0.823529     0.471658
    419   h0 0.316206       1       1       1 1.000000       1       1 0.235714 0.255418     0.019037
    420   h0 0.956522       1       1       1 0.721154       1       1 0.812500 0.823529     0.461557
    421   h0 1.000000       1       1       1 0.750000       1       1 0.812500 0.823529     0.501838
    422   h0 1.000000       1       1       1 0.750000       1       1 0.687500 0.606811     0.312887
    423   h0 1.000000       1       1       1 0.490385       1       1 0.225000 0.119195     0.013152
    424   h0 0.695652       1       1       1 0.721154       1       1 0.812500 0.823529     0.335678
    425   h0 0.727273       1       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    426   h0 0.632411       1       1       1 0.653846       1       1 0.580357 0.390093     0.093613
    427   h0 0.181818       1       1       1 0.381410       1       1 0.000000 0.000000     0.000000
    448   h0 0.695652       1       1       1 0.961538       1       1 0.812500 0.823529     0.447570
    449   h0 0.727273       1       1       1 1.000000       1       1 0.812500 0.823529     0.486631
    450   h0 0.727273       1       1       1 1.000000       1       1 0.812500 0.823529     0.486631
    451   h0 0.727273       1       1       1 1.000000       1       1 0.487500 0.572755     0.203068
    452   h0 0.189723       1       1       1 0.846154       1       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1       1       1 0.801282       1       1 0.812500 0.823529     0.466219
    454   h0 0.909091       1       1       1 0.833333       1       1 0.812500 0.823529     0.506907
    455   h0 0.909091       1       1       1 0.833333       1       1 0.812500 0.823529     0.506907
    456   h0 0.909091       1       1       1 0.833333       1       1 0.487500 0.823529     0.304144
    457   h0 0.237154       1       1       1 0.705128       1       1 0.000000 0.108359     0.000000
    458   h0 0.695652       1       1       1 0.801282       1       1 0.812500 0.823529     0.372975
    459   h0 0.727273       1       1       1 0.833333       1       1 0.812500 0.823529     0.405526
    460   h0 0.727273       1       1       1 0.833333       1       1 0.812500 0.823529     0.405526
    461   h0 0.727273       1       1       1 0.833333       1       1 0.487500 0.823529     0.243316
    462   h0 0.189723       1       1       1 0.705128       1       1 0.000000 0.108359     0.000000
    463   h0 0.782609       1       1       1 0.721154       1       1 0.812500 0.823529     0.377637
