 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000 0.000000       1       1     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000 0.000000       1       1     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000 0.000000       1       1     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963 0.800000       1       1     0.434909
    348   h0       1 0.818182       1 0.750000       1 1.000000 0.800000       1       1     0.490909
    349   h0       1 0.579545       1 0.420000       1 0.407407 0.635294       1       1     0.063000
    350   h0       1 0.958333       1 0.240000       1 0.888889 0.866667       1       1     0.177185
    351   h0       1 1.000000       1 0.250000       1 0.923077 0.866667       1       1     0.200000
    352   h0       1 0.708333       1 0.140000       1 0.376068 0.688235       1       1     0.025667
    353   h0       1 0.000000       1 0.000000       1 0.074074 0.000000       1       1     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923 0.000000       1       1     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339 0.000000       1       1     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815 0.933333       1       1     0.424033
    393   h0       1 0.727273       1 0.833333       1 0.846154 0.933333       1       1     0.478632
    394   h0       1 0.647727       1 0.448718       1 0.846154 0.741176       1       1     0.182279
    395   h0       1 0.454545       1 0.000000       1 0.501425 0.000000       1       1     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741 0.933333       1       1     0.462581
    397   h0       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    398   h0       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    399   h0       1 0.727273       1 0.769231       1 0.455840 0.658824       1       1     0.168010
    400   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    401   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    402   h0       1 0.727273       1 0.680000       1 0.769231 0.800000       1       1     0.304336
    403   h0       1 0.454545       1 0.115385       1 0.598291 0.333333       1       1     0.010460
    404   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1       1     0.461538
    405   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1       1     0.461538
    406   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1       1     0.461538
    407   h0       1 0.681818       1 0.384615       1 0.188034 0.405882       1       1     0.020014
    408   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    409   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    410   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    411   h0       1 0.875000       1 0.461538       1 0.222222 0.423529       1       1     0.038009
    412   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    413   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    414   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    415   h0       1 0.587121       1 0.317308       1 0.142450 0.358824       1       1     0.009523
    416   h0       1 0.689394       1 0.750000       1 0.769231 0.800000       1       1     0.318182
    417   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    418   h0       1 0.727273       1 0.730769       1 0.769231 0.758824       1       1     0.310224
    419   h0       1 0.545455       1 0.201923       1 0.643875 0.205882       1       1     0.014600
    420   h0       1 0.696970       1 0.960000       1 0.712251 0.800000       1       1     0.381248
    421   h0       1 0.727273       1 1.000000       1 0.769231 0.800000       1       1     0.447552
    422   h0       1 0.727273       1 1.000000       1 0.769231 0.662745       1       1     0.370766
    423   h0       1 0.727273       1 0.800000       1 0.455840 0.094118       1       1     0.024962
    424   h0       1 0.696970       1 0.720000       1 0.925926 0.800000       1       1     0.371717
    425   h0       1 0.727273       1 0.750000       1 1.000000 0.800000       1       1     0.436364
    426   h0       1 0.674242       1 0.420000       1 1.000000 0.635294       1       1     0.179904
    427   h0       1 0.545455       1 0.000000       1 0.592593 0.000000       1       1     0.000000
    448   h0       1 0.958333       1 0.720000       1 0.740741 0.866667       1       1     0.442963
    449   h0       1 1.000000       1 0.750000       1 0.769231 0.866667       1       1     0.500000
    450   h0       1 1.000000       1 0.750000       1 0.769231 0.866667       1       1     0.500000
    451   h0       1 1.000000       1 0.576923       1 0.643875 0.611765       1       1     0.227250
    452   h0       1 0.166667       1 0.000000       1 0.341880 0.000000       1       1     0.000000
    453   h0       1 0.696970       1 0.720000       1 0.740741 0.800000       1       1     0.297374
    454   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    455   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    456   h0       1 0.727273       1 0.600000       1 0.769231 0.564706       1       1     0.189552
    457   h0       1 0.121212       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    458   h0       1 0.784091       1 0.720000       1 0.769231 0.800000       1       1     0.347413
    459   h0       1 0.909091       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    460   h0       1 0.909091       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    461   h0       1 0.909091       1 0.600000       1 0.769231 0.564706       1       1     0.236940
    462   h0       1 0.151515       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    463   h0       1 0.958333       1 0.800000       1 0.732194 0.800000       1       1     0.449079
    464   h0       1 1.000000       1 0.833333       1 0.769231 0.800000       1       1     0.512821
    465   h0       1 1.000000       1 0.833333       1 0.769231 0.800000       1       1     0.512821
    466   h0       1 1.000000       1 0.666667       1 0.675214 0.564706       1       1     0.254198
    467   h0       1 0.166667       1 0.000000       1 0.398860 0.000000       1       1     0.000000
    812   h1       1 0.916667       1 0.400000       1 0.000000 0.000000       1       1     0.000000
    813   h1       1 1.000000       1 0.416667       1 0.059829 0.000000       1       1     0.000000
    814   h1       1 0.750000       1 0.216667       1 0.031339 0.000000       1       1     0.000000
    815   h1       1 0.750000       1 0.720000       1 1.000000 0.733333       1       1     0.396000
    816   h1       1 0.818182       1 0.750000       1 0.940171 0.733333       1       1     0.423077
    817   h1       1 0.613636       1 0.420000       1 0.376068 0.635294       1       1     0.061575
    818   h1       1 0.916667       1 0.333333       1 1.000000 0.800000       1       1     0.244444
    819   h1       1 1.000000       1 0.333333       1 0.940171 0.800000       1       1     0.250712
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765       1       1     0.029908
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000       1       1     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000       1       1     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000       1       1     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667       1       1     0.469333
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667       1       1     0.533333
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745       1       1     0.185569
    863   h1       1 0.363636       1 0.000000       1 0.512821 0.000000       1       1     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231 0.933333       1       1     0.478632
    865   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    866   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    867   h1       1 0.727273       1 0.769231       1 0.427350 0.658824       1       1     0.157510
    868   h1       1 0.715909       1 0.750000       1 0.769231 0.800000       1       1     0.330420
    869   h1       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    870   h1       1 0.727273       1 0.660256       1 0.769231 0.800000       1       1     0.295499
    871   h1       1 0.367424       1 0.115385       1 0.569801 0.329412       1       1     0.007958
    872   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    873   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    874   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    875   h1       1 0.681818       1 0.423077       1 0.156695 0.403922       1       1     0.018257
