 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000       1 0.062500       1     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000       1 0.062500       1     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000       1 0.044643       1     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963       1 0.812500       1     0.441705
    348   h0       1 0.818182       1 0.750000       1 1.000000       1 0.812500       1     0.498580
    349   h0       1 0.579545       1 0.420000       1 0.407407       1 0.580357       1     0.057552
    350   h0       1 0.958333       1 0.240000       1 0.888889       1 0.125000       1     0.025556
    351   h0       1 1.000000       1 0.250000       1 0.923077       1 0.125000       1     0.028846
    352   h0       1 0.708333       1 0.140000       1 0.376068       1 0.089286       1     0.003330
    353   h0       1 0.000000       1 0.000000       1 0.074074       1 0.000000       1     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923       1 0.000000       1     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339       1 0.000000       1     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815       1 0.812500       1     0.369136
    393   h0       1 0.727273       1 0.833333       1 0.846154       1 0.812500       1     0.416667
    394   h0       1 0.647727       1 0.448718       1 0.846154       1 0.580357       1     0.142728
    395   h0       1 0.454545       1 0.000000       1 0.501425       1 0.000000       1     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741       1 0.812500       1     0.402694
    397   h0       1 0.727273       1 1.000000       1 0.769231       1 0.812500       1     0.454545
    398   h0       1 0.727273       1 1.000000       1 0.769231       1 0.687500       1     0.384615
    399   h0       1 0.727273       1 0.769231       1 0.455840       1 0.225000       1     0.057379
    400   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    401   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    402   h0       1 0.727273       1 0.680000       1 0.769231       1 0.792857       1     0.301618
    403   h0       1 0.454545       1 0.115385       1 0.598291       1 0.278571       1     0.008741
    404   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000       1     0.504808
    405   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000       1     0.504808
    406   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000       1     0.504808
    407   h0       1 0.681818       1 0.384615       1 0.188034       1 0.350000       1     0.017258
    408   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    409   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    410   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    411   h0       1 0.875000       1 0.461538       1 0.222222       1 0.350000       1     0.031410
