 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000       1       1 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000       1       1 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000       1       1 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963       1       1 0.764706     0.415722
    348   h0       1 0.818182       1 0.750000       1 1.000000       1       1 0.823529     0.505348
    349   h0       1 0.579545       1 0.420000       1 0.407407       1       1 0.390093     0.038684
    350   h0       1 0.958333       1 0.240000       1 0.888889       1       1 0.058824     0.012026
    351   h0       1 1.000000       1 0.250000       1 0.923077       1       1 0.058824     0.013575
    352   h0       1 0.708333       1 0.140000       1 0.376068       1       1 0.027864     0.001039
    353   h0       1 0.000000       1 0.000000       1 0.074074       1       1 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923       1       1 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339       1       1 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815       1       1 0.823529     0.374147
    393   h0       1 0.727273       1 0.833333       1 0.846154       1       1 0.823529     0.422323
    394   h0       1 0.647727       1 0.448718       1 0.846154       1       1 0.390093     0.095936
    395   h0       1 0.454545       1 0.000000       1 0.501425       1       1 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741       1       1 0.882353     0.437314
    397   h0       1 0.727273       1 1.000000       1 0.769231       1       1 0.860681     0.481500
    398   h0       1 0.727273       1 1.000000       1 0.769231       1       1 0.823529     0.460716
    399   h0       1 0.727273       1 0.769231       1 0.455840       1       1 0.238390     0.060793
    400   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    401   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    402   h0       1 0.727273       1 0.680000       1 0.769231       1       1 0.823529     0.313287
    403   h0       1 0.454545       1 0.115385       1 0.598291       1       1 0.043344     0.001360
    404   h0       1 0.818182       1 0.833333       1 0.846154       1       1 0.823529     0.475113
    405   h0       1 0.818182       1 0.833333       1 0.846154       1       1 0.823529     0.475113
    406   h0       1 0.818182       1 0.833333       1 0.846154       1       1 0.823529     0.475113
    407   h0       1 0.681818       1 0.384615       1 0.188034       1       1 0.068111     0.003359
    408   h0       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    409   h0       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    410   h0       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    411   h0       1 0.875000       1 0.461538       1 0.222222       1       1 0.065015     0.005835
    412   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    413   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    414   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.767802     0.322155
    415   h0       1 0.587121       1 0.317308       1 0.142450       1       1 0.038700     0.001027
    416   h0       1 0.689394       1 0.750000       1 0.769231       1       1 0.823529     0.327540
    417   h0       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
