 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1       1 0.000000 0.062500       1     0.000000
    345   h0       1 0.965909       1 0.500000       1       1 0.000000 0.062500       1     0.000000
    346   h0       1 0.708333       1 0.280000       1       1 0.000000 0.044643       1     0.000000
    347   h0       1 0.784091       1 0.720000       1       1 0.800000 0.812500       1     0.366955
    348   h0       1 0.818182       1 0.750000       1       1 0.800000 0.812500       1     0.398864
    349   h0       1 0.579545       1 0.420000       1       1 0.635294 0.580357       1     0.089744
    350   h0       1 0.958333       1 0.240000       1       1 0.866667 0.125000       1     0.024917
    351   h0       1 1.000000       1 0.250000       1       1 0.866667 0.125000       1     0.027083
    352   h0       1 0.708333       1 0.140000       1       1 0.688235 0.089286       1     0.006094
    353   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    354   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    355   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    392   h0       1 0.696970       1 0.800000       1       1 0.933333 0.812500       1     0.422828
    393   h0       1 0.727273       1 0.833333       1       1 0.933333 0.812500       1     0.459596
    394   h0       1 0.647727       1 0.448718       1       1 0.741176 0.580357       1     0.125021
    395   h0       1 0.454545       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    396   h0       1 0.696970       1 0.960000       1       1 0.933333 0.812500       1     0.507394
    397   h0       1 0.727273       1 1.000000       1       1 0.933333 0.812500       1     0.551515
    398   h0       1 0.727273       1 1.000000       1       1 0.933333 0.687500       1     0.466667
    399   h0       1 0.727273       1 0.769231       1       1 0.658824 0.225000       1     0.082929
    400   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    401   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    402   h0       1 0.727273       1 0.680000       1       1 0.800000 0.792857       1     0.313683
    403   h0       1 0.454545       1 0.115385       1       1 0.333333 0.278571       1     0.004870
    404   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000       1     0.477273
    405   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000       1     0.477273
    406   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000       1     0.477273
    407   h0       1 0.681818       1 0.384615       1       1 0.405882 0.350000       1     0.037253
    408   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    409   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    410   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    411   h0       1 0.875000       1 0.461538       1       1 0.423529 0.350000       1     0.059864
    412   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    413   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    414   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    415   h0       1 0.587121       1 0.317308       1       1 0.358824 0.325000       1     0.021726
    416   h0       1 0.689394       1 0.750000       1       1 0.800000 0.812500       1     0.336080
    417   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    418   h0       1 0.727273       1 0.730769       1       1 0.758824 0.787500       1     0.317592
    419   h0       1 0.545455       1 0.201923       1       1 0.205882 0.235714       1     0.005345
    420   h0       1 0.696970       1 0.960000       1       1 0.800000 0.812500       1     0.434909
    421   h0       1 0.727273       1 1.000000       1       1 0.800000 0.812500       1     0.472727
    422   h0       1 0.727273       1 1.000000       1       1 0.662745 0.687500       1     0.331373
    423   h0       1 0.727273       1 0.800000       1       1 0.094118 0.225000       1     0.012321
    424   h0       1 0.696970       1 0.720000       1       1 0.800000 0.812500       1     0.326182
    425   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    426   h0       1 0.674242       1 0.420000       1       1 0.635294 0.580357       1     0.104408
    427   h0       1 0.545455       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    448   h0       1 0.958333       1 0.720000       1       1 0.866667 0.812500       1     0.485875
    449   h0       1 1.000000       1 0.750000       1       1 0.866667 0.812500       1     0.528125
