 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1       1 0.000000       1 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1       1 0.000000       1 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1       1 0.000000       1 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1       1 0.800000       1 0.764706     0.345369
    348   h0       1 0.818182       1 0.750000       1       1 0.800000       1 0.823529     0.404278
    349   h0       1 0.579545       1 0.420000       1       1 0.635294       1 0.390093     0.060323
    350   h0       1 0.958333       1 0.240000       1       1 0.866667       1 0.058824     0.011725
    351   h0       1 1.000000       1 0.250000       1       1 0.866667       1 0.058824     0.012745
    352   h0       1 0.708333       1 0.140000       1       1 0.688235       1 0.027864     0.001902
    353   h0       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1       1 0.933333       1 0.823529     0.428568
    393   h0       1 0.727273       1 0.833333       1       1 0.933333       1 0.823529     0.465835
    394   h0       1 0.647727       1 0.448718       1       1 0.741176       1 0.390093     0.084034
    395   h0       1 0.454545       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1       1 0.933333       1 0.882353     0.551016
    397   h0       1 0.727273       1 1.000000       1       1 0.933333       1 0.860681     0.584220
    398   h0       1 0.727273       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    399   h0       1 0.727273       1 0.769231       1       1 0.658824       1 0.238390     0.087864
    400   h0       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    401   h0       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    402   h0       1 0.727273       1 0.680000       1       1 0.800000       1 0.823529     0.325818
    403   h0       1 0.454545       1 0.115385       1       1 0.333333       1 0.043344     0.000758
    404   h0       1 0.818182       1 0.833333       1       1 0.800000       1 0.823529     0.449198
    405   h0       1 0.818182       1 0.833333       1       1 0.800000       1 0.823529     0.449198
    406   h0       1 0.818182       1 0.833333       1       1 0.800000       1 0.823529     0.449198
    407   h0       1 0.681818       1 0.384615       1       1 0.405882       1 0.068111     0.007250
    408   h0       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    409   h0       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    410   h0       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    411   h0       1 0.875000       1 0.461538       1       1 0.423529       1 0.065015     0.011120
    412   h0       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    413   h0       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
