 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1       1       1 0.062500 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1       1       1 0.062500 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1       1       1 0.044643 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1       1       1 0.812500 0.764706     0.350765
    348   h0       1 0.818182       1 0.750000       1       1       1 0.812500 0.823529     0.410595
    349   h0       1 0.579545       1 0.420000       1       1       1 0.580357 0.390093     0.055106
    350   h0       1 0.958333       1 0.240000       1       1       1 0.125000 0.058824     0.001691
    351   h0       1 1.000000       1 0.250000       1       1       1 0.125000 0.058824     0.001838
    352   h0       1 0.708333       1 0.140000       1       1       1 0.089286 0.027864     0.000247
    353   h0       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1       1       1 0.812500 0.823529     0.373084
    393   h0       1 0.727273       1 0.833333       1       1       1 0.812500 0.823529     0.405526
    394   h0       1 0.647727       1 0.448718       1       1       1 0.580357 0.390093     0.065800
    395   h0       1 0.454545       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1       1       1 0.812500 0.882353     0.479679
    397   h0       1 0.727273       1 1.000000       1       1       1 0.812500 0.860681     0.508584
    398   h0       1 0.727273       1 1.000000       1       1       1 0.687500 0.823529     0.411765
    399   h0       1 0.727273       1 0.769231       1       1       1 0.225000 0.238390     0.030007
    400   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    401   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    402   h0       1 0.727273       1 0.680000       1       1       1 0.792857 0.823529     0.322909
    403   h0       1 0.454545       1 0.115385       1       1       1 0.278571 0.043344     0.000633
    404   h0       1 0.818182       1 0.833333       1       1       1 0.875000 0.823529     0.491310
    405   h0       1 0.818182       1 0.833333       1       1       1 0.875000 0.823529     0.491310
    406   h0       1 0.818182       1 0.833333       1       1       1 0.875000 0.823529     0.491310
    407   h0       1 0.681818       1 0.384615       1       1       1 0.350000 0.068111     0.006251
    408   h0       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    409   h0       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    410   h0       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    411   h0       1 0.875000       1 0.461538       1       1       1 0.350000 0.065015     0.009190
    412   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    413   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    414   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.767802     0.340276
    415   h0       1 0.587121       1 0.317308       1       1       1 0.325000 0.038700     0.002343
    416   h0       1 0.689394       1 0.750000       1       1       1 0.812500 0.823529     0.345964
    417   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    418   h0       1 0.727273       1 0.730769       1       1       1 0.787500 0.823529     0.344673
    419   h0       1 0.545455       1 0.201923       1       1       1 0.235714 0.255418     0.006631
    420   h0       1 0.696970       1 0.960000       1       1       1 0.812500 0.823529     0.447701
    421   h0       1 0.727273       1 1.000000       1       1       1 0.812500 0.823529     0.486631
    422   h0       1 0.727273       1 1.000000       1       1       1 0.687500 0.606811     0.303406
    423   h0       1 0.727273       1 0.800000       1       1       1 0.225000 0.119195     0.015604
    424   h0       1 0.696970       1 0.720000       1       1       1 0.812500 0.823529     0.335775
    425   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    426   h0       1 0.674242       1 0.420000       1       1       1 0.580357 0.390093     0.064110
    427   h0       1 0.545455       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    448   h0       1 0.958333       1 0.720000       1       1       1 0.812500 0.823529     0.461691
    449   h0       1 1.000000       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    450   h0       1 1.000000       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    451   h0       1 1.000000       1 0.576923       1       1       1 0.487500 0.572755     0.161087
    452   h0       1 0.166667       1 0.000000       1       1       1 0.000000 0.061920     0.000000
    453   h0       1 0.696970       1 0.720000       1       1       1 0.812500 0.823529     0.335775
    454   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    455   h0       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    456   h0       1 0.727273       1 0.600000       1       1       1 0.487500 0.823529     0.175187
    457   h0       1 0.121212       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    458   h0       1 0.784091       1 0.720000       1       1       1 0.812500 0.823529     0.377747
    459   h0       1 0.909091       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    460   h0       1 0.909091       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    461   h0       1 0.909091       1 0.600000       1       1       1 0.487500 0.823529     0.218984
    462   h0       1 0.151515       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    463   h0       1 0.958333       1 0.800000       1       1       1 0.812500 0.823529     0.512990
    464   h0       1 1.000000       1 0.833333       1       1       1 0.812500 0.823529     0.557598
    465   h0       1 1.000000       1 0.833333       1       1       1 0.812500 0.856037     0.579608
    466   h0       1 1.000000       1 0.666667       1       1       1 0.487500 0.255418     0.083011
    467   h0       1 0.166667       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    812   h1       1 0.916667       1 0.400000       1       1       1 0.062500 0.000000     0.000000
    813   h1       1 1.000000       1 0.416667       1       1       1 0.062500 0.000000     0.000000
    814   h1       1 0.750000       1 0.216667       1       1       1 0.042857 0.000000     0.000000
    815   h1       1 0.750000       1 0.720000       1       1       1 0.812500 0.764706     0.335515
    816   h1       1 0.818182       1 0.750000       1       1       1 0.812500 0.764706     0.381267
    817   h1       1 0.613636       1 0.420000       1       1       1 0.580357 0.342105     0.051170
    818   h1       1 0.916667       1 0.333333       1       1       1 0.187500 0.106811     0.006119
    819   h1       1 1.000000       1 0.333333       1       1       1 0.187500 0.058824     0.003676
    820   h1       1 0.750000       1 0.173333       1       1       1 0.133929 0.026316     0.000458
    821   h1       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1       1       1 0.812500 0.823529     0.392549
    861   h1       1 0.727273       1 0.916667       1       1       1 0.812500 0.823529     0.446078
    862   h1       1 0.636364       1 0.476667       1       1       1 0.557143 0.368421     0.062263
    863   h1       1 0.363636       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1       1       1 0.812500 0.823529     0.446078
    865   h1       1 0.727273       1 1.000000       1       1       1 0.812500 0.823529     0.486631
    866   h1       1 0.727273       1 1.000000       1       1       1 0.675000 0.823529     0.404278
    867   h1       1 0.727273       1 0.769231       1       1       1 0.235714 0.216718     0.028578
    868   h1       1 0.715909       1 0.750000       1       1       1 0.812500 0.823529     0.359271
    869   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    870   h1       1 0.727273       1 0.660256       1       1       1 0.769643 0.823529     0.304353
    871   h1       1 0.367424       1 0.115385       1       1       1 0.255357 0.021672     0.000235
    872   h1       1 0.818182       1 0.916667       1       1       1 0.812500 0.823529     0.501838
    873   h1       1 0.818182       1 0.916667       1       1       1 0.812500 0.823529     0.501838
    874   h1       1 0.818182       1 0.916667       1       1       1 0.812500 0.823529     0.501838
    875   h1       1 0.681818       1 0.423077       1       1       1 0.325000 0.044892     0.004209
    876   h1       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    877   h1       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    878   h1       1 1.000000       1 1.000000       1       1       1 0.875000 0.823529     0.720588
    879   h1       1 0.833333       1 0.461538       1       1       1 0.350000 0.043344     0.005835
    880   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    881   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    882   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.773994     0.343020
    883   h1       1 0.587121       1 0.288462       1       1       1 0.325000 0.037152     0.002045
    884   h1       1 0.681818       1 0.750000       1       1       1 0.812500 0.823529     0.342162
    885   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    886   h1       1 0.727273       1 0.733974       1       1       1 0.801786 0.823529     0.352465
    887   h1       1 0.606061       1 0.259615       1       1       1 0.255357 0.253870     0.010200
    888   h1       1 0.666667       1 1.000000       1       1       1 0.812500 0.823529     0.446078
    889   h1       1 0.727273       1 1.000000       1       1       1 0.812500 0.801858     0.473825
    890   h1       1 0.727273       1 1.000000       1       1       1 0.675000 0.602167     0.295609
    891   h1       1 0.727273       1 0.769231       1       1       1 0.235714 0.123839     0.016330
    892   h1       1 0.666667       1 0.750000       1       1       1 0.812500 0.837461     0.340219
    893   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.882353     0.391043
    894   h1       1 0.704545       1 0.390000       1       1       1 0.557143 0.394737     0.060429
    895   h1       1 0.636364       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    916   h1       1 0.916667       1 0.750000       1       1       1 0.812500 0.823529     0.460018
    917   h1       1 1.000000       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    918   h1       1 1.000000       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    919   h1       1 1.000000       1 0.570000       1       1       1 0.510714 0.530960     0.154566
    920   h1       1 0.166667       1 0.000000       1       1       1 0.000000 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1       1       1 0.812500 0.823529     0.327124
    922   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    923   h1       1 0.727273       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    924   h1       1 0.727273       1 0.576923       1       1       1 0.492857 0.823529     0.170300
    925   h1       1 0.121212       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    926   h1       1 0.833333       1 0.721154       1       1       1 0.812500 0.823529     0.402114
    927   h1       1 0.909091       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    928   h1       1 0.909091       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    929   h1       1 0.909091       1 0.576923       1       1       1 0.505357 0.823529     0.218274
    930   h1       1 0.151515       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1       1       1 0.812500 0.823529     0.491473
    932   h1       1 0.909091       1 0.916667       1       1       1 0.812500 0.825077     0.558646
    933   h1       1 0.909091       1 0.916667       1       1       1 0.812500 0.823529     0.557598
    934   h1       1 0.909091       1 0.705128       1       1       1 0.496429 0.235294     0.074876
    935   h1       1 0.151515       1 0.000000       1       1       1 0.000000 0.000000     0.000000
