 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1       1 0.641026       1 0.000000 0.062500       1     0.000000
    345   h0       1 0.965909       1       1 0.666667       1 0.000000 0.062500       1     0.000000
    346   h0       1 0.708333       1       1 0.307692       1 0.000000 0.044643       1     0.000000
    347   h0       1 0.784091       1       1 0.721154       1 0.800000 0.812500       1     0.367543
    348   h0       1 0.818182       1       1 0.750000       1 0.800000 0.812500       1     0.398864
    349   h0       1 0.579545       1       1 0.570513       1 0.635294 0.580357       1     0.121905
    350   h0       1 0.958333       1       1 0.801282       1 0.866667 0.125000       1     0.083189
    351   h0       1 1.000000       1       1 0.833333       1 0.866667 0.125000       1     0.090278
    352   h0       1 0.708333       1       1 0.352564       1 0.688235 0.089286       1     0.015346
    353   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    354   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    355   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    392   h0       1 0.696970       1       1 0.721154       1 0.933333 0.812500       1     0.381155
    393   h0       1 0.727273       1       1 0.750000       1 0.933333 0.812500       1     0.413636
    394   h0       1 0.647727       1       1 0.750000       1 0.741176 0.580357       1     0.208963
    395   h0       1 0.454545       1       1 0.490385       1 0.000000 0.000000       1     0.000000
    396   h0       1 0.696970       1       1 0.801282       1 0.933333 0.812500       1     0.423506
    397   h0       1 0.727273       1       1 0.833333       1 0.933333 0.812500       1     0.459596
    398   h0       1 0.727273       1       1 0.833333       1 0.933333 0.687500       1     0.388889
    399   h0       1 0.727273       1       1 0.544872       1 0.658824 0.225000       1     0.058741
    400   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    401   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    402   h0       1 0.727273       1       1 0.750000       1 0.800000 0.792857       1     0.345974
    403   h0       1 0.454545       1       1 0.384615       1 0.333333 0.278571       1     0.016234
    404   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000       1     0.429545
    405   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000       1     0.429545
    406   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000       1     0.429545
    407   h0       1 0.681818       1       1 0.221154       1 0.405882 0.350000       1     0.021421
    408   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    409   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    410   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    411   h0       1 0.875000       1       1 0.224359       1 0.423529 0.350000       1     0.029101
    412   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500       1     0.393939
    413   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500       1     0.393939
    414   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500       1     0.393939
    415   h0       1 0.587121       1       1 0.288462       1 0.358824 0.325000       1     0.019751
    416   h0       1 0.689394       1       1 1.000000       1 0.800000 0.812500       1     0.448106
    417   h0       1 0.727273       1       1 1.000000       1 0.800000 0.812500       1     0.472727
    418   h0       1 0.727273       1       1 1.000000       1 0.758824 0.787500       1     0.434599
    419   h0       1 0.545455       1       1 1.000000       1 0.205882 0.235714       1     0.026471
    420   h0       1 0.696970       1       1 0.721154       1 0.800000 0.812500       1     0.326705
    421   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    422   h0       1 0.727273       1       1 0.750000       1 0.662745 0.687500       1     0.248529
