 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1       1 0.641026       1 0.000000       1 0.000000     0.000000
    345   h0       1 0.965909       1       1 0.666667       1 0.000000       1 0.000000     0.000000
    346   h0       1 0.708333       1       1 0.307692       1 0.000000       1 0.000000     0.000000
    347   h0       1 0.784091       1       1 0.721154       1 0.800000       1 0.764706     0.345922
    348   h0       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    349   h0       1 0.579545       1       1 0.570513       1 0.635294       1 0.390093     0.081940
    350   h0       1 0.958333       1       1 0.801282       1 0.866667       1 0.058824     0.039148
    351   h0       1 1.000000       1       1 0.833333       1 0.866667       1 0.058824     0.042484
    352   h0       1 0.708333       1       1 0.352564       1 0.688235       1 0.027864     0.004789
    353   h0       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    354   h0       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    355   h0       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    392   h0       1 0.696970       1       1 0.721154       1 0.933333       1 0.823529     0.386329
    393   h0       1 0.727273       1       1 0.750000       1 0.933333       1 0.823529     0.419251
    394   h0       1 0.647727       1       1 0.750000       1 0.741176       1 0.390093     0.140457
    395   h0       1 0.454545       1       1 0.490385       1 0.000000       1 0.000000     0.000000
    396   h0       1 0.696970       1       1 0.801282       1 0.933333       1 0.882353     0.459916
    397   h0       1 0.727273       1       1 0.833333       1 0.933333       1 0.860681     0.486850
    398   h0       1 0.727273       1       1 0.833333       1 0.933333       1 0.823529     0.465835
    399   h0       1 0.727273       1       1 0.544872       1 0.658824       1 0.238390     0.062237
    400   h0       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    401   h0       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    402   h0       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    403   h0       1 0.454545       1       1 0.384615       1 0.333333       1 0.043344     0.002526
    404   h0       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    405   h0       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    406   h0       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    407   h0       1 0.681818       1       1 0.221154       1 0.405882       1 0.068111     0.004169
    408   h0       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    409   h0       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    410   h0       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    411   h0       1 0.875000       1       1 0.224359       1 0.423529       1 0.065015     0.005406
    412   h0       1 0.727273       1       1 0.833333       1 0.800000       1 0.823529     0.399287
    413   h0       1 0.727273       1       1 0.833333       1 0.800000       1 0.823529     0.399287
    414   h0       1 0.727273       1       1 0.833333       1 0.800000       1 0.767802     0.372268
    415   h0       1 0.587121       1       1 0.288462       1 0.358824       1 0.038700     0.002352
    416   h0       1 0.689394       1       1 1.000000       1 0.800000       1 0.823529     0.454189
    417   h0       1 0.727273       1       1 1.000000       1 0.800000       1 0.823529     0.479144
    418   h0       1 0.727273       1       1 1.000000       1 0.758824       1 0.823529     0.454483
    419   h0       1 0.545455       1       1 1.000000       1 0.205882       1 0.255418     0.028683
    420   h0       1 0.696970       1       1 0.721154       1 0.800000       1 0.823529     0.331139
    421   h0       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    422   h0       1 0.727273       1       1 0.750000       1 0.662745       1 0.606811     0.219361
    423   h0       1 0.727273       1       1 0.490385       1 0.094118       1 0.119195     0.004001
    424   h0       1 0.696970       1       1 0.721154       1 0.800000       1 0.823529     0.331139
    425   h0       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    426   h0       1 0.674242       1       1 0.653846       1 0.635294       1 0.390093     0.109253
    427   h0       1 0.545455       1       1 0.381410       1 0.000000       1 0.000000     0.000000
    448   h0       1 0.958333       1       1 0.961538       1 0.866667       1 0.823529     0.657680
    449   h0       1 1.000000       1       1 1.000000       1 0.866667       1 0.823529     0.713725
    450   h0       1 1.000000       1       1 1.000000       1 0.866667       1 0.823529     0.713725
    451   h0       1 1.000000       1       1 1.000000       1 0.611765       1 0.572755     0.350392
    452   h0       1 0.166667       1       1 0.846154       1 0.000000       1 0.061920     0.000000
    453   h0       1 0.696970       1       1 0.801282       1 0.800000       1 0.823529     0.367933
    454   h0       1 0.727273       1       1 0.833333       1 0.800000       1 0.823529     0.399287
    455   h0       1 0.727273       1       1 0.833333       1 0.800000       1 0.823529     0.399287
    456   h0       1 0.727273       1       1 0.833333       1 0.564706       1 0.823529     0.281850
    457   h0       1 0.121212       1       1 0.705128       1 0.000000       1 0.108359     0.000000
    458   h0       1 0.784091       1       1 0.801282       1 0.800000       1 0.823529     0.413924
    459   h0       1 0.909091       1       1 0.833333       1 0.800000       1 0.823529     0.499109
    460   h0       1 0.909091       1       1 0.833333       1 0.800000       1 0.823529     0.499109
    461   h0       1 0.909091       1       1 0.833333       1 0.564706       1 0.823529     0.352312
    462   h0       1 0.151515       1       1 0.705128       1 0.000000       1 0.108359     0.000000
    463   h0       1 0.958333       1       1 0.721154       1 0.800000       1 0.823529     0.455317
    464   h0       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    465   h0       1 1.000000       1       1 0.750000       1 0.800000       1 0.856037     0.513622
    466   h0       1 1.000000       1       1 0.548077       1 0.564706       1 0.255418     0.079052
    467   h0       1 0.166667       1       1 0.141026       1 0.000000       1 0.000000     0.000000
    812   h1       1 0.916667       1       1 0.583333       1 0.000000       1 0.000000     0.000000
    813   h1       1 1.000000       1       1 0.583333       1 0.000000       1 0.000000     0.000000
