 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1       1 0.641026       1       1 0.062500 0.000000     0.000000
    345   h0       1 0.965909       1       1 0.666667       1       1 0.062500 0.000000     0.000000
    346   h0       1 0.708333       1       1 0.307692       1       1 0.044643 0.000000     0.000000
    347   h0       1 0.784091       1       1 0.721154       1       1 0.812500 0.764706     0.351327
    348   h0       1 0.818182       1       1 0.750000       1       1 0.812500 0.823529     0.410595
    349   h0       1 0.579545       1       1 0.570513       1       1 0.580357 0.390093     0.074854
    350   h0       1 0.958333       1       1 0.801282       1       1 0.125000 0.058824     0.005646
    351   h0       1 1.000000       1       1 0.833333       1       1 0.125000 0.058824     0.006127
    352   h0       1 0.708333       1       1 0.352564       1       1 0.089286 0.027864     0.000621
    353   h0       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    354   h0       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    355   h0       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    392   h0       1 0.696970       1       1 0.721154       1       1 0.812500 0.823529     0.336314
    393   h0       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    394   h0       1 0.647727       1       1 0.750000       1       1 0.580357 0.390093     0.109981
    395   h0       1 0.454545       1       1 0.490385       1       1 0.000000 0.000000     0.000000
    396   h0       1 0.696970       1       1 0.801282       1       1 0.812500 0.882353     0.400373
    397   h0       1 0.727273       1       1 0.833333       1       1 0.812500 0.860681     0.423820
    398   h0       1 0.727273       1       1 0.833333       1       1 0.687500 0.823529     0.343137
    399   h0       1 0.727273       1       1 0.544872       1       1 0.225000 0.238390     0.021255
    400   h0       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    401   h0       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    402   h0       1 0.727273       1       1 0.750000       1       1 0.792857 0.823529     0.356150
    403   h0       1 0.454545       1       1 0.384615       1       1 0.278571 0.043344     0.002111
    404   h0       1 0.818182       1       1 0.750000       1       1 0.875000 0.823529     0.442179
    405   h0       1 0.818182       1       1 0.750000       1       1 0.875000 0.823529     0.442179
    406   h0       1 0.818182       1       1 0.750000       1       1 0.875000 0.823529     0.442179
    407   h0       1 0.681818       1       1 0.221154       1       1 0.350000 0.068111     0.003595
    408   h0       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    409   h0       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    410   h0       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    411   h0       1 0.875000       1       1 0.224359       1       1 0.350000 0.065015     0.004467
    412   h0       1 0.727273       1       1 0.833333       1       1 0.812500 0.823529     0.405526
    413   h0       1 0.727273       1       1 0.833333       1       1 0.812500 0.823529     0.405526
    414   h0       1 0.727273       1       1 0.833333       1       1 0.812500 0.767802     0.378084
    415   h0       1 0.587121       1       1 0.288462       1       1 0.325000 0.038700     0.002130
    416   h0       1 0.689394       1       1 1.000000       1       1 0.812500 0.823529     0.461286
    417   h0       1 0.727273       1       1 1.000000       1       1 0.812500 0.823529     0.486631
