 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000       1 0.641026       1 0.000000 0.062500       1     0.000000
    345   h0 0.454545       1 0.000000       1 0.666667       1 0.000000 0.062500       1     0.000000
    346   h0 0.355731       1 0.000000       1 0.307692       1 0.000000 0.044643       1     0.000000
    347   h0 0.695652       1 0.960000       1 0.721154       1 0.800000 0.812500       1     0.313043
    348   h0 0.727273       1 1.000000       1 0.750000       1 0.800000 0.812500       1     0.354545
    349   h0 0.569170       1 0.640000       1 0.570513       1 0.635294 0.580357       1     0.076623
    350   h0 0.695652       1 0.610909       1 0.801282       1 0.866667 0.125000       1     0.036891
    351   h0 0.727273       1 0.636364       1 0.833333       1 0.866667 0.125000       1     0.041781
    352   h0 0.600791       1 0.407273       1 0.352564       1 0.688235 0.089286       1     0.005301
    353   h0 0.956522       1 0.436364       1 0.000000       1 0.000000 0.000000       1     0.000000
    354   h0 1.000000       1 0.454545       1 0.000000       1 0.000000 0.000000       1     0.000000
    355   h0 0.826087       1 0.290909       1 0.000000       1 0.000000 0.000000       1     0.000000
    392   h0 0.956522       1 0.698182       1 0.721154       1 0.933333 0.812500       1     0.365217
    393   h0 1.000000       1 0.727273       1 0.750000       1 0.933333 0.812500       1     0.413636
    394   h0 1.000000       1 0.727273       1 0.750000       1 0.741176 0.580357       1     0.234626
    395   h0 1.000000       1 0.669091       1 0.490385       1 0.000000 0.000000       1     0.000000
    396   h0 0.695652       1 0.698182       1 0.801282       1 0.933333 0.812500       1     0.295125
    397   h0 0.727273       1 0.727273       1 0.833333       1 0.933333 0.812500       1     0.334252
    398   h0 0.727273       1 0.727273       1 0.833333       1 0.933333 0.687500       1     0.282828
    399   h0 0.727273       1 0.669091       1 0.544872       1 0.658824 0.225000       1     0.039303
    400   h0 0.909091       1 0.818182       1 0.750000       1 0.800000 0.812500       1     0.362603
    401   h0 0.909091       1 0.818182       1 0.750000       1 0.800000 0.812500       1     0.362603
    402   h0 0.909091       1 0.818182       1 0.750000       1 0.800000 0.792857       1     0.353837
    403   h0 0.909091       1 0.654545       1 0.384615       1 0.333333 0.278571       1     0.021251
    404   h0 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000       1     0.277686
