 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000       1 0.641026       1 0.000000       1 0.000000     0.000000
    345   h0 0.454545       1 0.000000       1 0.666667       1 0.000000       1 0.000000     0.000000
    346   h0 0.355731       1 0.000000       1 0.307692       1 0.000000       1 0.000000     0.000000
    347   h0 0.695652       1 0.960000       1 0.721154       1 0.800000       1 0.764706     0.294629
    348   h0 0.727273       1 1.000000       1 0.750000       1 0.800000       1 0.823529     0.359358
    349   h0 0.569170       1 0.640000       1 0.570513       1 0.635294       1 0.390093     0.051503
    350   h0 0.695652       1 0.610909       1 0.801282       1 0.866667       1 0.058824     0.017360
    351   h0 0.727273       1 0.636364       1 0.833333       1 0.866667       1 0.058824     0.019662
    352   h0 0.600791       1 0.407273       1 0.352564       1 0.688235       1 0.027864     0.001654
    353   h0 0.956522       1 0.436364       1 0.000000       1 0.000000       1 0.000000     0.000000
    354   h0 1.000000       1 0.454545       1 0.000000       1 0.000000       1 0.000000     0.000000
    355   h0 0.826087       1 0.290909       1 0.000000       1 0.000000       1 0.000000     0.000000
    392   h0 0.956522       1 0.698182       1 0.721154       1 0.933333       1 0.823529     0.370175
    393   h0 1.000000       1 0.727273       1 0.750000       1 0.933333       1 0.823529     0.419251
    394   h0 1.000000       1 0.727273       1 0.750000       1 0.741176       1 0.390093     0.157706
    395   h0 1.000000       1 0.669091       1 0.490385       1 0.000000       1 0.000000     0.000000
    396   h0 0.695652       1 0.698182       1 0.801282       1 0.933333       1 0.882353     0.320498
    397   h0 0.727273       1 0.727273       1 0.833333       1 0.933333       1 0.860681     0.354073
    398   h0 0.727273       1 0.727273       1 0.833333       1 0.933333       1 0.823529     0.338789
    399   h0 0.727273       1 0.669091       1 0.544872       1 0.658824       1 0.238390     0.041642
    400   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1 0.823529     0.367526
    401   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1 0.823529     0.367526
    402   h0 0.909091       1 0.818182       1 0.750000       1 0.800000       1 0.823529     0.367526
    403   h0 0.909091       1 0.654545       1 0.384615       1 0.333333       1 0.043344     0.003307
    404   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    405   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    406   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    407   h0 0.703557       1 0.461818       1 0.221154       1 0.405882       1 0.068111     0.001986
    408   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    409   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    410   h0 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    411   h0 0.723320       1 0.490909       1 0.224359       1 0.423529       1 0.065015     0.002194
    412   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1 0.823529     0.549020
    413   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1 0.823529     0.549020
    414   h0 1.000000       1 1.000000       1 0.833333       1 0.800000       1 0.767802     0.511868
    415   h0 1.000000       1 0.680000       1 0.288462       1 0.358824       1 0.038700     0.002724
    416   h0 0.727273       1 0.909091       1 1.000000       1 0.800000       1 0.823529     0.435586
    417   h0 0.727273       1 0.909091       1 1.000000       1 0.800000       1 0.823529     0.435586
    418   h0 0.727273       1 0.909091       1 1.000000       1 0.758824       1 0.823529     0.413166
    419   h0 0.316206       1 0.181818       1 1.000000       1 0.205882       1 0.255418     0.003023
    420   h0 0.956522       1 0.872727       1 0.721154       1 0.800000       1 0.823529     0.396616
    421   h0 1.000000       1 0.909091       1 0.750000       1 0.800000       1 0.823529     0.449198
    422   h0 1.000000       1 0.909091       1 0.750000       1 0.662745       1 0.606811     0.274201
    423   h0 1.000000       1 0.836364       1 0.490385       1 0.094118       1 0.119195     0.004601
    424   h0 0.695652       1 0.960000       1 0.721154       1 0.800000       1 0.823529     0.317293
    425   h0 0.727273       1 1.000000       1 0.750000       1 0.800000       1 0.823529     0.359358
    426   h0 0.632411       1 0.640000       1 0.653846       1 0.635294       1 0.390093     0.065584
    427   h0 0.181818       1 0.000000       1 0.381410       1 0.000000       1 0.000000     0.000000
    448   h0 0.695652       1 0.698182       1 0.961538       1 0.866667       1 0.823529     0.333318
    449   h0 0.727273       1 0.727273       1 1.000000       1 0.866667       1 0.823529     0.377508
    450   h0 0.727273       1 0.727273       1 1.000000       1 0.866667       1 0.823529     0.377508
    451   h0 0.727273       1 0.669091       1 1.000000       1 0.611765       1 0.572755     0.170505
    452   h0 0.189723       1 0.000000       1 0.846154       1 0.000000       1 0.061920     0.000000
    453   h0 0.869565       1 0.960000       1 0.801282       1 0.800000       1 0.823529     0.440685
    454   h0 0.909091       1 1.000000       1 0.833333       1 0.800000       1 0.823529     0.499109
    455   h0 0.909091       1 1.000000       1 0.833333       1 0.800000       1 0.823529     0.499109
    456   h0 0.909091       1 0.920000       1 0.833333       1 0.564706       1 0.823529     0.324127
    457   h0 0.237154       1 0.000000       1 0.705128       1 0.000000       1 0.108359     0.000000
    458   h0 0.695652       1 0.698182       1 0.801282       1 0.800000       1 0.823529     0.256398
    459   h0 0.727273       1 0.727273       1 0.833333       1 0.800000       1 0.823529     0.290391
    460   h0 0.727273       1 0.727273       1 0.833333       1 0.800000       1 0.823529     0.290391
    461   h0 0.727273       1 0.669091       1 0.833333       1 0.564706       1 0.823529     0.188583
    462   h0 0.189723       1 0.000000       1 0.705128       1 0.000000       1 0.108359     0.000000
    463   h0 0.782609       1 0.698182       1 0.721154       1 0.800000       1 0.823529     0.259603
    464   h0 0.818182       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.294020
    465   h0 0.818182       1 0.727273       1 0.750000       1 0.800000       1 0.856037     0.305626
    466   h0 0.818182       1 0.669091       1 0.548077       1 0.564706       1 0.255418     0.043276
    467   h0 0.213439       1 0.000000       1 0.141026       1 0.000000       1 0.000000     0.000000
    812   h1 0.434783       1 0.000000       1 0.583333       1 0.000000       1 0.000000     0.000000
    813   h1 0.363636       1 0.000000       1 0.583333       1 0.000000       1 0.000000     0.000000
    814   h1 0.300395       1 0.000000       1 0.269231       1 0.000000       1 0.000000     0.000000
    815   h1 0.695652       1 0.960000       1 0.750000       1 0.733333       1 0.764706     0.280880
    816   h1 0.727273       1 1.000000       1 0.750000       1 0.733333       1 0.764706     0.305882
    817   h1 0.600791       1 0.600000       1 0.525641       1 0.635294       1 0.342105     0.041181
    818   h1 0.695652       1 0.727273       1 0.916667       1 0.800000       1 0.106811     0.039628
    819   h1 0.727273       1 0.727273       1 0.916667       1 0.800000       1 0.058824     0.022816
    820   h1 0.600791       1 0.465455       1 0.423077       1 0.611765       1 0.026316     0.001905
    821   h1 0.956522       1 0.436364       1 0.000000       1 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1 0.866667       1 0.823529     0.344450
    861   h1 1.000000       1 0.727273       1 0.750000       1 0.866667       1 0.823529     0.389305
    862   h1 1.000000       1 0.690909       1 0.750000       1 0.662745       1 0.368421     0.126524
    863   h1 1.000000       1 0.585455       1 0.461538       1 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1 0.933333       1 0.823529     0.327948
    865   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1 0.823529     0.372668
    866   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1 0.823529     0.372668
    867   h1 0.727273       1 0.669091       1 0.564103       1 0.658824       1 0.216718     0.039193
    868   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    869   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    870   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    871   h1 0.909091       1 0.581818       1 0.394231       1 0.329412       1 0.021672     0.001489
    872   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    873   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    874   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    875   h1 0.660079       1 0.450909       1 0.182692       1 0.403922       1 0.044892     0.000986
    876   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    877   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
