 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1 0.000000       1 0.062500 0.000000     0.000000
    345   h0 0.454545       1       1 0.500000       1 0.000000       1 0.062500 0.000000     0.000000
    346   h0 0.355731       1       1 0.280000       1 0.000000       1 0.044643 0.000000     0.000000
    347   h0 0.695652       1       1 0.720000       1 0.962963       1 0.812500 0.764706     0.299676
    348   h0 0.727273       1       1 0.750000       1 1.000000       1 0.812500 0.823529     0.364973
    349   h0 0.569170       1       1 0.420000       1 0.407407       1 0.580357 0.390093     0.022049
    350   h0 0.695652       1       1 0.240000       1 0.888889       1 0.125000 0.058824     0.001091
    351   h0 0.727273       1       1 0.250000       1 0.923077       1 0.125000 0.058824     0.001234
    352   h0 0.600791       1       1 0.140000       1 0.376068       1 0.089286 0.027864     0.000079
    353   h0 0.956522       1       1 0.000000       1 0.074074       1 0.000000 0.000000     0.000000
    354   h0 1.000000       1       1 0.000000       1 0.076923       1 0.000000 0.000000     0.000000
    355   h0 0.826087       1       1 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    392   h0 0.956522       1       1 0.800000       1 0.814815       1 0.812500 0.823529     0.417202
    393   h0 1.000000       1       1 0.833333       1 0.846154       1 0.812500 0.823529     0.471814
    394   h0 1.000000       1       1 0.448718       1 0.846154       1 0.580357 0.390093     0.085958
    395   h0 1.000000       1       1 0.000000       1 0.501425       1 0.000000 0.000000     0.000000
    396   h0 0.695652       1       1 0.960000       1 0.740741       1 0.812500 0.882353     0.354646
    397   h0 0.727273       1       1 1.000000       1 0.769231       1 0.812500 0.860681     0.391219
    398   h0 0.727273       1       1 1.000000       1 0.769231       1 0.687500 0.823529     0.316742
    399   h0 0.727273       1       1 0.769231       1 0.455840       1 0.225000 0.238390     0.013678
    400   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    401   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    402   h0 0.909091       1       1 0.680000       1 0.769231       1 0.792857 0.823529     0.310490
    403   h0 0.909091       1       1 0.115385       1 0.598291       1 0.278571 0.043344     0.000758
    404   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000 0.823529     0.369532
    405   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000 0.823529     0.369532
    406   h0 0.727273       1       1 0.833333       1 0.846154       1 0.875000 0.823529     0.369532
    407   h0 0.703557       1       1 0.384615       1 0.188034       1 0.350000 0.068111     0.001213
    408   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    409   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    410   h0 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    411   h0 0.723320       1       1 0.461538       1 0.222222       1 0.350000 0.065015     0.001688
    412   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    413   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    414   h0 1.000000       1       1 0.750000       1 0.769231       1 0.812500 0.767802     0.359907
    415   h0 1.000000       1       1 0.317308       1 0.142450       1 0.325000 0.038700     0.000569
    416   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    417   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    418   h0 0.727273       1       1 0.730769       1 0.769231       1 0.787500 0.823529     0.265133
    419   h0 0.316206       1       1 0.201923       1 0.643875       1 0.235714 0.255418     0.002475
    420   h0 0.956522       1       1 0.960000       1 0.712251       1 0.812500 0.823529     0.437624
    421   h0 1.000000       1       1 1.000000       1 0.769231       1 0.812500 0.823529     0.514706
    422   h0 1.000000       1       1 1.000000       1 0.769231       1 0.687500 0.606811     0.320910
    423   h0 1.000000       1       1 0.800000       1 0.455840       1 0.225000 0.119195     0.009780
    424   h0 0.695652       1       1 0.720000       1 0.925926       1 0.812500 0.823529     0.310315
    425   h0 0.727273       1       1 0.750000       1 1.000000       1 0.812500 0.823529     0.364973
    426   h0 0.632411       1       1 0.420000       1 1.000000       1 0.580357 0.390093     0.060133
    427   h0 0.181818       1       1 0.000000       1 0.592593       1 0.000000 0.000000     0.000000
    448   h0 0.695652       1       1 0.720000       1 0.740741       1 0.812500 0.823529     0.248252
    449   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    450   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    451   h0 0.727273       1       1 0.576923       1 0.643875       1 0.487500 0.572755     0.075433
    452   h0 0.189723       1       1 0.000000       1 0.341880       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1       1 0.720000       1 0.740741       1 0.812500 0.823529     0.310315
    454   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    455   h0 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    456   h0 0.909091       1       1 0.600000       1 0.769231       1 0.487500 0.823529     0.168449
    457   h0 0.237154       1       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    458   h0 0.695652       1       1 0.720000       1 0.769231       1 0.812500 0.823529     0.257801
    459   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    460   h0 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    461   h0 0.727273       1       1 0.600000       1 0.769231       1 0.487500 0.823529     0.134759
    462   h0 0.189723       1       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    463   h0 0.782609       1       1 0.800000       1 0.732194       1 0.812500 0.823529     0.306735
    464   h0 0.818182       1       1 0.833333       1 0.769231       1 0.812500 0.823529     0.350936
    465   h0 0.818182       1       1 0.833333       1 0.769231       1 0.812500 0.856037     0.364789
    466   h0 0.818182       1       1 0.666667       1 0.675214       1 0.487500 0.255418     0.045859
    467   h0 0.213439       1       1 0.000000       1 0.398860       1 0.000000 0.000000     0.000000
    812   h1 0.434783       1       1 0.400000       1 0.000000       1 0.062500 0.000000     0.000000
    813   h1 0.363636       1       1 0.416667       1 0.059829       1 0.062500 0.000000     0.000000
    814   h1 0.300395       1       1 0.216667       1 0.031339       1 0.042857 0.000000     0.000000
    815   h1 0.695652       1       1 0.720000       1 1.000000       1 0.812500 0.764706     0.311202
    816   h1 0.727273       1       1 0.750000       1 0.940171       1 0.812500 0.764706     0.318627
    817   h1 0.600791       1       1 0.420000       1 0.376068       1 0.580357 0.342105     0.018841
    818   h1 0.695652       1       1 0.333333       1 1.000000       1 0.187500 0.106811     0.004644
    819   h1 0.727273       1       1 0.333333       1 0.940171       1 0.187500 0.058824     0.002514
    820   h1 0.600791       1       1 0.173333       1 0.376068       1 0.133929 0.026316     0.000138
    821   h1 0.956522       1       1 0.000000       1 0.000000       1 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829       1 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077       1 0.812500 0.823529     0.519898
    861   h1 1.000000       1       1 0.916667       1 0.923077       1 0.812500 0.823529     0.566176
    862   h1 1.000000       1       1 0.476667       1 0.923077       1 0.557143 0.368421     0.090316
    863   h1 1.000000       1       1 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231       1 0.812500 0.823529     0.358056
    865   h1 0.727273       1       1 1.000000       1 0.769231       1 0.812500 0.823529     0.374332
    866   h1 0.727273       1       1 1.000000       1 0.769231       1 0.675000 0.823529     0.310983
    867   h1 0.727273       1       1 0.769231       1 0.427350       1 0.235714 0.216718     0.012213
    868   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    869   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    870   h1 0.909091       1       1 0.660256       1 0.769231       1 0.769643 0.823529     0.292648
    871   h1 0.909091       1       1 0.115385       1 0.569801       1 0.255357 0.021672     0.000331
    872   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500 0.823529     0.377451
    873   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500 0.823529     0.377451
    874   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500 0.823529     0.377451
    875   h1 0.660079       1       1 0.423077       1 0.156695       1 0.325000 0.044892     0.000638
    876   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    877   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    878   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000 0.823529     0.524064
    879   h1 0.695652       1       1 0.461538       1 0.222222       1 0.350000 0.043344     0.001082
    880   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500 0.823529     0.424632
    881   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500 0.823529     0.424632
    882   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500 0.773994     0.399091
    883   h1 0.956522       1       1 0.288462       1 0.125356       1 0.325000 0.037152     0.000418
    884   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    885   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    886   h1 0.727273       1       1 0.733974       1 0.769231       1 0.801786 0.823529     0.271127
    887   h1 0.284585       1       1 0.259615       1 0.678063       1 0.255357 0.253870     0.003248
    888   h1 0.869565       1       1 1.000000       1 0.846154       1 0.812500 0.823529     0.492327
    889   h1 0.909091       1       1 1.000000       1 0.786325       1 0.812500 0.801858     0.465725
    890   h1 1.000000       1       1 1.000000       1 0.817664       1 0.675000 0.602167     0.332350
    891   h1 1.000000       1       1 0.769231       1 0.470085       1 0.235714 0.123839     0.010555
    892   h1 0.695652       1       1 0.750000       1 0.923077       1 0.812500 0.837461     0.327702
    893   h1 0.727273       1       1 0.750000       1 0.923077       1 0.812500 0.882353     0.360963
    894   h1 0.632411       1       1 0.390000       1 0.923077       1 0.557143 0.394737     0.050070
    895   h1 0.181818       1       1 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.268542
    917   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    918   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    919   h1 0.727273       1       1 0.570000       1 0.666667       1 0.510714 0.530960     0.074941
    920   h1 0.158103       1       1 0.000000       1 0.398860       1 0.000000 0.054180     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231       1 0.812500 0.823529     0.328218
    922   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    923   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    924   h1 0.909091       1       1 0.576923       1 0.769231       1 0.492857 0.823529     0.163750
    925   h1 0.197628       1       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231       1 0.812500 0.823529     0.262615
    927   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    928   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    929   h1 0.727273       1       1 0.576923       1 0.769231       1 0.505357 0.823529     0.134323
    930   h1 0.158103       1       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308       1 0.812500 0.823529     0.371182
    932   h1 0.909091       1       1 0.916667       1 0.754986       1 0.812500 0.825077     0.421770
    933   h1 0.909091       1       1 0.916667       1 0.723647       1 0.812500 0.823529     0.403504
    934   h1 0.909091       1       1 0.705128       1 0.589744       1 0.496429 0.235294     0.044158
    935   h1 0.197628       1       1 0.000000       1 0.341880       1 0.000000 0.000000     0.000000
