 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1       1 0.000000 0.062500 0.000000     0.000000
    345   h0 0.454545       1       1 0.500000       1       1 0.000000 0.062500 0.000000     0.000000
    346   h0 0.355731       1       1 0.280000       1       1 0.000000 0.044643 0.000000     0.000000
    347   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500 0.764706     0.248962
    348   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    349   h0 0.569170       1       1 0.420000       1       1 0.635294 0.580357 0.390093     0.034382
    350   h0 0.695652       1       1 0.240000       1       1 0.866667 0.125000 0.058824     0.001064
    351   h0 0.727273       1       1 0.250000       1       1 0.866667 0.125000 0.058824     0.001159
    352   h0 0.600791       1       1 0.140000       1       1 0.688235 0.089286 0.027864     0.000144
    353   h0 0.956522       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    354   h0 1.000000       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    355   h0 0.826087       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    392   h0 0.956522       1       1 0.800000       1       1 0.933333 0.812500 0.823529     0.477886
    393   h0 1.000000       1       1 0.833333       1       1 0.933333 0.812500 0.823529     0.520425
    394   h0 1.000000       1       1 0.448718       1       1 0.741176 0.580357 0.390093     0.075294
    395   h0 1.000000       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    396   h0 0.695652       1       1 0.960000       1       1 0.933333 0.812500 0.882353     0.446854
    397   h0 0.727273       1       1 1.000000       1       1 0.933333 0.812500 0.860681     0.474679
    398   h0 0.727273       1       1 1.000000       1       1 0.933333 0.687500 0.823529     0.384314
    399   h0 0.727273       1       1 0.769231       1       1 0.658824 0.225000 0.238390     0.019769
    400   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    401   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    402   h0 0.909091       1       1 0.680000       1       1 0.800000 0.792857 0.823529     0.322909
    403   h0 0.909091       1       1 0.115385       1       1 0.333333 0.278571 0.043344     0.000422
    404   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000 0.823529     0.349376
    405   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000 0.823529     0.349376
    406   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000 0.823529     0.349376
    407   h0 0.703557       1       1 0.384615       1       1 0.405882 0.350000 0.068111     0.002618
    408   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    409   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    410   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    411   h0 0.723320       1       1 0.461538       1       1 0.423529 0.350000 0.065015     0.003217
    412   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.401471
    413   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.401471
    414   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.767802     0.374303
    415   h0 1.000000       1       1 0.317308       1       1 0.358824 0.325000 0.038700     0.001432
    416   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    417   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    418   h0 0.727273       1       1 0.730769       1       1 0.758824 0.787500 0.823529     0.261546
    419   h0 0.316206       1       1 0.201923       1       1 0.205882 0.235714 0.255418     0.000791
    420   h0 0.956522       1       1 0.960000       1       1 0.800000 0.812500 0.823529     0.491540
    421   h0 1.000000       1       1 1.000000       1       1 0.800000 0.812500 0.823529     0.535294
    422   h0 1.000000       1       1 1.000000       1       1 0.662745 0.687500 0.606811     0.276486
    423   h0 1.000000       1       1 0.800000       1       1 0.094118 0.225000 0.119195     0.002019
    424   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500 0.823529     0.268113
    425   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    426   h0 0.632411       1       1 0.420000       1       1 0.635294 0.580357 0.390093     0.038202
    427   h0 0.181818       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    448   h0 0.695652       1       1 0.720000       1       1 0.866667 0.812500 0.823529     0.290455
    449   h0 0.727273       1       1 0.750000       1       1 0.866667 0.812500 0.823529     0.316310
    450   h0 0.727273       1       1 0.750000       1       1 0.866667 0.812500 0.823529     0.316310
    451   h0 0.727273       1       1 0.576923       1       1 0.611765 0.487500 0.572755     0.071671
    452   h0 0.189723       1       1 0.000000       1       1 0.000000 0.000000 0.061920     0.000000
    453   h0 0.869565       1       1 0.720000       1       1 0.800000 0.812500 0.823529     0.335141
    454   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    455   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    456   h0 0.909091       1       1 0.600000       1       1 0.564706 0.487500 0.823529     0.123662
    457   h0 0.237154       1       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    458   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500 0.823529     0.268113
    459   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    460   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    461   h0 0.727273       1       1 0.600000       1       1 0.564706 0.487500 0.823529     0.098929
    462   h0 0.189723       1       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    463   h0 0.782609       1       1 0.800000       1       1 0.800000 0.812500 0.823529     0.335141
    464   h0 0.818182       1       1 0.833333       1       1 0.800000 0.812500 0.823529     0.364973
    465   h0 0.818182       1       1 0.833333       1       1 0.800000 0.812500 0.856037     0.379380
    466   h0 0.818182       1       1 0.666667       1       1 0.564706 0.487500 0.255418     0.038354
    467   h0 0.213439       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    812   h1 0.434783       1       1 0.400000       1       1 0.000000 0.062500 0.000000     0.000000
    813   h1 0.363636       1       1 0.416667       1       1 0.000000 0.062500 0.000000     0.000000
    814   h1 0.300395       1       1 0.216667       1       1 0.000000 0.042857 0.000000     0.000000
    815   h1 0.695652       1       1 0.720000       1       1 0.733333 0.812500 0.764706     0.228215
    816   h1 0.727273       1       1 0.750000       1       1 0.733333 0.812500 0.764706     0.248529
    817   h1 0.600791       1       1 0.420000       1       1 0.635294 0.580357 0.342105     0.031827
    818   h1 0.695652       1       1 0.333333       1       1 0.800000 0.187500 0.106811     0.003715
    819   h1 0.727273       1       1 0.333333       1       1 0.800000 0.187500 0.058824     0.002139
    820   h1 0.600791       1       1 0.173333       1       1 0.611765 0.133929 0.026316     0.000225
    821   h1 0.956522       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1       1 0.866667 0.812500 0.823529     0.488126
    861   h1 1.000000       1       1 0.916667       1       1 0.866667 0.812500 0.823529     0.531577
    862   h1 1.000000       1       1 0.476667       1       1 0.662745 0.557143 0.368421     0.064844
    863   h1 1.000000       1       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1       1 0.933333 0.812500 0.823529     0.434442
    865   h1 0.727273       1       1 1.000000       1       1 0.933333 0.812500 0.823529     0.454189
    866   h1 0.727273       1       1 1.000000       1       1 0.933333 0.675000 0.823529     0.377326
    867   h1 0.727273       1       1 0.769231       1       1 0.658824 0.235714 0.216718     0.018828
    868   h1 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    869   h1 0.909091       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    870   h1 0.909091       1       1 0.660256       1       1 0.800000 0.769643 0.823529     0.304353
    871   h1 0.909091       1       1 0.115385       1       1 0.329412 0.255357 0.021672     0.000191
    872   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500 0.823529     0.356863
    873   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500 0.823529     0.356863
    874   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500 0.823529     0.356863
    875   h1 0.660079       1       1 0.423077       1       1 0.403922 0.325000 0.044892     0.001646
    876   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    877   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    878   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000 0.823529     0.419251
    879   h1 0.695652       1       1 0.461538       1       1 0.400000 0.350000 0.043344     0.001948
    880   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.401471
    881   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.823529     0.401471
    882   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500 0.773994     0.377322
