 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1       1 0.641026       1 0.000000 0.062500 0.000000     0.000000
    345   h0 0.454545       1       1       1 0.666667       1 0.000000 0.062500 0.000000     0.000000
    346   h0 0.355731       1       1       1 0.307692       1 0.000000 0.044643 0.000000     0.000000
    347   h0 0.695652       1       1       1 0.721154       1 0.800000 0.812500 0.764706     0.249361
    348   h0 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    349   h0 0.569170       1       1       1 0.570513       1 0.635294 0.580357 0.390093     0.046703
    350   h0 0.695652       1       1       1 0.801282       1 0.866667 0.125000 0.058824     0.003552
    351   h0 0.727273       1       1       1 0.833333       1 0.866667 0.125000 0.058824     0.003862
    352   h0 0.600791       1       1       1 0.352564       1 0.688235 0.089286 0.027864     0.000363
    353   h0 0.956522       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    354   h0 1.000000       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    355   h0 0.826087       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    392   h0 0.956522       1       1       1 0.721154       1 0.933333 0.812500 0.823529     0.430786
    393   h0 1.000000       1       1       1 0.750000       1 0.933333 0.812500 0.823529     0.468382
    394   h0 1.000000       1       1       1 0.750000       1 0.741176 0.580357 0.390093     0.125848
    395   h0 1.000000       1       1       1 0.490385       1 0.000000 0.000000 0.000000     0.000000
    396   h0 0.695652       1       1       1 0.801282       1 0.933333 0.812500 0.882353     0.372975
    397   h0 0.727273       1       1       1 0.833333       1 0.933333 0.812500 0.860681     0.395566
    398   h0 0.727273       1       1       1 0.833333       1 0.933333 0.687500 0.823529     0.320261
    399   h0 0.727273       1       1       1 0.544872       1 0.658824 0.225000 0.238390     0.014003
    400   h0 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    401   h0 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    402   h0 0.909091       1       1       1 0.750000       1 0.800000 0.792857 0.823529     0.356150
    403   h0 0.909091       1       1       1 0.384615       1 0.333333 0.278571 0.043344     0.001407
    404   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    405   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    406   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    407   h0 0.703557       1       1       1 0.221154       1 0.405882 0.350000 0.068111     0.001506
    408   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    409   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    410   h0 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    411   h0 0.723320       1       1       1 0.224359       1 0.423529 0.350000 0.065015     0.001564
    412   h0 1.000000       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.446078
    413   h0 1.000000       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.446078
    414   h0 1.000000       1       1       1 0.833333       1 0.800000 0.812500 0.767802     0.415893
    415   h0 1.000000       1       1       1 0.288462       1 0.358824 0.325000 0.038700     0.001302
    416   h0 0.727273       1       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    417   h0 0.727273       1       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    418   h0 0.727273       1       1       1 1.000000       1 0.758824 0.787500 0.823529     0.357905
    419   h0 0.316206       1       1       1 1.000000       1 0.205882 0.235714 0.255418     0.003919
    420   h0 0.956522       1       1       1 0.721154       1 0.800000 0.812500 0.823529     0.369246
    421   h0 1.000000       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.401471
    422   h0 1.000000       1       1       1 0.750000       1 0.662745 0.687500 0.606811     0.207364
    423   h0 1.000000       1       1       1 0.490385       1 0.094118 0.225000 0.119195     0.001238
    424   h0 0.695652       1       1       1 0.721154       1 0.800000 0.812500 0.823529     0.268542
    425   h0 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    426   h0 0.632411       1       1       1 0.653846       1 0.635294 0.580357 0.390093     0.059472
    427   h0 0.181818       1       1       1 0.381410       1 0.000000 0.000000 0.000000     0.000000
    448   h0 0.695652       1       1       1 0.961538       1 0.866667 0.812500 0.823529     0.387894
    449   h0 0.727273       1       1       1 1.000000       1 0.866667 0.812500 0.823529     0.421747
    450   h0 0.727273       1       1       1 1.000000       1 0.866667 0.812500 0.823529     0.421747
    451   h0 0.727273       1       1       1 1.000000       1 0.611765 0.487500 0.572755     0.124230
    452   h0 0.189723       1       1       1 0.846154       1 0.000000 0.000000 0.061920     0.000000
    453   h0 0.869565       1       1       1 0.801282       1 0.800000 0.812500 0.823529     0.372975
    454   h0 0.909091       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.405526
    455   h0 0.909091       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.405526
    456   h0 0.909091       1       1       1 0.833333       1 0.564706 0.487500 0.823529     0.171752
    457   h0 0.237154       1       1       1 0.705128       1 0.000000 0.000000 0.108359     0.000000
    458   h0 0.695652       1       1       1 0.801282       1 0.800000 0.812500 0.823529     0.298380
    459   h0 0.727273       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.324421
    460   h0 0.727273       1       1       1 0.833333       1 0.800000 0.812500 0.823529     0.324421
    461   h0 0.727273       1       1       1 0.833333       1 0.564706 0.487500 0.823529     0.137402
    462   h0 0.189723       1       1       1 0.705128       1 0.000000 0.000000 0.108359     0.000000
    463   h0 0.782609       1       1       1 0.721154       1 0.800000 0.812500 0.823529     0.302110
    464   h0 0.818182       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    465   h0 0.818182       1       1       1 0.750000       1 0.800000 0.812500 0.856037     0.341442
    466   h0 0.818182       1       1       1 0.548077       1 0.564706 0.487500 0.255418     0.031531
    467   h0 0.213439       1       1       1 0.141026       1 0.000000 0.000000 0.000000     0.000000
    812   h1 0.434783       1       1       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    813   h1 0.363636       1       1       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    814   h1 0.300395       1       1       1 0.269231       1 0.000000 0.042857 0.000000     0.000000
    815   h1 0.695652       1       1       1 0.750000       1 0.733333 0.812500 0.764706     0.237724
    816   h1 0.727273       1       1       1 0.750000       1 0.733333 0.812500 0.764706     0.248529
    817   h1 0.600791       1       1       1 0.525641       1 0.635294 0.580357 0.342105     0.039833
    818   h1 0.695652       1       1       1 0.916667       1 0.800000 0.187500 0.106811     0.010217
    819   h1 0.727273       1       1       1 0.916667       1 0.800000 0.187500 0.058824     0.005882
    820   h1 0.600791       1       1       1 0.423077       1 0.611765 0.133929 0.026316     0.000548
    821   h1 0.956522       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1       1 0.750000       1 0.866667 0.812500 0.823529     0.416017
    861   h1 1.000000       1       1       1 0.750000       1 0.866667 0.812500 0.823529     0.434926
    862   h1 1.000000       1       1       1 0.750000       1 0.662745 0.557143 0.368421     0.102028
    863   h1 1.000000       1       1       1 0.461538       1 0.000000 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1       1 0.916667       1 0.933333 0.812500 0.823529     0.398238
    865   h1 0.727273       1       1       1 0.916667       1 0.933333 0.812500 0.823529     0.416340
    866   h1 0.727273       1       1       1 0.916667       1 0.933333 0.675000 0.823529     0.345882
    867   h1 0.727273       1       1       1 0.564103       1 0.658824 0.235714 0.216718     0.013807
    868   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    869   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    870   h1 0.909091       1       1       1 0.750000       1 0.800000 0.769643 0.823529     0.345722
    871   h1 0.909091       1       1       1 0.394231       1 0.329412 0.255357 0.021672     0.000653
    872   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    873   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    874   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    875   h1 0.660079       1       1       1 0.182692       1 0.403922 0.325000 0.044892     0.000711
    876   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    877   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    878   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000 0.823529     0.314439
    879   h1 0.695652       1       1       1 0.198718       1 0.400000 0.350000 0.043344     0.000839
    880   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500 0.823529     0.490686
    881   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500 0.823529     0.490686
    882   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500 0.773994     0.461171
    883   h1 0.956522       1       1       1 0.271605       1 0.376471 0.325000 0.037152     0.001181
    884   h1 0.727273       1       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    885   h1 0.727273       1       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    886   h1 0.727273       1       1       1 1.000000       1 0.752941 0.801786 0.823529     0.361573
    887   h1 0.284585       1       1       1 1.000000       1 0.247059 0.255357 0.253870     0.004558
    888   h1 0.869565       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.349105
    889   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.801858     0.355369
    890   h1 1.000000       1       1       1 0.750000       1 0.658824 0.675000 0.602167     0.200840
    891   h1 1.000000       1       1       1 0.461538       1 0.141176 0.235714 0.123839     0.001902
    892   h1 0.695652       1       1       1 0.750000       1 0.800000 0.812500 0.837461     0.284009
    893   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.882353     0.312834
    894   h1 0.632411       1       1       1 0.701923       1 0.611765 0.557143 0.394737     0.059724
    895   h1 0.181818       1       1       1 0.410256       1 0.000000 0.000000 0.000000     0.000000
    916   h1 0.695652       1       1       1 1.000000       1 0.933333 0.812500 0.823529     0.434442
    917   h1 0.727273       1       1       1 1.000000       1 0.933333 0.812500 0.823529     0.454189
    918   h1 0.727273       1       1       1 1.000000       1 0.933333 0.812500 0.823529     0.454189
    919   h1 0.727273       1       1       1 1.000000       1 0.658824 0.510714 0.530960     0.129929
    920   h1 0.158103       1       1       1 0.807692       1 0.000000 0.000000 0.054180     0.000000
    921   h1 0.869565       1       1       1 0.750000       1 0.866667 0.812500 0.823529     0.378197
    922   h1 0.909091       1       1       1 0.750000       1 0.866667 0.812500 0.823529     0.395388
    923   h1 0.909091       1       1       1 0.750000       1 0.866667 0.812500 0.823529     0.395388
    924   h1 0.909091       1       1       1 0.750000       1 0.637255 0.492857 0.823529     0.176353
    925   h1 0.197628       1       1       1 0.605769       1 0.000000 0.000000 0.108359     0.000000
    926   h1 0.707510       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.284044
    927   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    928   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    929   h1 0.727273       1       1       1 0.750000       1 0.564706 0.505357 0.823529     0.128191
    930   h1 0.158103       1       1       1 0.611111       1 0.000000 0.000000 0.108359     0.000000
    931   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    932   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.825077     0.365659
    933   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    934   h1 0.909091       1       1       1 0.525641       1 0.564706 0.496429 0.235294     0.031520
    935   h1 0.197628       1       1       1 0.134615       1 0.000000 0.000000 0.000000     0.000000
