 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000 0.000000 0.062500       1     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000 0.000000 0.062500       1     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000 0.000000 0.044643       1     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963 0.800000 0.812500       1     0.353364
    348   h0       1 0.818182       1 0.750000       1 1.000000 0.800000 0.812500       1     0.398864
    349   h0       1 0.579545       1 0.420000       1 0.407407 0.635294 0.580357       1     0.036563
    350   h0       1 0.958333       1 0.240000       1 0.888889 0.866667 0.125000       1     0.022148
    351   h0       1 1.000000       1 0.250000       1 0.923077 0.866667 0.125000       1     0.025000
    352   h0       1 0.708333       1 0.140000       1 0.376068 0.688235 0.089286       1     0.002292
    353   h0       1 0.000000       1 0.000000       1 0.074074 0.000000 0.000000       1     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923 0.000000 0.000000       1     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339 0.000000 0.000000       1     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815 0.933333 0.812500       1     0.344527
    393   h0       1 0.727273       1 0.833333       1 0.846154 0.933333 0.812500       1     0.388889
    394   h0       1 0.647727       1 0.448718       1 0.846154 0.741176 0.580357       1     0.105787
    395   h0       1 0.454545       1 0.000000       1 0.501425 0.000000 0.000000       1     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741 0.933333 0.812500       1     0.375847
    397   h0       1 0.727273       1 1.000000       1 0.769231 0.933333 0.812500       1     0.424242
    398   h0       1 0.727273       1 1.000000       1 0.769231 0.933333 0.687500       1     0.358974
    399   h0       1 0.727273       1 0.769231       1 0.455840 0.658824 0.225000       1     0.037802
    400   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    401   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    402   h0       1 0.727273       1 0.680000       1 0.769231 0.800000 0.792857       1     0.241295
    403   h0       1 0.454545       1 0.115385       1 0.598291 0.333333 0.278571       1     0.002914
    404   h0       1 0.818182       1 0.833333       1 0.846154 0.800000 0.875000       1     0.403846
    405   h0       1 0.818182       1 0.833333       1 0.846154 0.800000 0.875000       1     0.403846
    406   h0       1 0.818182       1 0.833333       1 0.846154 0.800000 0.875000       1     0.403846
    407   h0       1 0.681818       1 0.384615       1 0.188034 0.405882 0.350000       1     0.007005
    408   h0       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    409   h0       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    410   h0       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    411   h0       1 0.875000       1 0.461538       1 0.222222 0.423529 0.350000       1     0.013303
    412   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    413   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    414   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    415   h0       1 0.587121       1 0.317308       1 0.142450 0.358824 0.325000       1     0.003095
    416   h0       1 0.689394       1 0.750000       1 0.769231 0.800000 0.812500       1     0.258523
    417   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    418   h0       1 0.727273       1 0.730769       1 0.769231 0.758824 0.787500       1     0.244301
    419   h0       1 0.545455       1 0.201923       1 0.643875 0.205882 0.235714       1     0.003442
    420   h0       1 0.696970       1 0.960000       1 0.712251 0.800000 0.812500       1     0.309764
    421   h0       1 0.727273       1 1.000000       1 0.769231 0.800000 0.812500       1     0.363636
    422   h0       1 0.727273       1 1.000000       1 0.769231 0.662745 0.687500       1     0.254902
    423   h0       1 0.727273       1 0.800000       1 0.455840 0.094118 0.225000       1     0.005616
    424   h0       1 0.696970       1 0.720000       1 0.925926 0.800000 0.812500       1     0.302020
    425   h0       1 0.727273       1 0.750000       1 1.000000 0.800000 0.812500       1     0.354545
    426   h0       1 0.674242       1 0.420000       1 1.000000 0.635294 0.580357       1     0.104408
    427   h0       1 0.545455       1 0.000000       1 0.592593 0.000000 0.000000       1     0.000000
    448   h0       1 0.958333       1 0.720000       1 0.740741 0.866667 0.812500       1     0.359907
    449   h0       1 1.000000       1 0.750000       1 0.769231 0.866667 0.812500       1     0.406250
    450   h0       1 1.000000       1 0.750000       1 0.769231 0.866667 0.812500       1     0.406250
    451   h0       1 1.000000       1 0.576923       1 0.643875 0.611765 0.487500       1     0.110784
    452   h0       1 0.166667       1 0.000000       1 0.341880 0.000000 0.000000       1     0.000000
    453   h0       1 0.696970       1 0.720000       1 0.740741 0.800000 0.812500       1     0.241616
    454   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    455   h0       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    456   h0       1 0.727273       1 0.600000       1 0.769231 0.564706 0.487500       1     0.092406
    457   h0       1 0.121212       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    458   h0       1 0.784091       1 0.720000       1 0.769231 0.800000 0.812500       1     0.282273
    459   h0       1 0.909091       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    460   h0       1 0.909091       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    461   h0       1 0.909091       1 0.600000       1 0.769231 0.564706 0.487500       1     0.115508
    462   h0       1 0.151515       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    463   h0       1 0.958333       1 0.800000       1 0.732194 0.800000 0.812500       1     0.364877
    464   h0       1 1.000000       1 0.833333       1 0.769231 0.800000 0.812500       1     0.416667
    465   h0       1 1.000000       1 0.833333       1 0.769231 0.800000 0.812500       1     0.416667
    466   h0       1 1.000000       1 0.666667       1 0.675214 0.564706 0.487500       1     0.123922
    467   h0       1 0.166667       1 0.000000       1 0.398860 0.000000 0.000000       1     0.000000
    812   h1       1 0.916667       1 0.400000       1 0.000000 0.000000 0.062500       1     0.000000
    813   h1       1 1.000000       1 0.416667       1 0.059829 0.000000 0.062500       1     0.000000
    814   h1       1 0.750000       1 0.216667       1 0.031339 0.000000 0.042857       1     0.000000
    815   h1       1 0.750000       1 0.720000       1 1.000000 0.733333 0.812500       1     0.321750
    816   h1       1 0.818182       1 0.750000       1 0.940171 0.733333 0.812500       1     0.343750
    817   h1       1 0.613636       1 0.420000       1 0.376068 0.635294 0.580357       1     0.035735
    818   h1       1 0.916667       1 0.333333       1 1.000000 0.800000 0.187500       1     0.045833
    819   h1       1 1.000000       1 0.333333       1 0.940171 0.800000 0.187500       1     0.047009
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765 0.133929       1     0.004006
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000 0.000000       1     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000 0.000000       1     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000 0.000000       1     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667 0.812500       1     0.381333
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667 0.812500       1     0.433333
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745 0.557143       1     0.103388
