 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000 0.000000       1 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000 0.000000       1 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000 0.000000       1 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963 0.800000       1 0.764706     0.332578
    348   h0       1 0.818182       1 0.750000       1 1.000000 0.800000       1 0.823529     0.404278
    349   h0       1 0.579545       1 0.420000       1 0.407407 0.635294       1 0.390093     0.024576
    350   h0       1 0.958333       1 0.240000       1 0.888889 0.866667       1 0.058824     0.010423
    351   h0       1 1.000000       1 0.250000       1 0.923077 0.866667       1 0.058824     0.011765
    352   h0       1 0.708333       1 0.140000       1 0.376068 0.688235       1 0.027864     0.000715
    353   h0       1 0.000000       1 0.000000       1 0.074074 0.000000       1 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923 0.000000       1 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815 0.933333       1 0.823529     0.349204
    393   h0       1 0.727273       1 0.833333       1 0.846154 0.933333       1 0.823529     0.394168
    394   h0       1 0.647727       1 0.448718       1 0.846154 0.741176       1 0.390093     0.071106
    395   h0       1 0.454545       1 0.000000       1 0.501425 0.000000       1 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741 0.933333       1 0.882353     0.408160
    397   h0       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.860681     0.449400
    398   h0       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    399   h0       1 0.727273       1 0.769231       1 0.455840 0.658824       1 0.238390     0.040052
    400   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    401   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    402   h0       1 0.727273       1 0.680000       1 0.769231 0.800000       1 0.823529     0.250629
    403   h0       1 0.454545       1 0.115385       1 0.598291 0.333333       1 0.043344     0.000453
    404   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1 0.823529     0.380090
    405   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1 0.823529     0.380090
    406   h0       1 0.818182       1 0.833333       1 0.846154 0.800000       1 0.823529     0.380090
    407   h0       1 0.681818       1 0.384615       1 0.188034 0.405882       1 0.068111     0.001363
    408   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    409   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    410   h0       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    411   h0       1 0.875000       1 0.461538       1 0.222222 0.423529       1 0.065015     0.002471
    412   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    413   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    414   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.767802     0.257724
    415   h0       1 0.587121       1 0.317308       1 0.142450 0.358824       1 0.038700     0.000369
    416   h0       1 0.689394       1 0.750000       1 0.769231 0.800000       1 0.823529     0.262032
    417   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    418   h0       1 0.727273       1 0.730769       1 0.769231 0.758824       1 0.823529     0.255478
    419   h0       1 0.545455       1 0.201923       1 0.643875 0.205882       1 0.255418     0.003729
    420   h0       1 0.696970       1 0.960000       1 0.712251 0.800000       1 0.823529     0.313969
    421   h0       1 0.727273       1 1.000000       1 0.769231 0.800000       1 0.823529     0.368573
    422   h0       1 0.727273       1 1.000000       1 0.769231 0.662745       1 0.606811     0.224985
    423   h0       1 0.727273       1 0.800000       1 0.455840 0.094118       1 0.119195     0.002975
    424   h0       1 0.696970       1 0.720000       1 0.925926 0.800000       1 0.823529     0.306120
    425   h0       1 0.727273       1 0.750000       1 1.000000 0.800000       1 0.823529     0.359358
    426   h0       1 0.674242       1 0.420000       1 1.000000 0.635294       1 0.390093     0.070179
    427   h0       1 0.545455       1 0.000000       1 0.592593 0.000000       1 0.000000     0.000000
    448   h0       1 0.958333       1 0.720000       1 0.740741 0.866667       1 0.823529     0.364793
    449   h0       1 1.000000       1 0.750000       1 0.769231 0.866667       1 0.823529     0.411765
    450   h0       1 1.000000       1 0.750000       1 0.769231 0.866667       1 0.823529     0.411765
    451   h0       1 1.000000       1 0.576923       1 0.643875 0.611765       1 0.572755     0.130159
    452   h0       1 0.166667       1 0.000000       1 0.341880 0.000000       1 0.061920     0.000000
    453   h0       1 0.696970       1 0.720000       1 0.740741 0.800000       1 0.823529     0.244896
    454   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    455   h0       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    456   h0       1 0.727273       1 0.600000       1 0.769231 0.564706       1 0.823529     0.156101
    457   h0       1 0.121212       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    458   h0       1 0.784091       1 0.720000       1 0.769231 0.800000       1 0.823529     0.286104
    459   h0       1 0.909091       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    460   h0       1 0.909091       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    461   h0       1 0.909091       1 0.600000       1 0.769231 0.564706       1 0.823529     0.195127
    462   h0       1 0.151515       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    463   h0       1 0.958333       1 0.800000       1 0.732194 0.800000       1 0.823529     0.369830
    464   h0       1 1.000000       1 0.833333       1 0.769231 0.800000       1 0.823529     0.422323
    465   h0       1 1.000000       1 0.833333       1 0.769231 0.800000       1 0.856037     0.438993
    466   h0       1 1.000000       1 0.666667       1 0.675214 0.564706       1 0.255418     0.064927
    467   h0       1 0.166667       1 0.000000       1 0.398860 0.000000       1 0.000000     0.000000
    812   h1       1 0.916667       1 0.400000       1 0.000000 0.000000       1 0.000000     0.000000
    813   h1       1 1.000000       1 0.416667       1 0.059829 0.000000       1 0.000000     0.000000
    814   h1       1 0.750000       1 0.216667       1 0.031339 0.000000       1 0.000000     0.000000
    815   h1       1 0.750000       1 0.720000       1 1.000000 0.733333       1 0.764706     0.302824
    816   h1       1 0.818182       1 0.750000       1 0.940171 0.733333       1 0.764706     0.323529
    817   h1       1 0.613636       1 0.420000       1 0.376068 0.635294       1 0.342105     0.021065
    818   h1       1 0.916667       1 0.333333       1 1.000000 0.800000       1 0.106811     0.026109
    819   h1       1 1.000000       1 0.333333       1 0.940171 0.800000       1 0.058824     0.014748
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765       1 0.026316     0.000787
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000       1 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000       1 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667       1 0.823529     0.386510
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667       1 0.823529     0.439216
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745       1 0.368421     0.068367
    863   h1       1 0.363636       1 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231 0.933333       1 0.823529     0.394168
    865   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    866   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    867   h1       1 0.727273       1 0.769231       1 0.427350 0.658824       1 0.216718     0.034135
    868   h1       1 0.715909       1 0.750000       1 0.769231 0.800000       1 0.823529     0.272110
