 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1 0.000000       1 0.062500 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1 0.000000       1 0.062500 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1 0.000000       1 0.044643 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1 0.962963       1 0.812500 0.764706     0.337774
    348   h0       1 0.818182       1 0.750000       1 1.000000       1 0.812500 0.823529     0.410595
    349   h0       1 0.579545       1 0.420000       1 0.407407       1 0.580357 0.390093     0.022451
    350   h0       1 0.958333       1 0.240000       1 0.888889       1 0.125000 0.058824     0.001503
    351   h0       1 1.000000       1 0.250000       1 0.923077       1 0.125000 0.058824     0.001697
    352   h0       1 0.708333       1 0.140000       1 0.376068       1 0.089286 0.027864     0.000093
    353   h0       1 0.000000       1 0.000000       1 0.074074       1 0.000000 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1 0.076923       1 0.000000 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1 0.814815       1 0.812500 0.823529     0.303994
    393   h0       1 0.727273       1 0.833333       1 0.846154       1 0.812500 0.823529     0.343137
    394   h0       1 0.647727       1 0.448718       1 0.846154       1 0.580357 0.390093     0.055677
    395   h0       1 0.454545       1 0.000000       1 0.501425       1 0.000000 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1 0.740741       1 0.812500 0.882353     0.355318
    397   h0       1 0.727273       1 1.000000       1 0.769231       1 0.812500 0.860681     0.391219
    398   h0       1 0.727273       1 1.000000       1 0.769231       1 0.687500 0.823529     0.316742
    399   h0       1 0.727273       1 0.769231       1 0.455840       1 0.225000 0.238390     0.013678
    400   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    401   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    402   h0       1 0.727273       1 0.680000       1 0.769231       1 0.792857 0.823529     0.248392
    403   h0       1 0.454545       1 0.115385       1 0.598291       1 0.278571 0.043344     0.000379
    404   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000 0.823529     0.415724
    405   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000 0.823529     0.415724
    406   h0       1 0.818182       1 0.833333       1 0.846154       1 0.875000 0.823529     0.415724
    407   h0       1 0.681818       1 0.384615       1 0.188034       1 0.350000 0.068111     0.001175
    408   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    409   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    410   h0       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    411   h0       1 0.875000       1 0.461538       1 0.222222       1 0.350000 0.065015     0.002042
    412   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    413   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    414   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.767802     0.261751
    415   h0       1 0.587121       1 0.317308       1 0.142450       1 0.325000 0.038700     0.000334
    416   h0       1 0.689394       1 0.750000       1 0.769231       1 0.812500 0.823529     0.266126
    417   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    418   h0       1 0.727273       1 0.730769       1 0.769231       1 0.787500 0.823529     0.265133
    419   h0       1 0.545455       1 0.201923       1 0.643875       1 0.235714 0.255418     0.004270
    420   h0       1 0.696970       1 0.960000       1 0.712251       1 0.812500 0.823529     0.318875
    421   h0       1 0.727273       1 1.000000       1 0.769231       1 0.812500 0.823529     0.374332
    422   h0       1 0.727273       1 1.000000       1 0.769231       1 0.687500 0.606811     0.233389
    423   h0       1 0.727273       1 0.800000       1 0.455840       1 0.225000 0.119195     0.007113
    424   h0       1 0.696970       1 0.720000       1 0.925926       1 0.812500 0.823529     0.310903
    425   h0       1 0.727273       1 0.750000       1 1.000000       1 0.812500 0.823529     0.364973
    426   h0       1 0.674242       1 0.420000       1 1.000000       1 0.580357 0.390093     0.064110
    427   h0       1 0.545455       1 0.000000       1 0.592593       1 0.000000 0.000000     0.000000
    448   h0       1 0.958333       1 0.720000       1 0.740741       1 0.812500 0.823529     0.341993
    449   h0       1 1.000000       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    450   h0       1 1.000000       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    451   h0       1 1.000000       1 0.576923       1 0.643875       1 0.487500 0.572755     0.103720
    452   h0       1 0.166667       1 0.000000       1 0.341880       1 0.000000 0.061920     0.000000
    453   h0       1 0.696970       1 0.720000       1 0.740741       1 0.812500 0.823529     0.248723
    454   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    455   h0       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    456   h0       1 0.727273       1 0.600000       1 0.769231       1 0.487500 0.823529     0.134759
    457   h0       1 0.121212       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    458   h0       1 0.784091       1 0.720000       1 0.769231       1 0.812500 0.823529     0.290575
    459   h0       1 0.909091       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    460   h0       1 0.909091       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    461   h0       1 0.909091       1 0.600000       1 0.769231       1 0.487500 0.823529     0.168449
    462   h0       1 0.151515       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    463   h0       1 0.958333       1 0.800000       1 0.732194       1 0.812500 0.823529     0.375608
    464   h0       1 1.000000       1 0.833333       1 0.769231       1 0.812500 0.823529     0.428922
    465   h0       1 1.000000       1 0.833333       1 0.769231       1 0.812500 0.856037     0.445853
    466   h0       1 1.000000       1 0.666667       1 0.675214       1 0.487500 0.255418     0.056050
    467   h0       1 0.166667       1 0.000000       1 0.398860       1 0.000000 0.000000     0.000000
    812   h1       1 0.916667       1 0.400000       1 0.000000       1 0.062500 0.000000     0.000000
    813   h1       1 1.000000       1 0.416667       1 0.059829       1 0.062500 0.000000     0.000000
    814   h1       1 0.750000       1 0.216667       1 0.031339       1 0.042857 0.000000     0.000000
    815   h1       1 0.750000       1 0.720000       1 1.000000       1 0.812500 0.764706     0.335515
    816   h1       1 0.818182       1 0.750000       1 0.940171       1 0.812500 0.764706     0.358456
    817   h1       1 0.613636       1 0.420000       1 0.376068       1 0.580357 0.342105     0.019243
    818   h1       1 0.916667       1 0.333333       1 1.000000       1 0.187500 0.106811     0.006119
    819   h1       1 1.000000       1 0.333333       1 0.940171       1 0.187500 0.058824     0.003457
    820   h1       1 0.750000       1 0.173333       1 0.376068       1 0.133929 0.026316     0.000172
    821   h1       1 0.000000       1 0.000000       1 0.000000       1 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829       1 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077       1 0.812500 0.823529     0.362353
    861   h1       1 0.727273       1 0.916667       1 0.923077       1 0.812500 0.823529     0.411765
    862   h1       1 0.636364       1 0.476667       1 0.923077       1 0.557143 0.368421     0.057474
