 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1 0.480000       1       1 0.000000 0.062500 0.000000     0.000000
    345   h0       1 0.965909       1 0.500000       1       1 0.000000 0.062500 0.000000     0.000000
    346   h0       1 0.708333       1 0.280000       1       1 0.000000 0.044643 0.000000     0.000000
    347   h0       1 0.784091       1 0.720000       1       1 0.800000 0.812500 0.764706     0.280612
    348   h0       1 0.818182       1 0.750000       1       1 0.800000 0.812500 0.823529     0.328476
    349   h0       1 0.579545       1 0.420000       1       1 0.635294 0.580357 0.390093     0.035009
    350   h0       1 0.958333       1 0.240000       1       1 0.866667 0.125000 0.058824     0.001466
    351   h0       1 1.000000       1 0.250000       1       1 0.866667 0.125000 0.058824     0.001593
    352   h0       1 0.708333       1 0.140000       1       1 0.688235 0.089286 0.027864     0.000170
    353   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    354   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    355   h0       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    392   h0       1 0.696970       1 0.800000       1       1 0.933333 0.812500 0.823529     0.348212
    393   h0       1 0.727273       1 0.833333       1       1 0.933333 0.812500 0.823529     0.378491
    394   h0       1 0.647727       1 0.448718       1       1 0.741176 0.580357 0.390093     0.048770
    395   h0       1 0.454545       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    396   h0       1 0.696970       1 0.960000       1       1 0.933333 0.812500 0.882353     0.447701
    397   h0       1 0.727273       1 1.000000       1       1 0.933333 0.812500 0.860681     0.474679
    398   h0       1 0.727273       1 1.000000       1       1 0.933333 0.687500 0.823529     0.384314
    399   h0       1 0.727273       1 0.769231       1       1 0.658824 0.225000 0.238390     0.019769
    400   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    401   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    402   h0       1 0.727273       1 0.680000       1       1 0.800000 0.792857 0.823529     0.258327
    403   h0       1 0.454545       1 0.115385       1       1 0.333333 0.278571 0.043344     0.000211
    404   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000 0.823529     0.393048
    405   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000 0.823529     0.393048
    406   h0       1 0.818182       1 0.833333       1       1 0.800000 0.875000 0.823529     0.393048
    407   h0       1 0.681818       1 0.384615       1       1 0.405882 0.350000 0.068111     0.002537
    408   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    409   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    410   h0       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    411   h0       1 0.875000       1 0.461538       1       1 0.423529 0.350000 0.065015     0.003892
    412   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    413   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    414   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.767802     0.272221
    415   h0       1 0.587121       1 0.317308       1       1 0.358824 0.325000 0.038700     0.000841
    416   h0       1 0.689394       1 0.750000       1       1 0.800000 0.812500 0.823529     0.276771
    417   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    418   h0       1 0.727273       1 0.730769       1       1 0.758824 0.787500 0.823529     0.261546
    419   h0       1 0.545455       1 0.201923       1       1 0.205882 0.235714 0.255418     0.001365
    420   h0       1 0.696970       1 0.960000       1       1 0.800000 0.812500 0.823529     0.358160
    421   h0       1 0.727273       1 1.000000       1       1 0.800000 0.812500 0.823529     0.389305
    422   h0       1 0.727273       1 1.000000       1       1 0.662745 0.687500 0.606811     0.201081
    423   h0       1 0.727273       1 0.800000       1       1 0.094118 0.225000 0.119195     0.001469
    424   h0       1 0.696970       1 0.720000       1       1 0.800000 0.812500 0.823529     0.268620
    425   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    426   h0       1 0.674242       1 0.420000       1       1 0.635294 0.580357 0.390093     0.040729
    427   h0       1 0.545455       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    448   h0       1 0.958333       1 0.720000       1       1 0.866667 0.812500 0.823529     0.400132
    449   h0       1 1.000000       1 0.750000       1       1 0.866667 0.812500 0.823529     0.434926
    450   h0       1 1.000000       1 0.750000       1       1 0.866667 0.812500 0.823529     0.434926
    451   h0       1 1.000000       1 0.576923       1       1 0.611765 0.487500 0.572755     0.098548
    452   h0       1 0.166667       1 0.000000       1       1 0.000000 0.000000 0.061920     0.000000
    453   h0       1 0.696970       1 0.720000       1       1 0.800000 0.812500 0.823529     0.268620
    454   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    455   h0       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    456   h0       1 0.727273       1 0.600000       1       1 0.564706 0.487500 0.823529     0.098929
    457   h0       1 0.121212       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    458   h0       1 0.784091       1 0.720000       1       1 0.800000 0.812500 0.823529     0.302198
    459   h0       1 0.909091       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    460   h0       1 0.909091       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    461   h0       1 0.909091       1 0.600000       1       1 0.564706 0.487500 0.823529     0.123662
    462   h0       1 0.151515       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    463   h0       1 0.958333       1 0.800000       1       1 0.800000 0.812500 0.823529     0.410392
    464   h0       1 1.000000       1 0.833333       1       1 0.800000 0.812500 0.823529     0.446078
    465   h0       1 1.000000       1 0.833333       1       1 0.800000 0.812500 0.856037     0.463687
    466   h0       1 1.000000       1 0.666667       1       1 0.564706 0.487500 0.255418     0.046877
    467   h0       1 0.166667       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
