 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212       1       1 0.641026       1 0.000000 0.062500 0.000000     0.000000
    345   h0       1 0.965909       1       1 0.666667       1 0.000000 0.062500 0.000000     0.000000
    346   h0       1 0.708333       1       1 0.307692       1 0.000000 0.044643 0.000000     0.000000
    347   h0       1 0.784091       1       1 0.721154       1 0.800000 0.812500 0.764706     0.281062
    348   h0       1 0.818182       1       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    349   h0       1 0.579545       1       1 0.570513       1 0.635294 0.580357 0.390093     0.047554
    350   h0       1 0.958333       1       1 0.801282       1 0.866667 0.125000 0.058824     0.004893
    351   h0       1 1.000000       1       1 0.833333       1 0.866667 0.125000 0.058824     0.005310
    352   h0       1 0.708333       1       1 0.352564       1 0.688235 0.089286 0.027864     0.000428
    353   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    354   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    355   h0       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    392   h0       1 0.696970       1       1 0.721154       1 0.933333 0.812500 0.823529     0.313893
    393   h0       1 0.727273       1       1 0.750000       1 0.933333 0.812500 0.823529     0.340642
    394   h0       1 0.647727       1       1 0.750000       1 0.741176 0.580357 0.390093     0.081515
    395   h0       1 0.454545       1       1 0.490385       1 0.000000 0.000000 0.000000     0.000000
    396   h0       1 0.696970       1       1 0.801282       1 0.933333 0.812500 0.882353     0.373682
    397   h0       1 0.727273       1       1 0.833333       1 0.933333 0.812500 0.860681     0.395566
    398   h0       1 0.727273       1       1 0.833333       1 0.933333 0.687500 0.823529     0.320261
    399   h0       1 0.727273       1       1 0.544872       1 0.658824 0.225000 0.238390     0.014003
    400   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    401   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    402   h0       1 0.727273       1       1 0.750000       1 0.800000 0.792857 0.823529     0.284920
    403   h0       1 0.454545       1       1 0.384615       1 0.333333 0.278571 0.043344     0.000704
    404   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000 0.823529     0.353743
    405   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000 0.823529     0.353743
    406   h0       1 0.818182       1       1 0.750000       1 0.800000 0.875000 0.823529     0.353743
    407   h0       1 0.681818       1       1 0.221154       1 0.405882 0.350000 0.068111     0.001459
    408   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    409   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    410   h0       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    411   h0       1 0.875000       1       1 0.224359       1 0.423529 0.350000 0.065015     0.001892
    412   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500 0.823529     0.324421
    413   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500 0.823529     0.324421
    414   h0       1 0.727273       1       1 0.833333       1 0.800000 0.812500 0.767802     0.302467
    415   h0       1 0.587121       1       1 0.288462       1 0.358824 0.325000 0.038700     0.000764
    416   h0       1 0.689394       1       1 1.000000       1 0.800000 0.812500 0.823529     0.369029
    417   h0       1 0.727273       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    418   h0       1 0.727273       1       1 1.000000       1 0.758824 0.787500 0.823529     0.357905
    419   h0       1 0.545455       1       1 1.000000       1 0.205882 0.235714 0.255418     0.006761
    420   h0       1 0.696970       1       1 0.721154       1 0.800000 0.812500 0.823529     0.269051
    421   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    422   h0       1 0.727273       1       1 0.750000       1 0.662745 0.687500 0.606811     0.150810
    423   h0       1 0.727273       1       1 0.490385       1 0.094118 0.225000 0.119195     0.000900
    424   h0       1 0.696970       1       1 0.721154       1 0.800000 0.812500 0.823529     0.269051
    425   h0       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    426   h0       1 0.674242       1       1 0.653846       1 0.635294 0.580357 0.390093     0.063406
