 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1       1       1       1     0.386804
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1       1       1       1     0.474074
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1       1       1       1     0.474074
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1       1       1       1     0.315890
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1       1       1       1     0.387160
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1       1       1       1     0.387160
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1       1       1       1     0.380761
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1       1       1       1     0.380761
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1       1       1       1     0.466667
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1       1       1       1     0.445455
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1       1       1       1     0.338454
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1       1     0.414815
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1       1     0.414815
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1       1     0.414815
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1       1       1       1     0.380761
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1       1       1       1     0.284248
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1       1       1       1     0.544444
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1       1       1       1     0.544444
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1       1       1       1     0.525926
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1       1       1       1     0.240702
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1       1       1       1     0.254074
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1       1       1       1     0.254074
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1       1       1       1     0.254074
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1       1       1       1     0.488643
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1       1       1       1     0.434349
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1       1       1       1     0.150930
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1       1       1       1     0.456913
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1       1       1       1     0.560000
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1       1       1       1     0.560000
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1       1       1       1     0.560000
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1       1       1       1     0.304608
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1       1       1       1     0.373333
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1       1       1       1     0.373333
    427   h0 0.888889 0.666667       1 0.900000 0.700000       1       1       1       1     0.373333
    448   h0 0.947368 0.631579       1 0.666667 0.668182       1       1       1       1     0.266532
    449   h0 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    450   h0 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    451   h0 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    452   h0 1.000000 0.666667       1 0.500000 0.700000       1       1       1       1     0.233333
    453   h0 0.210526 0.947368       1 0.952381 0.668182       1       1       1       1     0.126920
    454   h0 0.619883 1.000000       1 1.000000 0.700000       1       1       1       1     0.433918
    455   h0 0.666667 1.000000       1 1.000000 0.700000       1       1       1       1     0.466667
    456   h0 0.666667 1.000000       1 1.000000 0.700000       1       1       1       1     0.466667
    457   h0 0.666667 1.000000       1 0.714286 0.700000       1       1       1       1     0.333333
    458   h0 0.947368 0.736842       1 0.952381 0.668182       1       1       1       1     0.444221
    459   h0 1.000000 0.777778       1 1.000000 0.700000       1       1       1       1     0.544444
    460   h0 1.000000 0.777778       1 1.000000 0.700000       1       1       1       1     0.544444
    461   h0 1.000000 0.777778       1 1.000000 0.700000       1       1       1       1     0.544444
    462   h0 1.000000 0.777778       1 0.714286 0.700000       1       1       1       1     0.388889
    463   h0 0.631579 0.631579       1 0.666667 0.954545       1       1       1       1     0.253840
    464   h0 0.666667 0.666667       1 0.700000 1.000000       1       1       1       1     0.311111
    465   h0 0.666667 0.666667       1 0.700000 1.000000       1       1       1       1     0.311111
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1       1       1       1     0.311111
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1       1       1       1     0.222222
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1       1       1       1     0.390431
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1       1       1       1     0.533333
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1       1       1       1     0.533333
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1       1       1       1     0.251725
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1       1       1       1     0.338765
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1       1       1       1     0.338765
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1       1       1       1     0.359607
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1       1       1       1     0.359607
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1       1     0.466667
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1       1     0.466667
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1       1       1       1     0.365315
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1       1     0.474074
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1       1     0.474074
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1       1     0.474074
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1       1       1       1     0.359607
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1       1     0.466667
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1       1       1       1     0.296147
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1       1       1       1     0.544444
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1       1       1       1     0.544444
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1       1       1       1     0.525926
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1       1       1       1     0.194854
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1       1     0.217778
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1       1     0.217778
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1       1     0.217778
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1       1       1       1     0.487135
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1       1     0.544444
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1       1       1       1     0.406556
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1       1     0.466667
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1       1       1       1     0.151859
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1       1     0.373333
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1       1       1       1     0.571141
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1       1     0.700000
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1       1     0.700000
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1       1     0.700000
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1       1       1       1     0.223756
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1       1       1       1     0.290370
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1       1       1       1     0.290370
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1       1       1       1     0.326667
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1       1       1       1     0.249927
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1       1     0.326667
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1       1       1       1     0.233333
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1       1       1       1     0.195215
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1       1       1       1     0.505263
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1       1       1       1     0.533333
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1       1       1       1     0.533333
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1       1       1       1     0.380952
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1       1       1       1     0.339829
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1       1       1       1     0.420000
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1       1     0.466667
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1       1     0.466667
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1       1       1       1     0.333333
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1       1       1       1     0.305196
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1       1     0.362963
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1       1     0.362963
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1       1     0.362963
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1       1       1       1     0.259259
