 ChipID Half  Layer0   Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0       1 0.571429 0.694215       1 0.696970       1 0.483871       1       1     0.133783
    230   h0       1 0.647619 0.727273       1 0.727273       1 0.500000       1       1     0.171271
    231   h0       1 0.700000 0.694215       1 0.568182       1 0.500000       1       1     0.138054
    232   h0       1 0.666667 0.694215       1 0.958333       1 0.760369       1       1     0.337243
    233   h0       1 0.700000 0.727273       1 1.000000       1 0.785714       1       1     0.400000
    234   h0       1 0.700000 0.706612       1 1.000000       1 0.785714       1       1     0.388636
    235   h0       1 0.952381 0.867769       1 0.784091       1 0.760369       1       1     0.492726
    236   h0       1 1.000000 0.909091       1 0.818182       1 0.785714       1       1     0.584416
    237   h0       1 1.000000 0.909091       1 0.818182       1 0.785714       1       1     0.584416
    238   h0       1 0.952381 0.694215       1 0.871212       1 0.760369       1       1     0.437978
    239   h0       1 1.000000 0.727273       1 0.909091       1 0.785714       1       1     0.519481
    240   h0       1 1.000000 0.714876       1 0.909091       1 0.785714       1       1     0.510626
    241   h0       1 0.666667 0.867769       1 0.696970       1 0.829493       1       1     0.334456
    242   h0       1 0.700000 0.909091       1 0.727273       1 0.857143       1       1     0.396694
    243   h0       1 0.700000 0.867769       1 0.568182       1 0.857143       1       1     0.295830
    288   h0       1 0.666667 0.780992       1 0.696970       1 0.760369       1       1     0.275926
    289   h0       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    290   h0       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    291   h0       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    292   h0       1 0.666667 0.694215       1 0.696970       1 0.760369       1       1     0.245268
    293   h0       1 0.700000 0.727273       1 0.727273       1 0.785714       1       1     0.290909
    294   h0       1 0.700000 0.727273       1 0.727273       1 0.785714       1       1     0.290909
    295   h0       1 0.700000 0.727273       1 0.727273       1 0.785714       1       1     0.290909
    296   h0       1 0.952381 0.780992       1 0.958333       1 0.552995       1       1     0.394181
    297   h0       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    298   h0       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    299   h0       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    300   h0       1 0.528571 0.818182       1 0.715909       1 0.702765       1       1     0.217581
    301   h0       1 0.700000 1.000000       1 0.909091       1 0.785714       1       1     0.500000
    302   h0       1 0.700000 1.000000       1 0.909091       1 0.785714       1       1     0.500000
    303   h0       1 0.685714 1.000000       1 0.909091       1 0.769585       1       1     0.479741
    304   h0       1 0.700000 0.727273       1 0.727273       1 0.771889       1       1     0.285790
    305   h0       1 0.700000 0.727273       1 0.727273       1 0.785714       1       1     0.290909
    306   h0       1 0.700000 0.727273       1 0.727273       1 0.785714       1       1     0.290909
    307   h0       1 0.700000 0.727273       1 0.632576       1 0.785714       1       1     0.253030
    308   h0       1 0.952381 0.727273       1 0.727273       1 0.741935       1       1     0.373742
    309   h0       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    310   h0       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    311   h0       1 1.000000 0.727273       1 0.662879       1 0.785714       1       1     0.378788
    312   h0       1 0.680952 1.000000       1 1.000000       1 0.744240       1       1     0.506792
    313   h0       1 0.700000 1.000000       1 1.000000       1 0.785714       1       1     0.550000
    314   h0       1 0.700000 1.000000       1 1.000000       1 0.785714       1       1     0.550000
    315   h0       1 0.700000 1.000000       1 0.916667       1 0.771889       1       1     0.495296
    316   h0       1 0.433333 0.690083       1 0.909091       1 0.661290       1       1     0.179772
    317   h0       1 0.700000 0.727273       1 0.909091       1 0.785714       1       1     0.363636
    318   h0       1 0.700000 0.727273       1 0.909091       1 0.785714       1       1     0.363636
    319   h0       1 0.700000 0.611570       1 0.909091       1 0.721198       1       1     0.280677
    320   h0       1 0.952381 0.694215       1 0.696970       1 0.760369       1       1     0.350383
    321   h0       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    322   h0       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    323   h0       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    324   h0       1 0.666667 0.954545       1 0.696970       1 0.760369       1       1     0.337243
    325   h0       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    326   h0       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    327   h0       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    328   h0       1 0.666667 0.694215       1 0.958333       1 0.760369       1       1     0.337243
    329   h0       1 0.700000 0.727273       1 1.000000       1 0.785714       1       1     0.400000
    330   h0       1 0.700000 0.727273       1 1.000000       1 0.785714       1       1     0.400000
    331   h0       1 0.700000 0.818182       1 1.000000       1 0.785714       1       1     0.450000
    697   h1       1 0.666667 0.727273       1 0.727273       1 0.414747       1       1     0.146247
    698   h1       1 0.700000 0.727273       1 0.727273       1 0.428571       1       1     0.158678
    699   h1       1 0.700000 0.628099       1 0.515152       1 0.500000       1       1     0.113248
    700   h1       1 0.761905 0.714876       1 1.000000       1 0.785714       1       1     0.427953
    701   h1       1 0.800000 0.727273       1 1.000000       1 0.785714       1       1     0.457143
    702   h1       1 0.800000 0.665289       1 1.000000       1 0.785714       1       1     0.418182
    703   h1       1 0.952381 0.867769       1 0.727273       1 0.785714       1       1     0.472255
    704   h1       1 1.000000 0.909091       1 0.727273       1 0.785714       1       1     0.519481
    705   h1       1 1.000000 0.909091       1 0.727273       1 0.785714       1       1     0.519481
    706   h1       1 0.952381 0.727273       1 0.818182       1 0.857143       1       1     0.485748
    707   h1       1 1.000000 0.727273       1 0.818182       1 0.857143       1       1     0.510035
    708   h1       1 1.000000 0.702479       1 0.818182       1 0.857143       1       1     0.492648
    709   h1       1 0.666667 0.909091       1 0.727273       1 0.857143       1       1     0.377804
    710   h1       1 0.700000 0.909091       1 0.727273       1 0.857143       1       1     0.396694
    711   h1       1 0.700000 0.826446       1 0.594697       1 0.857143       1       1     0.294891
    756   h1       1 0.666667 0.780992       1 0.727273       1 0.785714       1       1     0.297521
    757   h1       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    758   h1       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    759   h1       1 0.700000 0.818182       1 0.727273       1 0.785714       1       1     0.327273
    760   h1       1 0.761905 0.710744       1 0.727273       1 0.785714       1       1     0.309439
    761   h1       1 0.800000 0.727273       1 0.727273       1 0.785714       1       1     0.332468
    762   h1       1 0.800000 0.727273       1 0.727273       1 0.785714       1       1     0.332468
    763   h1       1 0.800000 0.727273       1 0.727273       1 0.785714       1       1     0.332468
    764   h1       1 0.952381 0.818182       1 1.000000       1 0.619816       1       1     0.482973
    765   h1       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    766   h1       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    767   h1       1 1.000000 0.818182       1 1.000000       1 0.785714       1       1     0.642857
    768   h1       1 0.557143 0.863636       1 0.750000       1 0.730415       1       1     0.263590
    769   h1       1 0.700000 1.000000       1 0.818182       1 0.785714       1       1     0.450000
    770   h1       1 0.700000 1.000000       1 0.818182       1 0.785714       1       1     0.450000
    771   h1       1 0.661905 1.000000       1 0.818182       1 0.785714       1       1     0.425510
    772   h1       1 0.800000 0.727273       1 0.727273       1 0.771889       1       1     0.326618
    773   h1       1 0.800000 0.727273       1 0.727273       1 0.785714       1       1     0.332468
    774   h1       1 0.800000 0.727273       1 0.727273       1 0.785714       1       1     0.332468
    775   h1       1 0.800000 0.727273       1 0.621212       1 0.785714       1       1     0.283983
    776   h1       1 1.000000 0.727273       1 0.727273       1 0.764977       1       1     0.404616
    777   h1       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    778   h1       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    779   h1       1 1.000000 0.727273       1 0.636364       1 0.785714       1       1     0.363636
    780   h1       1 0.690476 1.000000       1 1.000000       1 0.744240       1       1     0.513880
    781   h1       1 0.700000 1.000000       1 1.000000       1 0.785714       1       1     0.550000
    782   h1       1 0.700000 1.000000       1 1.000000       1 0.785714       1       1     0.550000
    783   h1       1 0.700000 1.000000       1 0.916667       1 0.771889       1       1     0.495296
    784   h1       1 0.533333 0.694215       1 0.818182       1 0.647465       1       1     0.196137
    785   h1       1 0.800000 0.727273       1 0.818182       1 0.785714       1       1     0.374026
    786   h1       1 0.800000 0.727273       1 0.818182       1 0.785714       1       1     0.374026
    787   h1       1 0.800000 0.582645       1 0.818182       1 0.751152       1       1     0.286465
    788   h1       1 0.952381 0.727273       1 0.727273       1 0.785714       1       1     0.395795
    789   h1       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    790   h1       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    791   h1       1 1.000000 0.727273       1 0.727273       1 0.785714       1       1     0.415584
    792   h1       1 0.666667 1.000000       1 0.727273       1 0.785714       1       1     0.380952
    793   h1       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    794   h1       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    795   h1       1 0.700000 1.000000       1 0.727273       1 0.785714       1       1     0.400000
    796   h1       1 0.761905 0.727273       1 1.000000       1 0.785714       1       1     0.435374
    797   h1       1 0.800000 0.727273       1 1.000000       1 0.785714       1       1     0.457143
    798   h1       1 0.800000 0.727273       1 1.000000       1 0.785714       1       1     0.457143
    799   h1       1 0.800000 0.727273       1 1.000000       1 0.785714       1       1     0.457143
