 ChipID Half  Layer0   Layer1   Layer2  Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0       1 0.571429 0.694215       1       1 0.872727 0.483871       1       1     0.167519
    230   h0       1 0.647619 0.727273       1       1 0.909091 0.500000       1       1     0.214089
    231   h0       1 0.700000 0.694215       1       1 0.643939 0.500000       1       1     0.156461
    232   h0       1 0.666667 0.694215       1       1 0.698182 0.760369       1       1     0.245694
    233   h0       1 0.700000 0.727273       1       1 0.727273 0.785714       1       1     0.290909
    234   h0       1 0.700000 0.706612       1       1 0.674242 0.785714       1       1     0.262035
    235   h0       1 0.952381 0.867769       1       1 0.698182 0.760369       1       1     0.438740
    236   h0       1 1.000000 0.909091       1       1 0.727273 0.785714       1       1     0.519481
    237   h0       1 1.000000 0.909091       1       1 0.727273 0.785714       1       1     0.519481
    238   h0       1 0.952381 0.694215       1       1 0.666667 0.760369       1       1     0.335149
    239   h0       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    240   h0       1 1.000000 0.714876       1       1 0.727273 0.785714       1       1     0.408501
    241   h0       1 0.666667 0.867769       1       1 0.670455 0.829493       1       1     0.321732
    242   h0       1 0.700000 0.909091       1       1 0.727273 0.857143       1       1     0.396694
    243   h0       1 0.700000 0.867769       1       1 0.700758 0.857143       1       1     0.364857
    288   h0       1 0.666667 0.780992       1       1 0.872727 0.760369       1       1     0.345508
    289   h0       1 0.700000 0.818182       1       1 0.909091 0.785714       1       1     0.409091
    290   h0       1 0.700000 0.818182       1       1 0.909091 0.785714       1       1     0.409091
    291   h0       1 0.700000 0.818182       1       1 0.909091 0.785714       1       1     0.409091
    292   h0       1 0.666667 0.694215       1       1 0.960000 0.760369       1       1     0.337830
    293   h0       1 0.700000 0.727273       1       1 1.000000 0.785714       1       1     0.400000
    294   h0       1 0.700000 0.727273       1       1 1.000000 0.785714       1       1     0.400000
    295   h0       1 0.700000 0.727273       1       1 1.000000 0.785714       1       1     0.400000
    296   h0       1 0.952381 0.780992       1       1 0.696970 0.552995       1       1     0.286677
    297   h0       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    298   h0       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    299   h0       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    300   h0       1 0.528571 0.818182       1       1 0.693182 0.702765       1       1     0.210674
    301   h0       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    302   h0       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    303   h0       1 0.685714 1.000000       1       1 0.727273 0.769585       1       1     0.383793
    304   h0       1 0.700000 0.727273       1       1 0.818182 0.771889       1       1     0.321514
    305   h0       1 0.700000 0.727273       1       1 0.818182 0.785714       1       1     0.327273
    306   h0       1 0.700000 0.727273       1       1 0.818182 0.785714       1       1     0.327273
    307   h0       1 0.700000 0.727273       1       1 0.621818 0.785714       1       1     0.248727
    308   h0       1 0.952381 0.727273       1       1 1.000000 0.741935       1       1     0.513895
    309   h0       1 1.000000 0.727273       1       1 1.000000 0.785714       1       1     0.571429
    310   h0       1 1.000000 0.727273       1       1 1.000000 0.785714       1       1     0.571429
    311   h0       1 1.000000 0.727273       1       1 0.833333 0.785714       1       1     0.476190
    312   h0       1 0.680952 1.000000       1       1 0.727273 0.744240       1       1     0.368576
    313   h0       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    314   h0       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    315   h0       1 0.700000 1.000000       1       1 0.545455 0.771889       1       1     0.294721
    316   h0       1 0.433333 0.690083       1       1 0.636364 0.661290       1       1     0.125841
    317   h0       1 0.700000 0.727273       1       1 0.727273 0.785714       1       1     0.290909
    318   h0       1 0.700000 0.727273       1       1 0.727273 0.785714       1       1     0.290909
    319   h0       1 0.700000 0.611570       1       1 0.727273 0.721198       1       1     0.224541
    320   h0       1 0.952381 0.694215       1       1 0.696970 0.760369       1       1     0.350383
    321   h0       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    322   h0       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    323   h0       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    324   h0       1 0.666667 0.954545       1       1 0.958333 0.760369       1       1     0.463710
    325   h0       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    326   h0       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    327   h0       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    328   h0       1 0.666667 0.694215       1       1 0.750000 0.760369       1       1     0.263930
    329   h0       1 0.700000 0.727273       1       1 0.818182 0.785714       1       1     0.327273
