 ChipID Half  Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0       1 0.571429       1 0.869565 0.696970       1 0.483871       1       1     0.167574
    230   h0       1 0.647619       1 0.909091 0.727273       1 0.500000       1       1     0.214089
    231   h0       1 0.700000       1 0.750988 0.568182       1 0.500000       1       1     0.149344
    232   h0       1 0.666667       1 0.956522 0.958333       1 0.760369       1       1     0.464670
    233   h0       1 0.700000       1 1.000000 1.000000       1 0.785714       1       1     0.550000
    234   h0       1 0.700000       1 0.826087 1.000000       1 0.785714       1       1     0.454348
    235   h0       1 0.952381       1 0.695652 0.784091       1 0.760369       1       1     0.394997
    236   h0       1 1.000000       1 0.727273 0.818182       1 0.785714       1       1     0.467532
    237   h0       1 1.000000       1 0.695652 0.818182       1 0.785714       1       1     0.447205
    238   h0       1 0.952381       1 0.695652 0.871212       1 0.760369       1       1     0.438885
    239   h0       1 1.000000       1 0.727273 0.909091       1 0.785714       1       1     0.519481
    240   h0       1 1.000000       1 0.711462 0.909091       1 0.785714       1       1     0.508187
    241   h0       1 0.666667       1 0.956522 0.696970       1 0.829493       1       1     0.368664
    242   h0       1 0.700000       1 1.000000 0.727273       1 0.857143       1       1     0.436364
    243   h0       1 0.700000       1 0.826087 0.568182       1 0.857143       1       1     0.281621
    288   h0       1 0.666667       1 0.695652 0.696970       1 0.760369       1       1     0.245776
    289   h0       1 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    290   h0       1 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    291   h0       1 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    292   h0       1 0.666667       1 0.956522 0.696970       1 0.760369       1       1     0.337942
    293   h0       1 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.400000
    294   h0       1 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.400000
    295   h0       1 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.400000
    296   h0       1 0.952381       1 0.782609 0.958333       1 0.552995       1       1     0.394997
    297   h0       1 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.642857
    298   h0       1 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.642857
    299   h0       1 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.642857
    300   h0       1 0.528571       1 0.664032 0.715909       1 0.702765       1       1     0.176588
    301   h0       1 0.700000       1 0.727273 0.909091       1 0.785714       1       1     0.363636
    302   h0       1 0.700000       1 0.727273 0.909091       1 0.785714       1       1     0.363636
    303   h0       1 0.685714       1 0.537549 0.909091       1 0.769585       1       1     0.257885
    304   h0       1 0.700000       1 0.818182 0.727273       1 0.771889       1       1     0.321514
    305   h0       1 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
    306   h0       1 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
