 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1       1       1 0.761905 0.954545       1 0.740741 0.846154       1     0.455840
    345   h0       1       1       1 0.800000 1.000000       1 0.769231 0.846154       1     0.520710
    346   h0       1       1       1 0.800000 1.000000       1 0.769231 0.846154       1     0.520710
    347   h0       1       1       1 0.666667 0.668182       1 0.740741 0.769231       1     0.253820
    348   h0       1       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    349   h0       1       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    350   h0       1       1       1 0.666667 0.954545       1 0.740741 0.769231       1     0.362600
    351   h0       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    352   h0       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    353   h0       1       1       1 0.952381 0.668182       1 0.740741 0.923077       1     0.435120
    354   h0       1       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    355   h0       1       1       1 1.000000 0.668182       1 0.769231 0.923077       1     0.474449
    392   h0       1       1       1 0.952381 0.668182       1 0.814815 0.769231       1     0.398860
    393   h0       1       1       1 1.000000 0.700000       1 0.846154 0.769231       1     0.455621
    394   h0       1       1       1 1.000000 0.700000       1 0.846154 0.769231       1     0.455621
    395   h0       1       1       1 1.000000 0.700000       1 0.846154 0.675824       1     0.400296
    396   h0       1       1       1 0.666667 0.954545       1 0.962963 0.769231       1     0.471380
    397   h0       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    398   h0       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    399   h0       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    400   h0       1       1       1 0.614286 0.954545       1 0.649573 0.769231       1     0.292989
    401   h0       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
