 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1       1       1       1     0.257225
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1       1       1     0.331852
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1       1       1     0.331852
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1       1       1       1     0.300096
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1       1       1     0.387160
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1       1       1     0.387160
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1       1       1       1     0.253206
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1       1     0.326667
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1       1     0.326667
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1       1       1       1     0.289378
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1       1     0.373333
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1       1       1       1     0.356364
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1       1       1       1     0.225072
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1       1     0.290370
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1       1     0.290370
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1       1     0.290370
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1       1       1       1     0.325550
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1       1     0.420000
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1       1     0.420000
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1       1     0.420000
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1       1       1       1     0.241611
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1       1     0.544444
    402   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1       1     0.544444
    403   h0 1.000000 0.777778   1.000 0.676190 1.000000       1       1       1       1     0.525926
    404   h0 0.736842 0.666667   0.700 0.700000 0.700000       1       1       1       1     0.168491
    405   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1       1       1     0.177852
    406   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1       1       1     0.177852
    407   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1       1       1     0.177852
    408   h0 0.736842 0.947368   0.700 1.000000 0.700000       1       1       1       1     0.342050
    409   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1       1     0.381111
    410   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1       1     0.381111
    411   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1       1       1     0.381111
    412   h0 0.947368 0.654971   1.000 0.700000 1.000000       1       1       1       1     0.434349
    413   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1       1     0.466667
    414   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1       1     0.466667
    415   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1       1       1     0.466667
    416   h0 0.502924 0.684211   0.610 0.647619 0.677273       1       1       1       1     0.092067
    417   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1       1     0.261333
    418   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1       1     0.261333
    419   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1       1       1     0.261333
    420   h0 0.842105 0.947368   0.665 0.857143 0.668182       1       1       1       1     0.303847
    421   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1       1       1     0.392000
    422   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1       1       1     0.392000
    423   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1       1       1     0.392000
    424   h0 0.842105 0.631579   0.950 0.857143 0.668182       1       1       1       1     0.289378
    425   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1       1       1     0.373333
    426   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1       1       1     0.373333
    427   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1       1       1     0.373333
