 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182       1       1       1     0.180057
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1       1       1     0.232296
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1       1       1     0.232296
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091       1       1       1     0.385837
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1       1       1     0.497778
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1       1       1     0.497778
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273       1       1       1     0.192919
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1       1     0.261333
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1       1     0.261333
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455       1       1       1     0.279535
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1       1       1     0.373333
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1       1       1     0.373333
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545       1       1       1     0.321531
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182       1       1       1     0.227885
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545       1       1       1     0.165676
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1       1     0.381111
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1       1     0.381111
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000       1       1       1     0.368148
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.168491
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.177852
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.177852
