 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1       1 0.740741       1       1     0.199610
    345   h0 0.666667 0.888889   0.700 0.800000       1       1 0.769231       1       1     0.255271
    346   h0 0.666667 0.888889   0.700 0.800000       1       1 0.769231       1       1     0.255271
    347   h0 0.842105 0.842105   0.950 0.666667       1       1 0.740741       1       1     0.332684
    348   h0 0.888889 0.888889   1.000 0.700000       1       1 0.769231       1       1     0.425451
    349   h0 0.888889 0.888889   1.000 0.700000       1       1 0.769231       1       1     0.425451
    350   h0 0.631579 0.947368   0.665 0.666667       1       1 0.740741       1       1     0.196491
    351   h0 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    352   h0 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    353   h0 0.947368 0.631579   0.760 0.952381       1       1 0.740741       1       1     0.320802
    354   h0 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    355   h0 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    392   h0 0.842105 0.631579   0.665 0.952381       1       1 0.814815       1       1     0.274464
    393   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    394   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    395   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    396   h0 0.631579 0.947368   0.855 0.666667       1       1 0.962963       1       1     0.328421
    397   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    398   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    399   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    400   h0 0.789474 0.614035   0.850 0.614286       1       1 0.649573       1       1     0.164417
    401   h0 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    402   h0 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    403   h0 1.000000 0.777778   1.000 0.676190       1       1 0.769231       1       1     0.404558
    404   h0 0.736842 0.666667   0.700 0.700000       1       1 0.746439       1       1     0.179669
    405   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.195442
    406   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.195442
    407   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.195442
    408   h0 0.736842 0.947368   0.700 1.000000       1       1 0.746439       1       1     0.364742
    409   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    410   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    411   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    412   h0 0.947368 0.654971   1.000 0.700000       1       1 0.712251       1       1     0.309365
    413   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1       1     0.358974
    414   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1       1     0.358974
    415   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1       1     0.358974
    416   h0 0.502924 0.684211   0.610 0.647619       1       1 0.888889       1       1     0.120834
    417   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1       1     0.344615
    418   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1       1     0.344615
    419   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1       1     0.344615
    420   h0 0.842105 0.947368   0.665 0.857143       1       1 0.740741       1       1     0.336842
    421   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1       1     0.430769
    422   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1       1     0.430769
    423   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1       1     0.430769
    424   h0 0.842105 0.631579   0.950 0.857143       1       1 0.740741       1       1     0.320802
    425   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231       1       1     0.410256
    426   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231       1       1     0.410256
    427   h0 0.888889 0.666667   1.000 0.900000       1       1 0.569801       1       1     0.303894
    448   h0 0.947368 0.631579   0.855 0.666667       1       1 0.814815       1       1     0.277895
    449   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    450   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    451   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    452   h0 1.000000 0.666667   0.810 0.500000       1       1 0.532764       1       1     0.143846
    453   h0 0.210526 0.947368   0.475 0.952381       1       1 0.279202       1       1     0.025191
    454   h0 0.619883 1.000000   0.690 1.000000       1       1 0.769231       1       1     0.329015
    455   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.358974
    456   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.358974
    457   h0 0.666667 1.000000   0.650 0.714286       1       1 0.740741       1       1     0.229277
    458   h0 0.947368 0.736842   0.950 0.952381       1       1 0.923077       1       1     0.582996
    459   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1       1     0.717949
    460   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1       1     0.717949
    461   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1       1     0.717949
    462   h0 1.000000 0.777778   0.900 0.714286       1       1 0.581197       1       1     0.290598
    463   h0 0.631579 0.631579   0.760 0.666667       1       1 0.740741       1       1     0.149708
    464   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1       1     0.191453
    465   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1       1     0.191453
    466   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1       1     0.191453
    467   h0 0.666667 0.666667   0.720 0.500000       1       1 0.484330       1       1     0.077493
    812   h1 0.596491 0.947368   0.695 0.723810       1       1 0.769231       1       1     0.218670
    813   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231       1       1     0.287179
    814   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231       1       1     0.287179
    815   h1 0.795322 0.736842   0.950 0.642857       1       1 0.769231       1       1     0.275304
    816   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.372270
    817   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.372270
    818   h1 0.596491 0.947368   0.700 0.666667       1       1 0.769231       1       1     0.202855
    819   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    820   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    821   h1 0.894737 0.631579   0.800 0.952381       1       1 0.769231       1       1     0.331192
    822   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    823   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    860   h1 0.795322 0.631579   0.665 0.952381       1       1 0.846154       1       1     0.269186
    861   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    862   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    863   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    864   h1 0.596491 0.947368   0.855 0.666667       1       1 1.000000       1       1     0.322105
    865   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    866   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    867   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    868   h1 0.842105 0.573099   0.900 0.642857       1       1 0.683761       1       1     0.190923
    869   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    870   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    871   h1 1.000000 0.777778   1.000 0.676190       1       1 0.769231       1       1     0.404558
