 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0 0.952381 0.571429       1 0.869565 0.696970       1 0.483871       1       1     0.159595
    230   h0 1.000000 0.647619       1 0.909091 0.727273       1 0.500000       1       1     0.214089
    231   h0 1.000000 0.700000       1 0.750988 0.568182       1 0.500000       1       1     0.149344
    232   h0 0.761905 0.666667       1 0.956522 0.958333       1 0.760369       1       1     0.354034
    233   h0 0.800000 0.700000       1 1.000000 1.000000       1 0.785714       1       1     0.440000
    234   h0 0.800000 0.700000       1 0.826087 1.000000       1 0.785714       1       1     0.363478
    235   h0 0.666667 0.952381       1 0.695652 0.784091       1 0.760369       1       1     0.263331
    236   h0 0.700000 1.000000       1 0.727273 0.818182       1 0.785714       1       1     0.327273
    237   h0 0.700000 1.000000       1 0.695652 0.818182       1 0.785714       1       1     0.313043
    238   h0 0.857143 0.952381       1 0.695652 0.871212       1 0.760369       1       1     0.376187
    239   h0 0.900000 1.000000       1 0.727273 0.909091       1 0.785714       1       1     0.467532
    240   h0 0.900000 1.000000       1 0.711462 0.909091       1 0.785714       1       1     0.457369
    241   h0 0.952381 0.666667       1 0.956522 0.696970       1 0.829493       1       1     0.351108
    242   h0 1.000000 0.700000       1 1.000000 0.727273       1 0.857143       1       1     0.436364
    243   h0 1.000000 0.700000       1 0.826087 0.568182       1 0.857143       1       1     0.281621
    288   h0 0.952381 0.666667       1 0.695652 0.696970       1 0.760369       1       1     0.234072
    289   h0 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    290   h0 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    291   h0 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    292   h0 0.666667 0.666667       1 0.956522 0.696970       1 0.760369       1       1     0.225294
    293   h0 0.700000 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.280000
    294   h0 0.700000 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.280000
    295   h0 0.700000 0.700000       1 1.000000 0.727273       1 0.785714       1       1     0.280000
    296   h0 0.576190 0.952381       1 0.782609 0.958333       1 0.552995       1       1     0.227593
    297   h0 0.700000 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.450000
    298   h0 0.700000 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.450000
    299   h0 0.700000 1.000000       1 0.818182 1.000000       1 0.785714       1       1     0.450000
    300   h0 0.761905 0.528571       1 0.664032 0.715909       1 0.702765       1       1     0.134543
    301   h0 1.000000 0.700000       1 0.727273 0.909091       1 0.785714       1       1     0.363636
    302   h0 1.000000 0.700000       1 0.727273 0.909091       1 0.785714       1       1     0.363636
    303   h0 1.000000 0.685714       1 0.537549 0.909091       1 0.769585       1       1     0.257885
