 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1       1 0.846154       1     0.327296
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1       1 0.846154       1     0.401140
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1       1 0.846154       1     0.401140
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1       1 0.769231       1     0.242992
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1       1 0.769231       1     0.297816
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1       1 0.769231       1     0.297816
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1       1 0.769231       1     0.292893
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1       1 0.923077       1     0.351471
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077       1     0.430769
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1       1 0.923077       1     0.411189
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1       1 0.769231       1     0.260349
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.769231       1     0.319088
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.769231       1     0.319088
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.675824       1     0.280342
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1       1 0.769231       1     0.292893
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1       1 0.769231       1     0.218653
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.418803
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.418803
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1       1 0.769231       1     0.404558
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.222186
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.234530
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.234530
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.234530
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1       1 1.000000       1     0.488643
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1       1 0.923077       1     0.400938
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077       1     0.430769
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077       1     0.430769
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077       1     0.430769
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1       1 0.769231       1     0.116100
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1       1 0.769231       1     0.351471
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231       1     0.430769
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231       1     0.430769
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231       1     0.430769
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1       1 0.769231       1     0.234314
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.769231       1     0.287179
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.769231       1     0.287179
    427   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.675824       1     0.252308
    448   h0 0.947368 0.631579       1 0.666667 0.668182       1       1 0.769231       1     0.205025
    449   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
    450   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
    451   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
    452   h0 1.000000 0.666667       1 0.500000 0.700000       1       1 0.384615       1     0.089744
    453   h0 0.210526 0.947368       1 0.952381 0.668182       1       1 0.642857       1     0.081592
    454   h0 0.619883 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.333783
    455   h0 0.666667 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.358974
    456   h0 0.666667 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.358974
    457   h0 0.666667 1.000000       1 0.714286 0.700000       1       1 0.461538       1     0.153846
    458   h0 0.947368 0.736842       1 0.952381 0.668182       1       1 0.670330       1     0.297774
    459   h0 1.000000 0.777778       1 1.000000 0.700000       1       1 0.769231       1     0.418803
    460   h0 1.000000 0.777778       1 1.000000 0.700000       1       1 0.769231       1     0.418803
    461   h0 1.000000 0.777778       1 1.000000 0.700000       1       1 0.769231       1     0.418803
    462   h0 1.000000 0.777778       1 0.714286 0.700000       1       1 0.461538       1     0.179487
    463   h0 0.631579 0.631579       1 0.666667 0.954545       1       1 0.769231       1     0.195262
    464   h0 0.666667 0.666667       1 0.700000 1.000000       1       1 0.769231       1     0.239316
    465   h0 0.666667 0.666667       1 0.700000 1.000000       1       1 0.769231       1     0.239316
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1       1 0.769231       1     0.239316
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1       1 0.384615       1     0.085470
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1       1 0.846154       1     0.330364
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1       1 0.846154       1     0.451282
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1       1 0.846154       1     0.451282
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1       1 0.769231       1     0.193635
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231       1     0.260589
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231       1     0.260589
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1       1 0.769231       1     0.276621
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1       1 0.923077       1     0.331945
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077       1     0.430769
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077       1     0.430769
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1       1 0.769231       1     0.281012
