 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1       1       1 0.785714     0.303918
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1       1       1 0.785714     0.372487
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1       1       1 0.785714     0.372487
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1       1       1 0.714286     0.225636
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1       1       1 0.714286     0.276543
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1       1       1 0.783410     0.303305
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1       1       1 0.785714     0.299169
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1       1       1 0.857143     0.326366
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1       1       1 0.785714     0.366667
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1       1       1 0.785714     0.350000
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1       1       1 0.857143     0.290103
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1 0.857143     0.355556
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1 0.790323     0.327838
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1       1       1 0.785714     0.325926
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1       1       1 0.785714     0.299169
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1       1       1 0.721198     0.204999
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1       1       1 0.785714     0.427778
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1       1       1 0.785714     0.427778
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1       1       1 0.769585     0.404745
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1       1       1 0.767281     0.184686
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.199630
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.199630
