 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0 0.952381 0.571429       1 0.869565       1 0.872727 0.483871       1       1     0.199840
    230   h0 1.000000 0.647619       1 0.909091       1 0.909091 0.500000       1       1     0.267611
    231   h0 1.000000 0.700000       1 0.750988       1 0.643939 0.500000       1       1     0.169257
    232   h0 0.761905 0.666667       1 0.956522       1 0.698182 0.760369       1       1     0.257927
    233   h0 0.800000 0.700000       1 1.000000       1 0.727273 0.785714       1       1     0.320000
    234   h0 0.800000 0.700000       1 0.826087       1 0.674242 0.785714       1       1     0.245072
    235   h0 0.666667 0.952381       1 0.695652       1 0.698182 0.760369       1       1     0.234479
    236   h0 0.700000 1.000000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    237   h0 0.700000 1.000000       1 0.695652       1 0.727273 0.785714       1       1     0.278261
    238   h0 0.857143 0.952381       1 0.695652       1 0.666667 0.760369       1       1     0.287865
    239   h0 0.900000 1.000000       1 0.727273       1 0.727273 0.785714       1       1     0.374026
    240   h0 0.900000 1.000000       1 0.711462       1 0.727273 0.785714       1       1     0.365895
    241   h0 0.952381 0.666667       1 0.956522       1 0.670455 0.829493       1       1     0.337751
    242   h0 1.000000 0.700000       1 1.000000       1 0.727273 0.857143       1       1     0.436364
    243   h0 1.000000 0.700000       1 0.826087       1 0.700758 0.857143       1       1     0.347332
    288   h0 0.952381 0.666667       1 0.695652       1 0.872727 0.760369       1       1     0.293099
    289   h0 1.000000 0.700000       1 0.727273       1 0.909091 0.785714       1       1     0.363636
    290   h0 1.000000 0.700000       1 0.727273       1 0.909091 0.785714       1       1     0.363636
    291   h0 1.000000 0.700000       1 0.727273       1 0.909091 0.785714       1       1     0.363636
    292   h0 0.666667 0.666667       1 0.956522       1 0.960000 0.760369       1       1     0.310319
    293   h0 0.700000 0.700000       1 1.000000       1 1.000000 0.785714       1       1     0.385000
    294   h0 0.700000 0.700000       1 1.000000       1 1.000000 0.785714       1       1     0.385000
    295   h0 0.700000 0.700000       1 1.000000       1 1.000000 0.785714       1       1     0.385000
    296   h0 0.576190 0.952381       1 0.782609       1 0.696970 0.552995       1       1     0.165522
    297   h0 0.700000 1.000000       1 0.818182       1 0.727273 0.785714       1       1     0.327273
    298   h0 0.700000 1.000000       1 0.818182       1 0.727273 0.785714       1       1     0.327273
    299   h0 0.700000 1.000000       1 0.818182       1 0.727273 0.785714       1       1     0.327273
    300   h0 0.761905 0.528571       1 0.664032       1 0.693182 0.702765       1       1     0.130272
    301   h0 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    302   h0 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    303   h0 1.000000 0.685714       1 0.537549       1 0.727273 0.769585       1       1     0.206308
    304   h0 0.642857 0.700000       1 0.818182       1 0.818182 0.771889       1       1     0.232524
    305   h0 0.700000 0.700000       1 0.818182       1 0.818182 0.785714       1       1     0.257727
    306   h0 0.700000 0.700000       1 0.818182       1 0.818182 0.785714       1       1     0.257727
    307   h0 0.700000 0.700000       1 0.818182       1 0.621818 0.785714       1       1     0.195873
    308   h0 0.666667 0.952381       1 1.000000       1 1.000000 0.741935       1       1     0.471070
    309   h0 0.700000 1.000000       1 1.000000       1 1.000000 0.785714       1       1     0.550000
    310   h0 0.700000 1.000000       1 1.000000       1 1.000000 0.785714       1       1     0.550000
    311   h0 0.700000 1.000000       1 1.000000       1 0.833333 0.785714       1       1     0.458333
    312   h0 0.952381 0.680952       1 0.727273       1 0.727273 0.744240       1       1     0.255291
    313   h0 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    314   h0 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    315   h0 1.000000 0.700000       1 0.727273       1 0.545455 0.771889       1       1     0.214343
    316   h0 0.614286 0.433333       1 0.561265       1 0.636364 0.661290       1       1     0.062872
    317   h0 0.700000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.203636
    318   h0 0.700000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.203636
    319   h0 0.700000 0.700000       1 0.664032       1 0.727273 0.721198       1       1     0.170662
    320   h0 0.761905 0.952381       1 0.869565       1 0.696970 0.760369       1       1     0.334389
    321   h0 0.800000 1.000000       1 0.909091       1 0.727273 0.785714       1       1     0.415584
    322   h0 0.800000 1.000000       1 0.909091       1 0.727273 0.785714       1       1     0.415584
    323   h0 0.800000 1.000000       1 0.909091       1 0.727273 0.785714       1       1     0.415584
    324   h0 0.952381 0.666667       1 0.869565       1 0.958333 0.760369       1       1     0.402311
    325   h0 1.000000 0.700000       1 0.909091       1 1.000000 0.785714       1       1     0.500000
    326   h0 1.000000 0.700000       1 0.909091       1 1.000000 0.785714       1       1     0.500000
    327   h0 1.000000 0.700000       1 0.909091       1 1.000000 0.785714       1       1     0.500000
    328   h0 0.666667 0.666667       1 0.695652       1 0.750000 0.760369       1       1     0.176317
    329   h0 0.700000 0.700000       1 0.727273       1 0.818182 0.785714       1       1     0.229091
    330   h0 0.700000 0.700000       1 0.727273       1 0.818182 0.785714       1       1     0.229091
    331   h0 0.700000 0.700000       1 0.727273       1 0.818182 0.785714       1       1     0.229091
