 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905       1       1 0.740741 0.846154       1     0.253986
    345   h0 0.666667 0.888889       1 0.800000       1       1 0.769231 0.846154       1     0.308569
    346   h0 0.666667 0.888889       1 0.800000       1       1 0.769231 0.846154       1     0.308569
    347   h0 0.842105 0.842105       1 0.666667       1       1 0.740741 0.769231       1     0.269379
    348   h0 0.888889 0.888889       1 0.700000       1       1 0.769231 0.769231       1     0.327270
    349   h0 0.888889 0.888889       1 0.700000       1       1 0.769231 0.769231       1     0.327270
    350   h0 0.631579 0.947368       1 0.666667       1       1 0.740741 0.769231       1     0.227289
    351   h0 0.666667 1.000000       1 0.700000       1       1 0.769231 0.769231       1     0.276134
    352   h0 0.666667 1.000000       1 0.700000       1       1 0.769231 0.769231       1     0.276134
    353   h0 0.947368 0.631579       1 0.952381       1       1 0.740741 0.923077       1     0.389638
    354   h0 1.000000 0.666667       1 1.000000       1       1 0.769231 0.923077       1     0.473373
    355   h0 1.000000 0.666667       1 1.000000       1       1 0.769231 0.923077       1     0.473373
    392   h0 0.842105 0.631579       1 0.952381       1       1 0.814815 0.769231       1     0.317483
    393   h0 0.888889 0.666667       1 1.000000       1       1 0.846154 0.769231       1     0.385711
    394   h0 0.888889 0.666667       1 1.000000       1       1 0.846154 0.769231       1     0.385711
    395   h0 0.888889 0.666667       1 1.000000       1       1 0.846154 0.675824       1     0.338875
    396   h0 0.631579 0.947368       1 0.666667       1       1 0.962963 0.769231       1     0.295476
    397   h0 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    398   h0 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    399   h0 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    400   h0 0.789474 0.614035       1 0.614286       1       1 0.649573 0.769231       1     0.148794
    401   h0 1.000000 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.322156
    402   h0 1.000000 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.322156
    403   h0 1.000000 0.777778       1 0.676190       1       1 0.769231 0.769231       1     0.311199
    404   h0 0.736842 0.666667       1 0.700000       1       1 0.746439 0.923077       1     0.236926
    405   h0 0.777778 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.257725
    406   h0 0.777778 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.257725
    407   h0 0.777778 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.257725
