 ChipID Half   Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1       1 0.954545       1 0.740741 0.846154       1     0.318204
    345   h0 0.666667 0.888889       1       1 1.000000       1 0.769231 0.846154       1     0.385711
    346   h0 0.666667 0.888889       1       1 1.000000       1 0.769231 0.846154       1     0.385711
    347   h0 0.842105 0.842105       1       1 0.668182       1 0.740741 0.769231       1     0.269992
    348   h0 0.888889 0.888889       1       1 0.700000       1 0.769231 0.769231       1     0.327270
    349   h0 0.888889 0.888889       1       1 0.700000       1 0.769231 0.769231       1     0.327270
    350   h0 0.631579 0.947368       1       1 0.954545       1 0.740741 0.769231       1     0.325436
    351   h0 0.666667 1.000000       1       1 1.000000       1 0.769231 0.769231       1     0.394477
    352   h0 0.666667 1.000000       1       1 1.000000       1 0.769231 0.769231       1     0.394477
    353   h0 0.947368 0.631579       1       1 0.668182       1 0.740741 0.923077       1     0.273367
    354   h0 1.000000 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.331361
    355   h0 1.000000 0.666667       1       1 0.668182       1 0.769231 0.923077       1     0.316299
    392   h0 0.842105 0.631579       1       1 0.668182       1 0.814815 0.769231       1     0.222743
    393   h0 0.888889 0.666667       1       1 0.700000       1 0.846154 0.769231       1     0.269998
    394   h0 0.888889 0.666667       1       1 0.700000       1 0.846154 0.769231       1     0.269998
    395   h0 0.888889 0.666667       1       1 0.700000       1 0.846154 0.675824       1     0.237212
    396   h0 0.631579 0.947368       1       1 0.954545       1 0.962963 0.769231       1     0.423067
    397   h0 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    398   h0 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    399   h0 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    400   h0 0.789474 0.614035       1       1 0.954545       1 0.649573 0.769231       1     0.231213
    401   h0 1.000000 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.460224
    402   h0 1.000000 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.460224
    403   h0 1.000000 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.460224
    404   h0 0.736842 0.666667       1       1 0.700000       1 0.746439 0.923077       1     0.236926
    405   h0 0.777778 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.257725
    406   h0 0.777778 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.257725
    407   h0 0.777778 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.257725
    408   h0 0.736842 0.947368       1       1 0.700000       1 0.746439 1.000000       1     0.364742
    409   h0 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    410   h0 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    411   h0 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    412   h0 0.947368 0.654971       1       1 1.000000       1 0.712251 0.923077       1     0.407954
    413   h0 1.000000 0.666667       1       1 1.000000       1 0.769231 0.923077       1     0.473373
    414   h0 1.000000 0.666667       1       1 1.000000       1 0.769231 0.923077       1     0.473373
    415   h0 1.000000 0.666667       1       1 1.000000       1 0.769231 0.923077       1     0.473373
    416   h0 0.502924 0.684211       1       1 0.677273       1 0.888889 0.769231       1     0.159353
    417   h0 0.666667 1.000000       1       1 0.700000       1 0.923077 0.769231       1     0.331361
    418   h0 0.666667 1.000000       1       1 0.700000       1 0.923077 0.769231       1     0.331361
    419   h0 0.666667 1.000000       1       1 0.700000       1 0.923077 0.769231       1     0.331361
