 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579       1   0.665 0.761905       1       1 0.740741 0.846154       1     0.200570
    345   h0 0.666667       1   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    346   h0 0.666667       1   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    347   h0 0.842105       1   0.950 0.666667       1       1 0.740741 0.769231       1     0.303894
    348   h0 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    349   h0 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    350   h0 0.631579       1   0.665 0.666667       1       1 0.740741 0.769231       1     0.159544
    351   h0 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    352   h0 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    353   h0 0.947368       1   0.760 0.952381       1       1 0.740741 0.923077       1     0.468864
    354   h0 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    355   h0 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    392   h0 0.842105       1   0.665 0.952381       1       1 0.814815 0.769231       1     0.334283
    393   h0 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    394   h0 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    395   h0 0.888889       1   0.700 1.000000       1       1 0.846154 0.675824       1     0.355819
    396   h0 0.631579       1   0.855 0.666667       1       1 0.962963 0.769231       1     0.266667
    397   h0 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    398   h0 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    399   h0 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    400   h0 0.789474       1   0.850 0.614286       1       1 0.649573 0.769231       1     0.205974
    401   h0 1.000000       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.414201
    402   h0 1.000000       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.414201
    403   h0 1.000000       1   1.000 0.676190       1       1 0.769231 0.769231       1     0.400113
    404   h0 0.736842       1   0.700 0.700000       1       1 0.746439 0.923077       1     0.248773
    405   h0 0.777778       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.270611
    406   h0 0.777778       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.270611
    407   h0 0.777778       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.270611
    408   h0 0.736842       1   0.700 1.000000       1       1 0.746439 1.000000       1     0.385005
    409   h0 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    410   h0 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    411   h0 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    412   h0 0.947368       1   1.000 0.700000       1       1 0.712251 0.923077       1     0.436001
    413   h0 1.000000       1   1.000 0.700000       1       1 0.769231 0.923077       1     0.497041
    414   h0 1.000000       1   1.000 0.700000       1       1 0.769231 0.923077       1     0.497041
    415   h0 1.000000       1   1.000 0.700000       1       1 0.769231 0.923077       1     0.497041
    416   h0 0.502924       1   0.610 0.647619       1       1 0.888889 0.769231       1     0.135849
    417   h0 0.666667       1   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    418   h0 0.666667       1   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    419   h0 0.666667       1   0.700 0.800000       1       1 0.923077 0.769231       1     0.265089
    420   h0 0.842105       1   0.665 0.857143       1       1 0.740741 0.769231       1     0.273504
    421   h0 0.888889       1   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    422   h0 0.888889       1   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    423   h0 0.888889       1   0.700 0.900000       1       1 0.769231 0.769231       1     0.331361
    424   h0 0.842105       1   0.950 0.857143       1       1 0.740741 0.769231       1     0.390720
    425   h0 0.888889       1   1.000 0.900000       1       1 0.769231 0.769231       1     0.473373
    426   h0 0.888889       1   1.000 0.900000       1       1 0.769231 0.769231       1     0.473373
    427   h0 0.888889       1   1.000 0.900000       1       1 0.569801 0.675824       1     0.308068
    448   h0 0.947368       1   0.855 0.666667       1       1 0.814815 0.769231       1     0.338462
    449   h0 1.000000       1   0.900 0.700000       1       1 0.846154 0.769231       1     0.410059
    450   h0 1.000000       1   0.900 0.700000       1       1 0.846154 0.769231       1     0.410059
    451   h0 1.000000       1   0.900 0.700000       1       1 0.846154 0.769231       1     0.410059
    452   h0 1.000000       1   0.810 0.500000       1       1 0.532764 0.384615       1     0.082988
    453   h0 0.210526       1   0.475 0.952381       1       1 0.279202 0.642857       1     0.017094
    454   h0 0.619883       1   0.690 1.000000       1       1 0.769231 0.769231       1     0.253088
    455   h0 0.666667       1   0.700 1.000000       1       1 0.769231 0.769231       1     0.276134
    456   h0 0.666667       1   0.700 1.000000       1       1 0.769231 0.769231       1     0.276134
    457   h0 0.666667       1   0.650 0.714286       1       1 0.740741 0.461538       1     0.105820
    458   h0 0.947368       1   0.950 0.952381       1       1 0.923077 0.670330       1     0.530371
    459   h0 1.000000       1   1.000 1.000000       1       1 0.923077 0.769231       1     0.710059
    460   h0 1.000000       1   1.000 1.000000       1       1 0.923077 0.769231       1     0.710059
    461   h0 1.000000       1   1.000 1.000000       1       1 0.923077 0.769231       1     0.710059
    462   h0 1.000000       1   0.900 0.714286       1       1 0.581197 0.461538       1     0.172443
    463   h0 0.631579       1   0.760 0.666667       1       1 0.740741 0.769231       1     0.182336
    464   h0 0.666667       1   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    465   h0 0.666667       1   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    466   h0 0.666667       1   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    467   h0 0.666667       1   0.720 0.500000       1       1 0.484330 0.384615       1     0.044707
    812   h1 0.596491       1   0.695 0.723810       1       1 0.769231 0.846154       1     0.195308
    813   h1 0.666667       1   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    814   h1 0.666667       1   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    815   h1 0.795322       1   0.950 0.642857       1       1 0.769231 0.769231       1     0.287405
    816   h1 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    817   h1 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    818   h1 0.596491       1   0.700 0.666667       1       1 0.769231 0.769231       1     0.164712
    819   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    820   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    821   h1 0.894737       1   0.800 0.952381       1       1 0.769231 0.923077       1     0.484050
    822   h1 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    823   h1 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    860   h1 0.795322       1   0.665 0.952381       1       1 0.846154 0.769231       1     0.327854
    861   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    862   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    863   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.620879       1     0.326890
    864   h1 0.596491       1   0.855 0.666667       1       1 1.000000 0.769231       1     0.261538
    865   h1 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    866   h1 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
