 ChipID Half   Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579       1       1 0.761905 0.954545       1 0.740741 0.846154       1     0.287899
    345   h0 0.666667       1       1 0.800000 1.000000       1 0.769231 0.846154       1     0.347140
    346   h0 0.666667       1       1 0.800000 1.000000       1 0.769231 0.846154       1     0.347140
    347   h0 0.842105       1       1 0.666667 0.668182       1 0.740741 0.769231       1     0.213743
    348   h0 0.888889       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    349   h0 0.888889       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    350   h0 0.631579       1       1 0.666667 0.954545       1 0.740741 0.769231       1     0.229011
    351   h0 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    352   h0 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    353   h0 0.947368       1       1 0.952381 0.668182       1 0.740741 0.923077       1     0.412219
    354   h0 1.000000       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    355   h0 1.000000       1       1 1.000000 0.668182       1 0.769231 0.923077       1     0.474449
    392   h0 0.842105       1       1 0.952381 0.668182       1 0.814815 0.769231       1     0.335882
    393   h0 0.888889       1       1 1.000000 0.700000       1 0.846154 0.769231       1     0.404997
    394   h0 0.888889       1       1 1.000000 0.700000       1 0.846154 0.769231       1     0.404997
    395   h0 0.888889       1       1 1.000000 0.700000       1 0.846154 0.675824       1     0.355819
    396   h0 0.631579       1       1 0.666667 0.954545       1 0.962963 0.769231       1     0.297714
    397   h0 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    398   h0 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    399   h0 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    400   h0 0.789474       1       1 0.614286 0.954545       1 0.649573 0.769231       1     0.231307
    401   h0 1.000000       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    402   h0 1.000000       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    403   h0 1.000000       1       1 0.676190 1.000000       1 0.769231 0.769231       1     0.400113
    404   h0 0.736842       1       1 0.700000 0.700000       1 0.746439 0.923077       1     0.248773
    405   h0 0.777778       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.270611
    406   h0 0.777778       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.270611
    407   h0 0.777778       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.270611
    408   h0 0.736842       1       1 1.000000 0.700000       1 0.746439 1.000000       1     0.385005
    409   h0 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    410   h0 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    411   h0 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    412   h0 0.947368       1       1 0.700000 1.000000       1 0.712251 0.923077       1     0.436001
    413   h0 1.000000       1       1 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    414   h0 1.000000       1       1 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    415   h0 1.000000       1       1 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    416   h0 0.502924       1       1 0.647619 0.677273       1 0.888889 0.769231       1     0.150831
    417   h0 0.666667       1       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    418   h0 0.666667       1       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    419   h0 0.666667       1       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    420   h0 0.842105       1       1 0.857143 0.668182       1 0.740741 0.769231       1     0.274813
    421   h0 0.888889       1       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    422   h0 0.888889       1       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    423   h0 0.888889       1       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    424   h0 0.842105       1       1 0.857143 0.668182       1 0.740741 0.769231       1     0.274813
    425   h0 0.888889       1       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    426   h0 0.888889       1       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    427   h0 0.888889       1       1 0.900000 0.700000       1 0.569801 0.675824       1     0.215648
    448   h0 0.947368       1       1 0.666667 0.668182       1 0.814815 0.769231       1     0.264507
    449   h0 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    450   h0 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    451   h0 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    452   h0 1.000000       1       1 0.500000 0.700000       1 0.532764 0.384615       1     0.071718
    453   h0 0.210526       1       1 0.952381 0.668182       1 0.279202 0.642857       1     0.024046
