 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.842105   0.665 0.761905       1       1 0.740741 0.846154       1     0.267426
    345   h0       1 0.888889   0.700 0.800000       1       1 0.769231 0.846154       1     0.323997
    346   h0       1 0.888889   0.700 0.800000       1       1 0.769231 0.846154       1     0.323997
    347   h0       1 0.842105   0.950 0.666667       1       1 0.740741 0.769231       1     0.303894
    348   h0       1 0.888889   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    349   h0       1 0.888889   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    350   h0       1 0.947368   0.665 0.666667       1       1 0.740741 0.769231       1     0.239316
    351   h0       1 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.289941
    352   h0       1 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.289941
    353   h0       1 0.631579   0.760 0.952381       1       1 0.740741 0.923077       1     0.312576
    354   h0       1 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    355   h0       1 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    392   h0       1 0.631579   0.665 0.952381       1       1 0.814815 0.769231       1     0.250712
    393   h0       1 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.303748
    394   h0       1 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.303748
    395   h0       1 0.666667   0.700 1.000000       1       1 0.846154 0.675824       1     0.266864
    396   h0       1 0.947368   0.855 0.666667       1       1 0.962963 0.769231       1     0.400000
    397   h0       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    398   h0       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    399   h0       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    400   h0       1 0.614035   0.850 0.614286       1       1 0.649573 0.769231       1     0.160202
    401   h0       1 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    402   h0       1 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    403   h0       1 0.777778   1.000 0.676190       1       1 0.769231 0.769231       1     0.311199
    404   h0       1 0.666667   0.700 0.700000       1       1 0.746439 0.923077       1     0.225080
    405   h0       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    406   h0       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    407   h0       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    408   h0       1 0.947368   0.700 1.000000       1       1 0.746439 1.000000       1     0.495007
    409   h0       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    410   h0       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    411   h0       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    412   h0       1 0.654971   1.000 0.700000       1       1 0.712251 0.923077       1     0.301433
    413   h0       1 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    414   h0       1 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    415   h0       1 0.666667   1.000 0.700000       1       1 0.769231 0.923077       1     0.331361
    416   h0       1 0.684211   0.610 0.647619       1       1 0.888889 0.769231       1     0.184818
    417   h0       1 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.397633
    418   h0       1 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.397633
    419   h0       1 1.000000   0.700 0.800000       1       1 0.923077 0.769231       1     0.397633
    420   h0       1 0.947368   0.665 0.857143       1       1 0.740741 0.769231       1     0.307692
    421   h0       1 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.372781
    422   h0       1 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.372781
    423   h0       1 1.000000   0.700 0.900000       1       1 0.769231 0.769231       1     0.372781
    424   h0       1 0.631579   0.950 0.857143       1       1 0.740741 0.769231       1     0.293040
    425   h0       1 0.666667   1.000 0.900000       1       1 0.769231 0.769231       1     0.355030
    426   h0       1 0.666667   1.000 0.900000       1       1 0.769231 0.769231       1     0.355030
    427   h0       1 0.666667   1.000 0.900000       1       1 0.569801 0.675824       1     0.231051
    448   h0       1 0.631579   0.855 0.666667       1       1 0.814815 0.769231       1     0.225641
    449   h0       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    450   h0       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    451   h0       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    452   h0       1 0.666667   0.810 0.500000       1       1 0.532764 0.384615       1     0.055325
    453   h0       1 0.947368   0.475 0.952381       1       1 0.279202 0.642857       1     0.076923
    454   h0       1 1.000000   0.690 1.000000       1       1 0.769231 0.769231       1     0.408284
    455   h0       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    456   h0       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    457   h0       1 1.000000   0.650 0.714286       1       1 0.740741 0.461538       1     0.158730
    458   h0       1 0.736842   0.950 0.952381       1       1 0.923077 0.670330       1     0.412511
    459   h0       1 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    460   h0       1 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    461   h0       1 0.777778   1.000 1.000000       1       1 0.923077 0.769231       1     0.552268
    462   h0       1 0.777778   0.900 0.714286       1       1 0.581197 0.461538       1     0.134122
    463   h0       1 0.631579   0.760 0.666667       1       1 0.740741 0.769231       1     0.182336
    464   h0       1 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    465   h0       1 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    466   h0       1 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.220907
    467   h0       1 0.666667   0.720 0.500000       1       1 0.484330 0.384615       1     0.044707
    812   h1       1 0.947368   0.695 0.723810       1       1 0.769231 0.846154       1     0.310194
    813   h1       1 1.000000   0.700 0.800000       1       1 0.769231 0.846154       1     0.364497
    814   h1       1 1.000000   0.700 0.800000       1       1 0.769231 0.846154       1     0.364497
    815   h1       1 0.736842   0.950 0.642857       1       1 0.769231 0.769231       1     0.266272
    816   h1       1 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    817   h1       1 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    818   h1       1 0.947368   0.700 0.666667       1       1 0.769231 0.769231       1     0.261601
    819   h1       1 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.289941
    820   h1       1 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.289941
    821   h1       1 0.631579   0.800 0.952381       1       1 0.769231 0.923077       1     0.341683
    822   h1       1 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    823   h1       1 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    860   h1       1 0.631579   0.665 0.952381       1       1 0.846154 0.769231       1     0.260355
    861   h1       1 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.303748
    862   h1       1 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.303748
    863   h1       1 0.666667   0.700 1.000000       1       1 0.846154 0.620879       1     0.245168
    864   h1       1 0.947368   0.855 0.666667       1       1 1.000000 0.769231       1     0.415385
    865   h1       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    866   h1       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    867   h1       1 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.484615
    868   h1       1 0.573099   0.900 0.642857       1       1 0.683761 0.846154       1     0.191841
    869   h1       1 0.777778   1.000 0.700000       1       1 0.769231 0.846154       1     0.354372
    870   h1       1 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    871   h1       1 0.777778   1.000 0.676190       1       1 0.769231 0.846154       1     0.342319
    872   h1       1 0.666667   0.700 0.700000       1       1 0.757835 0.923077       1     0.228516
    873   h1       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    874   h1       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    875   h1       1 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    876   h1       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    877   h1       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    878   h1       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    879   h1       1 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.538462
    880   h1       1 0.649123   1.000 0.700000       1       1 0.814815 0.846154       1     0.313280
    881   h1       1 0.666667   1.000 0.700000       1       1 0.846154 0.846154       1     0.334122
    882   h1       1 0.666667   1.000 0.700000       1       1 0.769231 0.846154       1     0.303748
    883   h1       1 0.666667   1.000 0.700000       1       1 0.769231 0.846154       1     0.303748
    884   h1       1 0.736842   0.625 0.647619       1       1 0.925926 0.747253       1     0.206356
    885   h1       1 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.430769
    886   h1       1 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.430769
    887   h1       1 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.430769
    888   h1       1 0.947368   0.700 0.952381       1       1 0.769231 0.769231       1     0.373715
    889   h1       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    890   h1       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    891   h1       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    892   h1       1 0.631579   1.000 0.761905       1       1 0.769231 0.769231       1     0.284736
    893   h1       1 0.666667   1.000 0.800000       1       1 0.769231 0.769231       1     0.315582
    894   h1       1 0.666667   1.000 0.800000       1       1 0.769231 0.769231       1     0.315582
    895   h1       1 0.666667   1.000 0.900000       1       1 0.555556 0.670330       1     0.223443
    916   h1       1 0.631579   0.900 0.661905       1       1 0.846154 0.769231       1     0.244890
    917   h1       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    918   h1       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    919   h1       1 0.666667   0.900 0.700000       1       1 0.846154 0.769231       1     0.273373
    920   h1       1 0.666667   0.810 0.500000       1       1 0.532764 0.376374       1     0.054140
    921   h1       1 0.947368   0.510 0.904762       1       1 0.307692 0.706044       1     0.094967
    922   h1       1 1.000000   0.690 1.000000       1       1 0.769231 0.769231       1     0.408284
    923   h1       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    924   h1       1 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    925   h1       1 1.000000   0.650 0.714286       1       1 0.740741 0.398352       1     0.136999
    926   h1       1 0.631579   1.000 0.900000       1       1 0.923077 0.620879       1     0.325773
    927   h1       1 0.666667   1.000 0.900000       1       1 0.923077 0.769231       1     0.426036
    928   h1       1 0.666667   1.000 1.000000       1       1 0.923077 0.769231       1     0.473373
    929   h1       1 0.666667   1.000 1.000000       1       1 0.923077 0.769231       1     0.473373
    930   h1       1 0.666667   0.900 0.714286       1       1 0.547009 0.500000       1     0.117216
    931   h1       1 0.736842   0.800 0.700000       1       1 0.769231 0.769231       1     0.244161
