 ChipID Half  Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.842105       1 0.761905 0.954545       1 0.740741 0.846154       1     0.383866
    345   h0       1 0.888889       1 0.800000 1.000000       1 0.769231 0.846154       1     0.462853
    346   h0       1 0.888889       1 0.800000 1.000000       1 0.769231 0.846154       1     0.462853
    347   h0       1 0.842105       1 0.666667 0.668182       1 0.740741 0.769231       1     0.213743
    348   h0       1 0.888889       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    349   h0       1 0.888889       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    350   h0       1 0.947368       1 0.666667 0.954545       1 0.740741 0.769231       1     0.343516
    351   h0       1 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    352   h0       1 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    353   h0       1 0.631579       1 0.952381 0.668182       1 0.740741 0.923077       1     0.274813
    354   h0       1 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    355   h0       1 0.666667       1 1.000000 0.668182       1 0.769231 0.923077       1     0.316299
    392   h0       1 0.631579       1 0.952381 0.668182       1 0.814815 0.769231       1     0.251912
    393   h0       1 0.666667       1 1.000000 0.700000       1 0.846154 0.769231       1     0.303748
    394   h0       1 0.666667       1 1.000000 0.700000       1 0.846154 0.769231       1     0.303748
    395   h0       1 0.666667       1 1.000000 0.700000       1 0.846154 0.675824       1     0.266864
    396   h0       1 0.947368       1 0.666667 0.954545       1 0.962963 0.769231       1     0.446571
    397   h0       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    398   h0       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    399   h0       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    400   h0       1 0.614035       1 0.614286 0.954545       1 0.649573 0.769231       1     0.179906
    401   h0       1 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    402   h0       1 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    403   h0       1 0.777778       1 0.676190 1.000000       1 0.769231 0.769231       1     0.311199
    404   h0       1 0.666667       1 0.700000 0.700000       1 0.746439 0.923077       1     0.225080
    405   h0       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    406   h0       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    407   h0       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    408   h0       1 0.947368       1 1.000000 0.700000       1 0.746439 1.000000       1     0.495007
    409   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    410   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    411   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    412   h0       1 0.654971       1 0.700000 1.000000       1 0.712251 0.923077       1     0.301433
    413   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    414   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    415   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    416   h0       1 0.684211       1 0.647619 0.677273       1 0.888889 0.769231       1     0.205200
    417   h0       1 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.397633
    418   h0       1 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.397633
    419   h0       1 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.397633
    420   h0       1 0.947368       1 0.857143 0.668182       1 0.740741 0.769231       1     0.309165
    421   h0       1 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.372781
    422   h0       1 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.372781
    423   h0       1 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.372781
    424   h0       1 0.631579       1 0.857143 0.668182       1 0.740741 0.769231       1     0.206110
    425   h0       1 0.666667       1 0.900000 0.700000       1 0.769231 0.769231       1     0.248521
    426   h0       1 0.666667       1 0.900000 0.700000       1 0.769231 0.769231       1     0.248521
    427   h0       1 0.666667       1 0.900000 0.700000       1 0.569801 0.675824       1     0.161736
    448   h0       1 0.631579       1 0.666667 0.668182       1 0.814815 0.769231       1     0.176338
    449   h0       1 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    450   h0       1 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    451   h0       1 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    452   h0       1 0.666667       1 0.500000 0.700000       1 0.532764 0.384615       1     0.047812
    453   h0       1 0.947368       1 0.952381 0.668182       1 0.279202 0.642857       1     0.108208
    454   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    455   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    456   h0       1 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    457   h0       1 1.000000       1 0.714286 0.700000       1 0.740741 0.461538       1     0.170940
    458   h0       1 0.736842       1 0.952381 0.668182       1 0.923077 0.670330       1     0.290139
    459   h0       1 0.777778       1 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    460   h0       1 0.777778       1 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    461   h0       1 0.777778       1 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    462   h0       1 0.777778       1 0.714286 0.700000       1 0.581197 0.461538       1     0.104317
    463   h0       1 0.631579       1 0.666667 0.954545       1 0.740741 0.769231       1     0.229011
    464   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    465   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    466   h0       1 0.666667       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    467   h0       1 0.666667       1 0.500000 1.000000       1 0.484330 0.384615       1     0.062094
    812   h1       1 0.947368       1 0.723810 0.954545       1 0.769231 0.846154       1     0.426036
    813   h1       1 1.000000       1 0.800000 1.000000       1 0.769231 0.846154       1     0.520710
    814   h1       1 1.000000       1 0.800000 1.000000       1 0.769231 0.846154       1     0.520710
    815   h1       1 0.736842       1 0.642857 0.668182       1 0.769231 0.769231       1     0.187282
    816   h1       1 0.777778       1 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    817   h1       1 0.777778       1 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    818   h1       1 0.947368       1 0.666667 0.954545       1 0.769231 0.769231       1     0.356728
    819   h1       1 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    820   h1       1 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    821   h1       1 0.631579       1 0.952381 0.668182       1 0.769231 0.923077       1     0.285383
    822   h1       1 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    823   h1       1 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    860   h1       1 0.631579       1 0.952381 0.763636       1 0.846154 0.769231       1     0.298972
    861   h1       1 0.666667       1 1.000000 0.800000       1 0.846154 0.769231       1     0.347140
    862   h1       1 0.666667       1 1.000000 0.800000       1 0.846154 0.769231       1     0.347140
    863   h1       1 0.666667       1 1.000000 0.800000       1 0.846154 0.620879       1     0.280192
    864   h1       1 0.947368       1 0.666667 0.954545       1 1.000000 0.769231       1     0.463747
    865   h1       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    866   h1       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    867   h1       1 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    868   h1       1 0.573099       1 0.642857 0.954545       1 0.683761 0.846154       1     0.203467
    869   h1       1 0.777778       1 0.700000 1.000000       1 0.769231 0.846154       1     0.354372
    870   h1       1 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    871   h1       1 0.777778       1 0.676190 1.000000       1 0.769231 0.846154       1     0.342319
    872   h1       1 0.666667       1 0.700000 0.700000       1 0.757835 0.923077       1     0.228516
    873   h1       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    874   h1       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    875   h1       1 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    876   h1       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    877   h1       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    878   h1       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    879   h1       1 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    880   h1       1 0.649123       1 0.700000 1.000000       1 0.814815 0.846154       1     0.313280
    881   h1       1 0.666667       1 0.700000 1.000000       1 0.846154 0.846154       1     0.334122
    882   h1       1 0.666667       1 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    883   h1       1 0.666667       1 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    884   h1       1 0.736842       1 0.647619 0.663636       1 0.925926 0.747253       1     0.219113
    885   h1       1 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
    886   h1       1 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
    887   h1       1 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
