 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1       1   0.665 0.761905 0.954545       1 0.740741 0.846154       1     0.303134
    345   h0       1       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    346   h0       1       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    347   h0       1       1   0.950 0.666667 0.668182       1 0.740741 0.769231       1     0.241129
    348   h0       1       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    349   h0       1       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    350   h0       1       1   0.665 0.666667 0.954545       1 0.740741 0.769231       1     0.241129
    351   h0       1       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    352   h0       1       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    353   h0       1       1   0.760 0.952381 0.668182       1 0.740741 0.923077       1     0.330692
    354   h0       1       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    355   h0       1       1   0.800 1.000000 0.668182       1 0.769231 0.923077       1     0.379559
    392   h0       1       1   0.665 0.952381 0.668182       1 0.814815 0.769231       1     0.265242
    393   h0       1       1   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.318935
    394   h0       1       1   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.318935
    395   h0       1       1   0.700 1.000000 0.700000       1 0.846154 0.675824       1     0.280207
    396   h0       1       1   0.855 0.666667 0.954545       1 0.962963 0.769231       1     0.403030
    397   h0       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    398   h0       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    399   h0       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    400   h0       1       1   0.850 0.614286 0.954545       1 0.649573 0.769231       1     0.249041
    401   h0       1       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    402   h0       1       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    403   h0       1       1   1.000 0.676190 1.000000       1 0.769231 0.769231       1     0.400113
    404   h0       1       1   0.700 0.700000 0.700000       1 0.746439 0.923077       1     0.236334
    405   h0       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    406   h0       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    407   h0       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    408   h0       1       1   0.700 1.000000 0.700000       1 0.746439 1.000000       1     0.365755
