 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1 0.740741       1       1     0.190537
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1 0.769231       1       1     0.255271
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1 0.769231       1       1     0.255271
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1 0.740741       1       1     0.222293
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1 0.769231       1       1     0.297816
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1 0.769231       1       1     0.297816
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1 0.740741       1       1     0.187560
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231       1       1     0.251282
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231       1       1     0.251282
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1 0.740741       1       1     0.214354
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231       1       1     0.287179
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1 0.769231       1       1     0.274126
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1 0.814815       1       1     0.183392
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154       1       1     0.245698
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154       1       1     0.245698
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154       1       1     0.245698
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1 0.962963       1       1     0.313493
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000       1       1     0.420000
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1 0.649573       1       1     0.156944
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231       1       1     0.418803
