 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1       1 0.846154       1     0.217652
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1 0.846154       1     0.280798
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1 0.846154       1     0.280798
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1       1 0.769231       1     0.230843
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1 0.769231       1     0.297816
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1 0.769231       1     0.297816
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1       1 0.769231       1     0.194774
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231       1     0.251282
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231       1     0.251282
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1       1 0.923077       1     0.267118
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077       1     0.344615
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1       1 0.923077       1     0.328951
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1       1 0.769231       1     0.173132
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.769231       1     0.223362
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.769231       1     0.223362
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.675824       1     0.196239
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1       1 0.769231       1     0.250423
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231       1     0.323077
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1       1 0.769231       1     0.185855
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231       1     0.418803
    402   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231       1     0.418803
    403   h0 1.000000 0.777778   1.000 0.676190 1.000000       1       1 0.769231       1     0.404558
    404   h0 0.736842 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.155530
    405   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.164171
    406   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.164171
    407   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1 0.923077       1     0.164171
    408   h0 0.736842 0.947368   0.700 1.000000 0.700000       1       1 1.000000       1     0.342050
    409   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    410   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    411   h0 0.777778 1.000000   0.700 1.000000 0.700000       1       1 1.000000       1     0.381111
    412   h0 0.947368 0.654971   1.000 0.700000 1.000000       1       1 0.923077       1     0.400938
    413   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.923077       1     0.430769
    414   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.923077       1     0.430769
    415   h0 1.000000 0.666667   1.000 0.700000 1.000000       1       1 0.923077       1     0.430769
    416   h0 0.502924 0.684211   0.610 0.647619 0.677273       1       1 0.769231       1     0.070821
    417   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    418   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    419   h0 0.666667 1.000000   0.700 0.800000 0.700000       1       1 0.769231       1     0.201026
    420   h0 0.842105 0.947368   0.665 0.857143 0.668182       1       1 0.769231       1     0.233728
    421   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1 0.769231       1     0.301538
    422   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1 0.769231       1     0.301538
    423   h0 0.888889 1.000000   0.700 0.900000 0.700000       1       1 0.769231       1     0.301538
    424   h0 0.842105 0.631579   0.950 0.857143 0.668182       1       1 0.769231       1     0.222598
    425   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1 0.769231       1     0.287179
    426   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1 0.769231       1     0.287179
    427   h0 0.888889 0.666667   1.000 0.900000 0.700000       1       1 0.675824       1     0.252308
    448   h0 0.947368 0.631579   0.855 0.666667 0.668182       1       1 0.769231       1     0.175296
    449   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    450   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    451   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1 0.769231       1     0.226154
    452   h0 1.000000 0.666667   0.810 0.500000 0.700000       1       1 0.384615       1     0.072692
    453   h0 0.210526 0.947368   0.475 0.952381 0.668182       1       1 0.642857       1     0.038756
    454   h0 0.619883 1.000000   0.690 1.000000 0.700000       1       1 0.769231       1     0.230310
    455   h0 0.666667 1.000000   0.700 1.000000 0.700000       1       1 0.769231       1     0.251282
    456   h0 0.666667 1.000000   0.700 1.000000 0.700000       1       1 0.769231       1     0.251282
    457   h0 0.666667 1.000000   0.650 0.714286 0.700000       1       1 0.461538       1     0.100000
    458   h0 0.947368 0.736842   0.950 0.952381 0.668182       1       1 0.670330       1     0.282886
    459   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1 0.769231       1     0.418803
    460   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1 0.769231       1     0.418803
    461   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1 0.769231       1     0.418803
    462   h0 1.000000 0.777778   0.900 0.714286 0.700000       1       1 0.461538       1     0.161538
    463   h0 0.631579 0.631579   0.760 0.666667 0.954545       1       1 0.769231       1     0.148399
    464   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231       1     0.191453
    465   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231       1     0.191453
    466   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1 0.769231       1     0.191453
    467   h0 0.666667 0.666667   0.720 0.500000 1.000000       1       1 0.384615       1     0.061538
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1       1 0.846154       1     0.229603
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1 0.846154       1     0.315897
