 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1       1       1 0.785714     0.202105
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1       1 0.785714     0.260741
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1       1 0.785714     0.260741
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1       1       1 0.714286     0.214354
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1       1 0.714286     0.276543
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1       1 0.783410     0.303305
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1       1       1 0.785714     0.198947
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1 0.785714     0.256667
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1 0.785714     0.256667
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1       1       1 0.857143     0.248038
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1 0.785714     0.293333
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1       1       1 0.785714     0.280000
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1       1       1 0.857143     0.192919
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1 0.857143     0.248889
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1 0.790323     0.229486
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1       1 0.785714     0.228148
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1       1       1 0.785714     0.255789
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1       1 0.785714     0.330000
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1       1       1 0.721198     0.174249
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1 0.785714     0.427778
    402   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1       1 0.785714     0.427778
    403   h0 1.000000 0.777778   1.000 0.676190 1.000000       1       1       1 0.769585     0.404745
    404   h0 0.736842 0.666667   0.700 0.700000 0.700000       1       1       1 0.767281     0.129280
    405   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1       1 0.785714     0.139741
    406   h0 0.777778 0.666667   0.700 0.700000 0.700000       1       1       1 0.785714     0.139741
