 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182 0.740741       1       1     0.133376
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231       1       1     0.178689
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231       1       1     0.178689
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091 0.740741       1       1     0.285805
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231       1       1     0.382906
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231       1       1     0.382906
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273 0.740741       1       1     0.142903
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1       1     0.201026
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1       1     0.201026
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455 0.740741       1       1     0.207063
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231       1       1     0.287179
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231       1       1     0.287179
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545 0.814815       1       1     0.261988
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1       1     0.350997
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1       1     0.350997
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1       1     0.350997
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182 0.962963       1       1     0.219445
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1       1     0.294000
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1       1     0.294000
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1       1     0.294000
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545 0.649573       1       1     0.107619
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231       1       1     0.293162
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231       1       1     0.293162
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231       1       1     0.283191
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000 0.746439       1       1     0.125768
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1       1     0.136809
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1       1     0.136809
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231       1       1     0.136809
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000 0.746439       1       1     0.364742
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1       1     0.418803
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1       1     0.418803
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1       1     0.418803
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000 0.712251       1       1     0.216556
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1       1     0.251282
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1       1     0.251282
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1       1     0.251282
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182 0.888889       1       1     0.074697
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1       1     0.241231
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1       1     0.241231
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077       1       1     0.241231
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091 0.740741       1       1     0.222010
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1       1     0.301538
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1       1     0.301538
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231       1       1     0.301538
    424   h0 0.842105 0.631579   0.950 0.857143       1 0.909091 0.740741       1       1     0.291638
    425   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231       1       1     0.410256
    426   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231       1       1     0.410256
    427   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.569801       1       1     0.303894
    448   h0 0.947368 0.631579   0.855 0.666667       1 0.763636 0.814815       1       1     0.212211
    449   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1       1     0.284308
    450   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1       1     0.284308
    451   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1       1     0.284308
    452   h0 1.000000 0.666667   0.810 0.500000       1 0.800000 0.532764       1       1     0.115077
    453   h0 0.210526 0.947368   0.475 0.952381       1 0.954545 0.279202       1       1     0.024046
    454   h0 0.619883 1.000000   0.690 1.000000       1 1.000000 0.769231       1       1     0.329015
    455   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231       1       1     0.358974
    456   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231       1       1     0.358974
    457   h0 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741       1       1     0.229277
    458   h0 0.947368 0.736842   0.950 0.952381       1 0.954545 0.923077       1       1     0.556496
    459   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1       1     0.717949
