 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182       1       1 0.785714     0.141474
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1       1 0.785714     0.182519
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1       1 0.785714     0.182519
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091       1       1 0.714286     0.275598
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1       1 0.714286     0.355556
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1       1 0.783410     0.389964
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273       1       1 0.785714     0.151579
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1 0.785714     0.205333
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1 0.785714     0.205333
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455       1       1 0.857143     0.239602
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1       1 0.785714     0.293333
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1       1 0.785714     0.293333
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545       1       1 0.857143     0.275598
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.857143     0.355556
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.790323     0.327838
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1 0.785714     0.325926
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182       1       1 0.785714     0.179053
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1 0.785714     0.231000
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545       1       1 0.721198     0.119485
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1 0.785714     0.299444
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1 0.785714     0.299444
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000       1       1 0.769585     0.283321
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000       1       1 0.767281     0.129280
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.139741
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.139741
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1       1 0.785714     0.139741
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000       1       1 0.767281     0.374926
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.427778
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000       1       1 0.767281     0.233287
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.785714     0.256667
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.785714     0.256667
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1 0.758065     0.247634
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182       1       1 0.682028     0.057314
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091       1       1 0.785714     0.235489
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1       1 0.785714     0.308000
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1       1 0.785714     0.308000
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1       1 0.852535     0.334194
