 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1       1 0.740741       1 0.785714     0.156837
    345   h0 0.666667 0.888889   0.700 0.800000       1       1 0.769231       1 0.785714     0.200570
    346   h0 0.666667 0.888889   0.700 0.800000       1       1 0.769231       1 0.785714     0.200570
    347   h0 0.842105 0.842105   0.950 0.666667       1       1 0.740741       1 0.714286     0.237631
    348   h0 0.888889 0.888889   1.000 0.700000       1       1 0.769231       1 0.714286     0.303894
    349   h0 0.888889 0.888889   1.000 0.700000       1       1 0.769231       1 0.783410     0.333303
    350   h0 0.631579 0.947368   0.665 0.666667       1       1 0.740741       1 0.785714     0.154386
    351   h0 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1 0.785714     0.197436
    352   h0 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1 0.785714     0.197436
    353   h0 0.947368 0.631579   0.760 0.952381       1       1 0.740741       1 0.857143     0.274973
    354   h0 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1 0.785714     0.322344
    355   h0 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1 0.785714     0.322344
    392   h0 0.842105 0.631579   0.665 0.952381       1       1 0.814815       1 0.857143     0.235255
    393   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.857143     0.300855
    394   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.790323     0.277401
    395   h0 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.785714     0.275783
    396   h0 0.631579 0.947368   0.855 0.666667       1       1 0.962963       1 0.785714     0.258045
    397   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    398   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    399   h0 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    400   h0 0.789474 0.614035   0.850 0.614286       1       1 0.649573       1 0.721198     0.118578
    401   h0 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.329060
    402   h0 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.329060
    403   h0 1.000000 0.777778   1.000 0.676190       1       1 0.769231       1 0.769585     0.311342
    404   h0 0.736842 0.666667   0.700 0.700000       1       1 0.746439       1 0.767281     0.137857
    405   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.153561
    406   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.153561
    407   h0 0.777778 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.153561
    408   h0 0.736842 0.947368   0.700 1.000000       1       1 0.746439       1 0.767281     0.279860
    409   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    410   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    411   h0 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    412   h0 0.947368 0.654971   1.000 0.700000       1       1 0.712251       1 0.767281     0.237370
    413   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.785714     0.282051
    414   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.785714     0.282051
    415   h0 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.758065     0.272126
    416   h0 0.502924 0.684211   0.610 0.647619       1       1 0.888889       1 0.682028     0.082412
    417   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1 0.785714     0.270769
    418   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1 0.785714     0.270769
    419   h0 0.666667 1.000000   0.700 0.800000       1       1 0.923077       1 0.785714     0.270769
    420   h0 0.842105 0.947368   0.665 0.857143       1       1 0.740741       1 0.785714     0.264662
    421   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1 0.785714     0.338462
    422   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1 0.785714     0.338462
    423   h0 0.888889 1.000000   0.700 0.900000       1       1 0.769231       1 0.852535     0.367246
    424   h0 0.842105 0.631579   0.950 0.857143       1       1 0.740741       1 0.785714     0.252059
    425   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231       1 0.785714     0.322344
    426   h0 0.888889 0.666667   1.000 0.900000       1       1 0.769231       1 0.785714     0.322344
    427   h0 0.888889 0.666667   1.000 0.900000       1       1 0.569801       1 0.721198     0.219168
    448   h0 0.947368 0.631579   0.855 0.666667       1       1 0.814815       1 0.785714     0.218346
    449   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    450   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    451   h0 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    452   h0 1.000000 0.666667   0.810 0.500000       1       1 0.532764       1 0.785714     0.113022
    453   h0 0.210526 0.947368   0.475 0.952381       1       1 0.279202       1 0.564516     0.014221
    454   h0 0.619883 1.000000   0.690 1.000000       1       1 0.769231       1 0.785714     0.258512
    455   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.282051
    456   h0 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.282051
    457   h0 0.666667 1.000000   0.650 0.714286       1       1 0.740741       1 0.758065     0.173807
    458   h0 0.947368 0.736842   0.950 0.952381       1       1 0.923077       1 0.714286     0.416426
    459   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1 0.714286     0.512821
    460   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1 0.714286     0.512821
    461   h0 1.000000 0.777778   1.000 1.000000       1       1 0.923077       1 0.714286     0.512821
    462   h0 1.000000 0.777778   0.900 0.714286       1       1 0.581197       1 0.778802     0.226318
    463   h0 0.631579 0.631579   0.760 0.666667       1       1 0.740741       1 0.785714     0.117627
    464   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1 0.785714     0.150427
    465   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1 0.785714     0.150427
    466   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231       1 0.785714     0.150427
    467   h0 0.666667 0.666667   0.720 0.500000       1       1 0.484330       1 0.656682     0.050888
    812   h1 0.596491 0.947368   0.695 0.723810       1       1 0.769231       1 0.785714     0.171812
    813   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231       1 0.785714     0.225641
    814   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231       1 0.785714     0.225641
    815   h1 0.795322 0.736842   0.950 0.642857       1       1 0.769231       1 0.785714     0.216310
    816   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.292498
    817   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.292498
    818   h1 0.596491 0.947368   0.700 0.666667       1       1 0.769231       1 0.857143     0.173876
    819   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1 0.857143     0.215385
    820   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1 0.857143     0.215385
    821   h1 0.894737 0.631579   0.800 0.952381       1       1 0.769231       1 0.857143     0.283879
    822   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1 0.788018     0.323290
    823   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1 0.785714     0.322344
    860   h1 0.795322 0.631579   0.665 0.952381       1       1 0.846154       1 0.785714     0.211503
    861   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.785714     0.275783
    862   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.785714     0.275783
    863   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1 0.785714     0.275783
    864   h1 0.596491 0.947368   0.855 0.666667       1       1 1.000000       1 0.785714     0.253083
    865   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    866   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    867   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1 0.785714     0.330000
    868   h1 0.842105 0.573099   0.900 0.642857       1       1 0.683761       1 0.737327     0.140772
    869   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.329060
    870   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1 0.785714     0.329060
    871   h1 1.000000 0.777778   1.000 0.676190       1       1 0.769231       1 0.767281     0.310410
    872   h1 0.596491 0.666667   0.700 0.700000       1       1 0.757835       1 0.778802     0.115003
    873   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    874   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    875   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    876   h1 0.695906 1.000000   0.700 1.000000       1       1 0.769231       1 0.760369     0.284924
    877   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    878   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    879   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    880   h1 0.894737 0.649123   1.000 0.700000       1       1 0.814815       1 0.744240     0.246543
    881   h1 1.000000 0.666667   1.000 0.700000       1       1 0.846154       1 0.785714     0.310256
    882   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.785714     0.282051
