 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1       1       1 0.846154 0.785714     0.179156
    345   h0 0.666667 0.888889   0.700 0.800000       1       1       1 0.846154 0.785714     0.220627
    346   h0 0.666667 0.888889   0.700 0.800000       1       1       1 0.846154 0.785714     0.220627
    347   h0 0.842105 0.842105   0.950 0.666667       1       1       1 0.769231 0.714286     0.246771
    348   h0 0.888889 0.888889   1.000 0.700000       1       1       1 0.769231 0.714286     0.303894
    349   h0 0.888889 0.888889   1.000 0.700000       1       1       1 0.769231 0.783410     0.333303
    350   h0 0.631579 0.947368   0.665 0.666667       1       1       1 0.769231 0.785714     0.160324
    351   h0 0.666667 1.000000   0.700 0.700000       1       1       1 0.769231 0.785714     0.197436
    352   h0 0.666667 1.000000   0.700 0.700000       1       1       1 0.769231 0.785714     0.197436
    353   h0 0.947368 0.631579   0.760 0.952381       1       1       1 0.923077 0.857143     0.342659
    354   h0 1.000000 0.666667   0.800 1.000000       1       1       1 0.923077 0.785714     0.386813
    355   h0 1.000000 0.666667   0.800 1.000000       1       1       1 0.923077 0.785714     0.386813
    392   h0 0.842105 0.631579   0.665 0.952381       1       1       1 0.769231 0.857143     0.222094
    393   h0 0.888889 0.666667   0.700 1.000000       1       1       1 0.769231 0.857143     0.273504
    394   h0 0.888889 0.666667   0.700 1.000000       1       1       1 0.769231 0.790323     0.252183
    395   h0 0.888889 0.666667   0.700 1.000000       1       1       1 0.675824 0.785714     0.220269
    396   h0 0.631579 0.947368   0.855 0.666667       1       1       1 0.769231 0.785714     0.206131
    397   h0 0.666667 1.000000   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    398   h0 0.666667 1.000000   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    399   h0 0.666667 1.000000   0.900 0.700000       1       1       1 0.769231 0.785714     0.253846
    400   h0 0.789474 0.614035   0.850 0.614286       1       1       1 0.769231 0.721198     0.140421
    401   h0 1.000000 0.777778   1.000 0.700000       1       1       1 0.769231 0.785714     0.329060
    402   h0 1.000000 0.777778   1.000 0.700000       1       1       1 0.769231 0.785714     0.329060
    403   h0 1.000000 0.777778   1.000 0.676190       1       1       1 0.769231 0.769585     0.311342
    404   h0 0.736842 0.666667   0.700 0.700000       1       1       1 0.923077 0.767281     0.170479
    405   h0 0.777778 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.184274
    406   h0 0.777778 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.184274
    407   h0 0.777778 0.666667   0.700 0.700000       1       1       1 0.923077 0.785714     0.184274
    408   h0 0.736842 0.947368   0.700 1.000000       1       1       1 1.000000 0.767281     0.374926
    409   h0 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    410   h0 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    411   h0 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000 0.785714     0.427778
    412   h0 0.947368 0.654971   1.000 0.700000       1       1       1 0.923077 0.767281     0.307632
    413   h0 1.000000 0.666667   1.000 0.700000       1       1       1 0.923077 0.785714     0.338462
    414   h0 1.000000 0.666667   1.000 0.700000       1       1       1 0.923077 0.785714     0.338462
    415   h0 1.000000 0.666667   1.000 0.700000       1       1       1 0.923077 0.758065     0.326551
    416   h0 0.502924 0.684211   0.610 0.647619       1       1       1 0.769231 0.682028     0.071318
    417   h0 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
    418   h0 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
    419   h0 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231 0.785714     0.225641
