 ChipID Half   Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665       1 0.954545       1 0.740741 0.846154       1     0.211606
    345   h0 0.666667 0.888889   0.700       1 1.000000       1 0.769231 0.846154       1     0.269998
    346   h0 0.666667 0.888889   0.700       1 1.000000       1 0.769231 0.846154       1     0.269998
    347   h0 0.842105 0.842105   0.950       1 0.668182       1 0.740741 0.769231       1     0.256492
    348   h0 0.888889 0.888889   1.000       1 0.700000       1 0.769231 0.769231       1     0.327270
    349   h0 0.888889 0.888889   1.000       1 0.700000       1 0.769231 0.769231       1     0.327270
    350   h0 0.631579 0.947368   0.665       1 0.954545       1 0.740741 0.769231       1     0.216415
    351   h0 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.769231       1     0.276134
    352   h0 0.666667 1.000000   0.700       1 1.000000       1 0.769231 0.769231       1     0.276134
    353   h0 0.947368 0.631579   0.760       1 0.668182       1 0.740741 0.923077       1     0.207759
    354   h0 1.000000 0.666667   0.800       1 0.700000       1 0.769231 0.923077       1     0.265089
    355   h0 1.000000 0.666667   0.800       1 0.668182       1 0.769231 0.923077       1     0.253039
    392   h0 0.842105 0.631579   0.665       1 0.668182       1 0.814815 0.769231       1     0.148124
    393   h0 0.888889 0.666667   0.700       1 0.700000       1 0.846154 0.769231       1     0.188998
    394   h0 0.888889 0.666667   0.700       1 0.700000       1 0.846154 0.769231       1     0.188998
    395   h0 0.888889 0.666667   0.700       1 0.700000       1 0.846154 0.675824       1     0.166049
    396   h0 0.631579 0.947368   0.855       1 0.954545       1 0.962963 0.769231       1     0.361722
    397   h0 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    398   h0 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    399   h0 0.666667 1.000000   0.900       1 1.000000       1 1.000000 0.769231       1     0.461538
    400   h0 0.789474 0.614035   0.850       1 0.954545       1 0.649573 0.769231       1     0.196531
    401   h0 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.769231       1     0.460224
    402   h0 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.769231       1     0.460224
    403   h0 1.000000 0.777778   1.000       1 1.000000       1 0.769231 0.769231       1     0.460224
    404   h0 0.736842 0.666667   0.700       1 0.700000       1 0.746439 0.923077       1     0.165848
    405   h0 0.777778 0.666667   0.700       1 0.700000       1 0.769231 0.923077       1     0.180408
    406   h0 0.777778 0.666667   0.700       1 0.700000       1 0.769231 0.923077       1     0.180408
