 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1 0.740741 0.846154       1     0.242441
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231 0.846154       1     0.308569
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231 0.846154       1     0.308569
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1 0.740741 0.769231       1     0.179994
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231 0.769231       1     0.229089
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231 0.769231       1     0.229089
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.740741 0.769231       1     0.216958
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1 0.740741 0.923077       1     0.260349
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077       1     0.331361
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1 0.769231 0.923077       1     0.316299
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1 0.814815 0.769231       1     0.212136
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.769231       1     0.269998
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.769231       1     0.269998
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.675824       1     0.237212
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.962963 0.769231       1     0.282045
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1 0.649573 0.769231       1     0.142031
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1 0.769231 0.769231       1     0.311199
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1 0.746439 0.923077       1     0.165848
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.180408
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.180408
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077       1     0.180408
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1 0.746439 1.000000       1     0.364742
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1 0.712251 0.923077       1     0.285568
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1 0.888889 0.769231       1     0.103200
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231       1     0.265089
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1 0.740741 0.769231       1     0.260349
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1 0.740741 0.769231       1     0.173566
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231 0.769231       1     0.220907
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231 0.769231       1     0.220907
    427   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.569801 0.675824       1     0.143765
    448   h0 0.947368 0.631579       1 0.666667 0.668182       1 0.814815 0.769231       1     0.167057
    449   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    450   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    451   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    452   h0 1.000000 0.666667       1 0.500000 0.700000       1 0.532764 0.384615       1     0.047812
    453   h0 0.210526 0.947368       1 0.952381 0.668182       1 0.279202 0.642857       1     0.022781
    454   h0 0.619883 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.256756
    455   h0 0.666667 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.276134
    456   h0 0.666667 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.276134
    457   h0 0.666667 1.000000       1 0.714286 0.700000       1 0.740741 0.461538       1     0.113960
    458   h0 0.947368 0.736842       1 0.952381 0.668182       1 0.923077 0.670330       1     0.274869
    459   h0 1.000000 0.777778       1 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    460   h0 1.000000 0.777778       1 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
