 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1 0.740741       1 0.785714     0.225124
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231       1 0.785714     0.286528
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231       1 0.785714     0.286528
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1 0.740741       1 0.714286     0.167138
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231       1 0.714286     0.212726
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231       1 0.783410     0.233312
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.740741       1 0.785714     0.221607
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231       1 0.785714     0.282051
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231       1 0.785714     0.282051
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1 0.740741       1 0.857143     0.241753
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1 0.769231       1 0.785714     0.282051
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1 0.769231       1 0.785714     0.269231
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1 0.814815       1 0.857143     0.236380
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154       1 0.857143     0.300855
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154       1 0.790323     0.277401
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154       1 0.785714     0.275783
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.962963       1 0.785714     0.288089
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000       1 0.785714     0.366667
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1 0.649573       1 0.721198     0.133162
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231       1 0.785714     0.329060
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231       1 0.785714     0.329060
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1 0.769231       1 0.769585     0.311342
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1 0.746439       1 0.767281     0.137857
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.153561
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.153561
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231       1 0.785714     0.153561
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1 0.746439       1 0.767281     0.279860
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.329060
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1 0.712251       1 0.767281     0.237370
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231       1 0.785714     0.282051
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231       1 0.785714     0.282051
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231       1 0.758065     0.272126
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1 0.888889       1 0.682028     0.091501
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077       1 0.785714     0.270769
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077       1 0.785714     0.270769
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077       1 0.785714     0.270769
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1 0.740741       1 0.785714     0.265928
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231       1 0.785714     0.338462
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231       1 0.785714     0.338462
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231       1 0.852535     0.367246
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1 0.740741       1 0.785714     0.177285
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231       1 0.785714     0.225641
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231       1 0.785714     0.225641
