 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1       1 0.846154 0.785714     0.257161
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1       1 0.846154 0.785714     0.315181
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1       1 0.846154 0.785714     0.315181
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1       1 0.769231 0.714286     0.173566
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1       1 0.769231 0.714286     0.212726
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1       1 0.769231 0.783410     0.233312
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1       1 0.769231 0.785714     0.230130
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1       1 0.923077 0.857143     0.301261
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077 0.785714     0.338462
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1       1 0.923077 0.785714     0.323077
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1       1 0.769231 0.857143     0.223156
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.769231 0.857143     0.273504
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.769231 0.790323     0.252183
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1       1 0.675824 0.785714     0.220269
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1       1 0.769231 0.785714     0.230130
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231 0.785714     0.282051
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1       1 0.769231 0.721198     0.157692
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1       1 0.769231 0.769585     0.311342
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1       1 0.923077 0.767281     0.170479
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.184274
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.184274
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1       1 0.923077 0.785714     0.184274
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1       1 1.000000 0.767281     0.374926
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000 0.785714     0.427778
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1       1 0.923077 0.767281     0.307632
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077 0.785714     0.338462
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077 0.785714     0.338462
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1       1 0.923077 0.758065     0.326551
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1       1 0.769231 0.682028     0.079183
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231 0.785714     0.225641
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1       1 0.769231 0.785714     0.276156
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231 0.785714     0.338462
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231 0.785714     0.338462
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1       1 0.769231 0.852535     0.367246
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1       1 0.769231 0.785714     0.184104
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.769231 0.785714     0.225641
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.769231 0.785714     0.225641
    427   h0 0.888889 0.666667       1 0.900000 0.700000       1       1 0.675824 0.721198     0.181964
    448   h0 0.947368 0.631579       1 0.666667 0.668182       1       1 0.769231 0.785714     0.161091
    449   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    450   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    451   h0 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231 0.785714     0.197436
    452   h0 1.000000 0.666667       1 0.500000 0.700000       1       1 0.384615 0.785714     0.070513
    453   h0 0.210526 0.947368       1 0.952381 0.668182       1       1 0.642857 0.564516     0.046060
    454   h0 0.619883 1.000000       1 1.000000 0.700000       1       1 0.769231 0.785714     0.262258
    455   h0 0.666667 1.000000       1 1.000000 0.700000       1       1 0.769231 0.785714     0.282051
    456   h0 0.666667 1.000000       1 1.000000 0.700000       1       1 0.769231 0.785714     0.282051
    457   h0 0.666667 1.000000       1 0.714286 0.700000       1       1 0.461538 0.758065     0.116625
    458   h0 0.947368 0.736842       1 0.952381 0.668182       1       1 0.670330 0.714286     0.212696
    459   h0 1.000000 0.777778       1 1.000000 0.700000       1       1 0.769231 0.714286     0.299145
    460   h0 1.000000 0.777778       1 1.000000 0.700000       1       1 0.769231 0.714286     0.299145
