 ChipID Half   Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579       1   0.665 0.761905 0.954545       1 0.740741 0.846154       1     0.191453
    345   h0 0.666667       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    346   h0 0.666667       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    347   h0 0.842105       1   0.950 0.666667 0.668182       1 0.740741 0.769231       1     0.203056
    348   h0 0.888889       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    349   h0 0.888889       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    350   h0 0.631579       1   0.665 0.666667 0.954545       1 0.740741 0.769231       1     0.152292
    351   h0 0.666667       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    352   h0 0.666667       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    353   h0 0.947368       1   0.760 0.952381 0.668182       1 0.740741 0.923077       1     0.313287
    354   h0 1.000000       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    355   h0 1.000000       1   0.800 1.000000 0.668182       1 0.769231 0.923077       1     0.379559
    392   h0 0.842105       1   0.665 0.952381 0.668182       1 0.814815 0.769231       1     0.223362
    393   h0 0.888889       1   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.283498
    394   h0 0.888889       1   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.283498
    395   h0 0.888889       1   0.700 1.000000 0.700000       1 0.846154 0.675824       1     0.249073
    396   h0 0.631579       1   0.855 0.666667 0.954545       1 0.962963 0.769231       1     0.254545
    397   h0 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    398   h0 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    399   h0 0.666667       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    400   h0 0.789474       1   0.850 0.614286 0.954545       1 0.649573 0.769231       1     0.196611
    401   h0 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    402   h0 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    403   h0 1.000000       1   1.000 0.676190 1.000000       1 0.769231 0.769231       1     0.400113
    404   h0 0.736842       1   0.700 0.700000 0.700000       1 0.746439 0.923077       1     0.174141
    405   h0 0.777778       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.189428
    406   h0 0.777778       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.189428
    407   h0 0.777778       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.189428
    408   h0 0.736842       1   0.700 1.000000 0.700000       1 0.746439 1.000000       1     0.269504
    409   h0 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    410   h0 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    411   h0 0.777778       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    412   h0 0.947368       1   1.000 0.700000 1.000000       1 0.712251 0.923077       1     0.436001
    413   h0 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    414   h0 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    415   h0 1.000000       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    416   h0 0.502924       1   0.610 0.647619 0.677273       1 0.888889 0.769231       1     0.092007
    417   h0 0.666667       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.185562
    418   h0 0.666667       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.185562
    419   h0 0.666667       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.185562
    420   h0 0.842105       1   0.665 0.857143 0.668182       1 0.740741 0.769231       1     0.182751
    421   h0 0.888889       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.231953
    422   h0 0.888889       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.231953
    423   h0 0.888889       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.231953
    424   h0 0.842105       1   0.950 0.857143 0.668182       1 0.740741 0.769231       1     0.261072
    425   h0 0.888889       1   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    426   h0 0.888889       1   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.331361
    427   h0 0.888889       1   1.000 0.900000 0.700000       1 0.569801 0.675824       1     0.215648
    448   h0 0.947368       1   0.855 0.666667 0.668182       1 0.814815 0.769231       1     0.226154
    449   h0 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    450   h0 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    451   h0 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    452   h0 1.000000       1   0.810 0.500000 0.700000       1 0.532764 0.384615       1     0.058092
    453   h0 0.210526       1   0.475 0.952381 0.668182       1 0.279202 0.642857       1     0.011422
    454   h0 0.619883       1   0.690 1.000000 0.700000       1 0.769231 0.769231       1     0.177162
    455   h0 0.666667       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.193294
