 ChipID Half  Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1 0.842105   0.665 0.761905 0.954545       1 0.740741 0.846154       1     0.255271
    345   h0       1 0.888889   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.323997
    346   h0       1 0.888889   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.323997
    347   h0       1 0.842105   0.950 0.666667 0.668182       1 0.740741 0.769231       1     0.203056
    348   h0       1 0.888889   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    349   h0       1 0.888889   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    350   h0       1 0.947368   0.665 0.666667 0.954545       1 0.740741 0.769231       1     0.228438
    351   h0       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    352   h0       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    353   h0       1 0.631579   0.760 0.952381 0.668182       1 0.740741 0.923077       1     0.208858
    354   h0       1 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.265089
    355   h0       1 0.666667   0.800 1.000000 0.668182       1 0.769231 0.923077       1     0.253039
    392   h0       1 0.631579   0.665 0.952381 0.668182       1 0.814815 0.769231       1     0.167521
    393   h0       1 0.666667   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.212623
    394   h0       1 0.666667   0.700 1.000000 0.700000       1 0.846154 0.769231       1     0.212623
    395   h0       1 0.666667   0.700 1.000000 0.700000       1 0.846154 0.675824       1     0.186805
    396   h0       1 0.947368   0.855 0.666667 0.954545       1 0.962963 0.769231       1     0.381818
    397   h0       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    398   h0       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    399   h0       1 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    400   h0       1 0.614035   0.850 0.614286 0.954545       1 0.649573 0.769231       1     0.152920
    401   h0       1 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    402   h0       1 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
    403   h0       1 0.777778   1.000 0.676190 1.000000       1 0.769231 0.769231       1     0.311199
    404   h0       1 0.666667   0.700 0.700000 0.700000       1 0.746439 0.923077       1     0.157556
    405   h0       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    406   h0       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    407   h0       1 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.162367
    408   h0       1 0.947368   0.700 1.000000 0.700000       1 0.746439 1.000000       1     0.346505
    409   h0       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    410   h0       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    411   h0       1 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    412   h0       1 0.654971   1.000 0.700000 1.000000       1 0.712251 0.923077       1     0.301433
    413   h0       1 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    414   h0       1 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    415   h0       1 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.331361
    416   h0       1 0.684211   0.610 0.647619 0.677273       1 0.888889 0.769231       1     0.125172
    417   h0       1 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    418   h0       1 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    419   h0       1 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    420   h0       1 0.947368   0.665 0.857143 0.668182       1 0.740741 0.769231       1     0.205594
    421   h0       1 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    422   h0       1 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    423   h0       1 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    424   h0       1 0.631579   0.950 0.857143 0.668182       1 0.740741 0.769231       1     0.195804
    425   h0       1 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.248521
    426   h0       1 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.248521
    427   h0       1 0.666667   1.000 0.900000 0.700000       1 0.569801 0.675824       1     0.161736
    448   h0       1 0.631579   0.855 0.666667 0.668182       1 0.814815 0.769231       1     0.150769
    449   h0       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    450   h0       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    451   h0       1 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    452   h0       1 0.666667   0.810 0.500000 0.700000       1 0.532764 0.384615       1     0.038728
    453   h0       1 0.947368   0.475 0.952381 0.668182       1 0.279202 0.642857       1     0.051399
    454   h0       1 1.000000   0.690 1.000000 0.700000       1 0.769231 0.769231       1     0.285799
    455   h0       1 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    456   h0       1 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    457   h0       1 1.000000   0.650 0.714286 0.700000       1 0.740741 0.461538       1     0.111111
    458   h0       1 0.736842   0.950 0.952381 0.668182       1 0.923077 0.670330       1     0.275632
    459   h0       1 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    460   h0       1 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    461   h0       1 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    462   h0       1 0.777778   0.900 0.714286 0.700000       1 0.581197 0.461538       1     0.093886
    463   h0       1 0.631579   0.760 0.666667 0.954545       1 0.740741 0.769231       1     0.174048
    464   h0       1 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    465   h0       1 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    466   h0       1 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    467   h0       1 0.666667   0.720 0.500000 1.000000       1 0.484330 0.384615       1     0.044707
    812   h1       1 0.947368   0.695 0.723810 0.954545       1 0.769231 0.846154       1     0.296095
    813   h1       1 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    814   h1       1 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    815   h1       1 0.736842   0.950 0.642857 0.668182       1 0.769231 0.769231       1     0.177918
    816   h1       1 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    817   h1       1 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.225510
    818   h1       1 0.947368   0.700 0.666667 0.954545       1 0.769231 0.769231       1     0.249710
    819   h1       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    820   h1       1 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
