 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1       1 0.846154 0.785714     0.171012
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1 0.846154 0.785714     0.220627
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1       1 0.846154 0.785714     0.220627
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1       1 0.769231 0.714286     0.164888
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1 0.769231 0.714286     0.212726
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1       1 0.769231 0.783410     0.233312
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1       1 0.769231 0.785714     0.153036
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231 0.785714     0.197436
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1       1 0.769231 0.785714     0.197436
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1       1 0.923077 0.857143     0.228958
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1       1 0.923077 0.785714     0.270769
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1       1 0.923077 0.785714     0.258462
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1       1 0.769231 0.857143     0.148399
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.769231 0.857143     0.191453
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.769231 0.790323     0.176528
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1       1 0.675824 0.785714     0.154188
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1       1 0.769231 0.785714     0.196761
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1       1 0.769231 0.785714     0.253846
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1       1 0.769231 0.721198     0.134038
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
    402   h0 1.000000 0.777778   1.000 0.700000 1.000000       1       1 0.769231 0.785714     0.329060
