 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182 0.740741 0.846154       1     0.112857
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231 0.846154       1     0.151199
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231 0.846154       1     0.151199
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091 0.740741 0.769231       1     0.219850
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231 0.769231       1     0.294543
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231 0.769231       1     0.294543
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273 0.740741 0.769231       1     0.109925
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231       1     0.154635
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231       1     0.154635
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455 0.740741 0.923077       1     0.191135
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231 0.923077       1     0.265089
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231 0.923077       1     0.265089
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545 0.814815 0.769231       1     0.201529
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231       1     0.269998
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231       1     0.269998
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.675824       1     0.237212
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182 0.962963 0.769231       1     0.168804
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545 0.649573 0.769231       1     0.082784
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231       1     0.225510
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231       1     0.225510
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231 0.769231       1     0.217839
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000 0.746439 0.923077       1     0.116094
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.126285
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.126285
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.126285
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000 0.746439 1.000000       1     0.364742
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000 0.712251 0.923077       1     0.199898
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077       1     0.231953
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077       1     0.231953
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077       1     0.231953
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182 0.888889 0.769231       1     0.057460
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231       1     0.185562
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231       1     0.185562
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231       1     0.185562
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091 0.740741 0.769231       1     0.170777
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231       1     0.231953
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231       1     0.231953
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231       1     0.231953
    424   h0 0.842105 0.631579   0.950 0.857143       1 0.909091 0.740741 0.769231       1     0.224337
    425   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231 0.769231       1     0.315582
    426   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231 0.769231       1     0.315582
    427   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.569801 0.675824       1     0.205379
    448   h0 0.947368 0.631579   0.855 0.666667       1 0.763636 0.814815 0.769231       1     0.163239
    449   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    450   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    451   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    452   h0 1.000000 0.666667   0.810 0.500000       1 0.800000 0.532764 0.384615       1     0.044260
    453   h0 0.210526 0.947368   0.475 0.952381       1 0.954545 0.279202 0.642857       1     0.015458
    454   h0 0.619883 1.000000   0.690 1.000000       1 1.000000 0.769231 0.769231       1     0.253088
    455   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231       1     0.276134
    456   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231       1     0.276134
    457   h0 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741 0.461538       1     0.105820
    458   h0 0.947368 0.736842   0.950 0.952381       1 0.954545 0.923077 0.670330       1     0.373036
    459   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231       1     0.552268
    460   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231       1     0.552268
    461   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231       1     0.552268
    462   h0 1.000000 0.777778   0.900 0.714286       1 1.000000 0.581197 0.461538       1     0.134122
    463   h0 0.631579 0.631579   0.760 0.666667       1 0.668182 0.740741 0.769231       1     0.076948
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
